Product,key,qty,order number,delivery number,delivery date,placed date,new shelfs
5ltr Storage Bucket 1051008,sto13,1800,0,0,11/12/2020,07/12/2020,"B-1-2, B-1-3"
30ltr Storage Bucket PABO30WHAHA,sto16,600,0,12345 TESTE,11/12/2020,08/12/2020,
Dead Sea - Bath Extra Magnesium (coarse) DBC0025,sal3,2100,0,Internal,14/12/2020,08/12/2020,
Dead Sea Salt 0.8-5mm Food Grade PMG0025 Purple bag,sal2,2450,0,Internal,14/12/2020,08/12/2020,
Green Netting 10m x 100m PN31001,net4,700,0,TIN69237,16/12/2020,04/12/2020,
Poly Pot - 5ltr,pot27,1600,5,SO0017644/1,11/02/2021,04/02/2021,
Poly Pot- 10L,pot30,1200,5,SO0017644/1,11/02/2021,04/02/2021,
Poly Pot- 36L,pot34,400,5,SO0017644/1,11/02/2021,04/02/2021,
Poly Pot- 4L,pot26,2000,5,SO0017644/1,11/02/2021,04/02/2021,
Poly Pot- 17L HP15,pot33,800,5,SO0017644/1,11/02/2021,04/02/2021,
Capillary matting 100cm ICM10,irr1,1150,5,5,05/03/2021,04/02/2021,
13cm Thermoformed Black pot VCH13B,pot47,9720,5,SO0017501/1,11/02/2021,04/02/2021,
Black Saucer 45cm DKS45B,pot97,200,5,SO0016744,11/02/2021,04/02/2021,
Terracotta Pot 13cm 13F,pot38,2772,5,SO0016744,11/02/2021,15/02/2021,
Terracotta Pot 19cm 19F,pot40,250,5,SO0018048,19/02/2021,15/02/2021,
Terracotta Pot 23cm 23F,pot42,450,5,SO0016744,11/02/2021,11/02/2021,
Terracotta Plant Pot 26cm 26F,pot43,1050,5,SO0016744,11/02/2021,11/02/2021,
Terracotta Pot 21cm 21F,pot41,420,5,SO0016744,11/02/2021,11/02/2021,
Poly Pot- 1L,pot24,10000,5,SO0016744,11/02/2021,11/02/2021,
Poly Pot- 1.5L,pot32,7000,5,SO0016744,11/02/2021,11/02/2021,
Poly Pot - 3ltr,pot95,1250,5,SO0016744,11/02/2021,11/02/2021,
Poly Pot- 8L,pot29,700,5,SO0016744,11/02/2021,11/02/2021,
Large Pot with handles - 30L LTR30,pot93,1200,5,SO0017644,11/02/2021,11/02/2021,
Super Soft Rubber Ties - 24 inch TP60,sup31,600,6,17548,10/02/2021,04/02/2021,
White T Label 15cm SL135,lab43,5000,6,17548,10/02/2021,04/02/2021,
Tree Tie 9 inch TP225,sup7,10000,6,17548,10/02/2021,04/02/2021,
4 inch White Stick in Label L4,lab33,300000,6,17548,10/02/2021,04/02/2021,
18mm Peat Pellet 70000074,jif17,50000,7,SP-026627,25/02/2021,04/02/2021,
35mm Coir Pellet 63100030,jif13,23100,7,SP-026627,25/02/2021,04/02/2021,
41mm Peat Pellet 32170138,jif20,20000,7,SP-026627,25/02/2021,04/02/2021,
44mm Peat Pellet 32170142,jif21,20000,7,SP-026627,25/02/2021,04/02/2021,
50mm x 50mm Grow Block 60505000,jif15,2040,7,SP-026627,25/02/2021,04/02/2021,
9cm x 10cm Peat Square 70000461,jif6,5600,7,SP-026627,25/02/2021,04/02/2021,
6cm x 6cm Round Coco 30812200,jif1,15552,7,SP-026627,25/02/2021,10/02/2021,
30mm Coir Pellet 67100025,jif12,30720,7,SP-026627,25/02/2021,10/02/2021,
24mm Peat Pellet 31122124,jif18,40000,7,SP-026627,25/02/2021,11/02/2021,
Raised Grow Bed G94MO,acc21,1,8,8980,24/02/2021,05/02/2021,
Green Full Size Seed Tray G17G,see15,25,8,8980,24/02/2021,05/02/2021,
Standard Grow bag Tray G182B,see25,560,8,76261,17/02/2021,05/02/2021,
Green Half Size Seed Tray G18G,see21,500,8,76062,24/02/2021,05/02/2021,
Black Half Size Seed Tray G18B,see20,500,8,76062,24/02/2021,05/02/2021,
Black Full Size Seed Tray G17B,see14,1300,8,76062,24/02/2021,05/02/2021,
Standard Grow bag Tray G182B,see25,280,8,76062,24/02/2021,24/02/2021,
15ltr Storage Bucket 1150021,sto15,924,11,37854,04/03/2021,05/02/2021,
3MMX30X9MTR Anti-Hotspot tape 30mm RAS76152,pol22,20,12,ORD0283163,09/02/2021,05/02/2021,
3MMX20X9MTR Anti-Hotspot tape 20mm RAS76152,pol21,900,12,ORD0283163,09/02/2021,09/02/2021,
3MMX40X9MTR Anti-Hotspot Tape 40mm RAS76152,pol23,210,12,ORD0283163,09/02/2021,09/02/2021,
3MMX50X9MTR Anti-Hotspot tape 50mm RAS76152,pol24,36,12,ORD0283163,09/02/2021,09/02/2021,
16kg Lawn Sand 20400319,fer56,168,13,C053673887,09/02/2021,05/02/2021,
Dead Sea Salt 0.8-5mm Food Grade PMG0025 Purple bag,sal2,1225,14,S545686,17/02/2021,05/02/2021,
Mulch Ground Cover 1m x 100m,gro6,5000,15,TSO90838,15/02/2021,08/02/2021,
Bone Meal 3.5-18-0,fer9,10000,16,8941,18/02/2021,08/02/2021,
Fish Blood & Bone 5-5-6 EL4619P,fer0,6000,16,8941,18/02/2021,18/02/2021,
Poultry Manure Pelleted 4-3-2,fer12,10000,16,8941,18/02/2021,18/02/2021,
Compost Activator,fer10,2000,16,8941,18/02/2021,18/02/2021,
Plant Support Tree Guards Clear 24 inch,sup39,10000,19,,08/03/2021,08/02/2021,
Tree Guards Brown 24 inch,sup15,10000,19,28870,17/03/2021,08/02/2021,
Tree Guards Brown 18 inch,sup14,10000,19,28870,12/03/2021,08/03/2021,
Plant Support Tree Guards Clear 18 inch,sup38,10000,19,28870,16/03/2021,08/03/2021,
Full Size 24 cell pack SV24,see9,1200,21,4775,15/02/2021,09/02/2021,
Full Size 40 Cell Pack SV40,see10,2200,21,4775,15/02/2021,09/02/2021,
Half Size 6 Cell Pack HSP6,see3,5200,21,4775,15/02/2021,09/02/2021,
Square Pot - 0.75L 9cm HS9910,pot91,48000,21,4775,15/02/2021,09/02/2021,
Full Size 60 Cell Pack SV60,see12,1500,21,4775,15/02/2021,09/02/2021,
Full Size Lids HSPLFS,see16,1200,21,4775,15/02/2021,09/02/2021,
Gravel Trays HFSTHW,see27,1500,21,4775,15/02/2021,09/02/2021,
Half Size Seed Tray HHST,see23,3000,21,4775,15/02/2021,09/02/2021,
Square Pot - 0.25L 7cm HS778,pot89,9000,21,4775,15/02/2021,09/02/2021,
50 Cell Seed Tray,see11,2800,21,4775,15/02/2021,09/02/2021,
HFST Full Size Seed Tray,see17,6000,21,4775,16/02/2021,09/02/2021,
Half Size 12 cell pack HSP12,see7,2000,21,4775,15/02/2021,09/02/2021,
Half Size 20 cell pack HSP20,see8,1200,21,4775,15/02/2021,09/02/2021,
Half Size 4 Cell Pack HSP4,see0,400,21,4775,15/02/2021,09/02/2021,
Half Size 9 cell pack HSP9,see6,2000,21,4775,15/02/2021,09/02/2021,
SV4 Strip Insert 4 cells,see1,250,21,4775,15/02/2021,09/02/2021,
Strip Insert 5 cells,see2,500,21,4775,15/02/2021,09/02/2021,
Trolly Selling Pack 6 cell HSTP6,see4,3750,21,4775,15/02/2021,09/02/2021,
Trolly Selling Pack 8 cell HSTP8,see5,1500,21,4775,15/02/2021,09/02/2021,
7cm Square carry tray HS7S15,pot44,450,21,SO0017644,24/02/2021,17/02/2021,
Half Size 6 Cell Pack HSP6,see3,800,21,4775,16/02/2021,09/02/2021,
Square Pot - 0.25L 7cm HS778,pot89,45000,21,4775,16/02/2021,09/02/2021,
10ltr Storage Bucket 1113002,sto14,3120,22,393429,09/02/2021,09/02/2021,
5ltr Storage Bucket 1051008,sto13,3700,22,393429,09/02/2021,09/02/2021,
Bamboo Cane 10ft,bam7,500,24,SO0017644,11/02/2021,09/02/2021,
Basket Liner (16 inch) JL16E,han2,100,24,,16/02/2021,09/02/2021,
Capillary matting 80cm ICM08,irr0,1250,24,24,05/03/2021,09/02/2021,
Black Round pot 4L DK4.0L,pot72,6580,24,SO0018028,15/02/2021,18/02/2021,
Clear Polythene 2m 1000g 225mu 50m 26989,pol6,12500,25,46899,24/02/2021,09/02/2021,
2m Wide Clear Heavy Duty Polythene Sheeting 500g 125mu - 100m,pol5,25000,25,46907,24/02/2021,24/02/2021,
Golden Gravel 10mm GG103,agg3,4000,26,218146,10/02/2021,09/02/2021,
Play Sand SPG3,agg1,168,26,218144,10/02/2021,09/02/2021,
Trent Pea Gravel 10mm TPG103,agg4,4000,26,218145,11/02/2021,09/02/2021,
Polytunnel Clips 40mm,pol13,1,27,50094,15/02/2021,09/02/2021,
Polytunnel Clips 35mm,pol12,1,27,50094,15/02/2021,09/02/2021,
Clear 7.3m x 100m Sunmaster,pol8,200,27,50094,15/02/2021,09/02/2021,
Deep Rootrainers RT010101,see19,504,28,TSO90896,18/02/2021,09/02/2021,
25kg Cardboard Box 490x360x190mm 716615/1/0,sto62,1705,29,19473,09/02/2021,09/02/2021,
White Rock Salt 20kg WMS3,agg12,2520,30,218149,11/02/2021,10/02/2021,
Brown Rock Salt 20kg RS3,agg11,1260,30,218149,11/02/2021,10/02/2021,
Envelope H5,sto31,1800,31,131104,11/02/2021,10/02/2021,
Packing bubble 1500 mm x 10mm x 100m,sto34,1000,31,131104,11/02/2021,10/02/2021,
Packing bubble 750mm x 10mm x 100m,sto37,1000,31,131104,11/02/2021,10/02/2021,
30ltr Storage Bucket PABO30WHAHA,sto16,79,32,SOP326084/002,11/02/2021,10/02/2021,
10ltr Storage Bucket 1113002,sto14,5544,33,37647,10/02/2021,10/02/2021,
5ltr Storage Bucket 1051008,sto13,3680,34,37603,05/02/2021,10/02/2021,
10ltr Storage Bucket 1113002,sto14,396,34,37603,05/02/2021,10/02/2021,
15ltr Storage Bucket 1150021,sto15,231,34,37603,05/02/2021,10/02/2021,
Butterfly Netting 2m GREXT11,net5,1500,37,TSO90962,15/02/2021,11/02/2021,
Butterfly Netting 4m GREXT12,net6,600,37,TSO90962,15/02/2021,11/02/2021,
Brown Rock Salt 20kg RS3,agg11,3780,38,218054,12/02/2021,11/02/2021,
White Rock Salt 20kg WMS3,agg12,3780,38,218053,11/02/2021,11/02/2021,
Tape Parcel,sto22,1800,40,131226,12/02/2021,11/02/2021,
Tape Parcel,sto22,4248,40,131226,01/03/2021,11/02/2021,
Raised Grow Bed G94MO,acc21,53,41,76190,08/03/2021,11/02/2021,
