seller-sku	asin1	item-name	price	quantity	merchant-shipping-group
00000	B00IRC79CA	Elixir Gardens ® 100 x 12 Cell Bedding Plant Pack Inserts for Half Size Trays	23.99	1000	Default Amazon Template Surcharges
00001	B00IRC7AI8	Elixir Gardens ® 200 x 12 Cell Bedding Plant Pack Inserts for Half Size Trays	39.99	1000	Default Amazon Template Surcharges
00002	B00IRC7B3M	Elixir Gardens ® 25 x 12 Cell Bedding Plant Pack Inserts for Half Size Trays	9.99	999	Default Amazon Template Surcharges
00003	B00IRC7BVE	Elixir Gardens ® 400 x 12 Cell Bedding Plant Pack Inserts for Half Size Trays	69.99	1000	Default Amazon Template Surcharges
00004	B00EQ7T018	Elixir Gardens ® 50 x 12 Cell Bedding Plant Pack Inserts for Half Size Trays	13.49	978	Default Amazon Template Surcharges
00005	B00EQ7T1VM	Elixir Gardens ® 100 x 20 Cell Bedding Plant Pack Inserts for Half Size Trays	23.99	1000	Default Amazon Template Surcharges
00006	B00EQ7T2Q6	Elixir Gardens ® 200 x 20 Cell Bedding Plant Pack Inserts for Half Size Trays	39.99	1000	Default Amazon Template Surcharges
00007	B00EQ7T4TG	Elixir Gardens ® 25 x 20 Cell Bedding Plant Pack Inserts for Half Size Trays	9.99	995	Default Amazon Template Surcharges
00008	B00EQ7T3ME	Elixir Gardens ® 50 x 20 Cell Bedding Plant Pack Inserts for Half Size Trays	13.5	946	Default Amazon Template Surcharges
00009	B00EQ7T6KI	Elixir Gardens ® 400 x 20 Cell Bedding Plant Pack Inserts for Half Size Trays	69.99	1000	Default Amazon Template Surcharges
00010	B00EQ7T5OA	Elixir Gardens ® 200 x 24 Cell Bedding Plant Pack Inserts for Full Size Trays	59.99	1000	Default Amazon Template Surcharges
00011	B00IRC7IPS	Elixir Gardens ® 24's Seed Tray Inserts/Bedding Trays x 100	33.99	1000	Default Amazon Template Surcharges
00012	B00IRC7JIE	Elixir Gardens ® 10 x 24 Cell Bedding Plant Pack Inserts for Full Size Trays	7.89	864	Default Amazon Template Surcharges
00013	B00IRC7KUG	Elixir Gardens ® 25 x 24 Cell Bedding Plant Pack Inserts for Full Size Trays	12.39	1000	Default Amazon Template Surcharges
00014	B00IRC7LJ6	Elixir Gardens ® 50 x 24 Cell Bedding Plant Pack Inserts for Full Size Trays	19.89	998	Default Amazon Template Surcharges
00019	B00EQ7X45Q	Elixir Gardens ® 40's Seed Tray Inserts/Bedding Trays x 100	33.99	1000	Default Amazon Template Surcharges
00020	B00EQ7X3FW	Elixir Gardens ® 40's Seed Tray Inserts/Bedding Trays x 10	7.89	1000	Default Amazon Template Surcharges
00021	B00CDGT118	Elixir Gardens ® 40's Seed Tray Inserts/Bedding Trays x 200	59.99	1000	Default Amazon Template Surcharges
00022	B00IRC7OMA	Elixir Gardens ® 40's Seed Tray Inserts/Bedding Trays x 25	12.39	1000	Default Amazon Template Surcharges
00023	B00IRC7PFQ	Elixir Gardens ® 40's Seed Tray Inserts/Bedding Trays x 50	19.99	1000	Default Amazon Template Surcharges
00024	B00IRC7Q96	Elixir Gardens ® 100 x 4 Cell Bedding Plant Pack Inserts for Half Size Tray	23.99	997	Default Amazon Template Surcharges
00025	B00IRC7R1S	Elixir Gardens ® 200 x 4 Cell Bedding Plant Pack Inserts for Half Size Tray	39.99	1000	Default Amazon Template Surcharges
00026	B00IRC7RT0	Elixir Gardens ® 25 x 4 Cell Bedding Plant Pack Inserts for Half Size Tray	9.99	999	Default Amazon Template Surcharges
00027	B00IRC7SHG	Elixir Gardens ® 400 x 4 Cell Bedding Plant Pack Inserts for Half Size Tray	69.99	1000	Default Amazon Template Surcharges
00028	B00IRC7TD4	Elixir Gardens ® 50 x 4 Cell Bedding Plant Pack Inserts for Half Size Tray	13.49	973	Default Amazon Template Surcharges
00029	B00IRC7U4W	Elixir Gardens ® 10 x 4 Strip Inserts for Full Size Seed Trays	7.99	999	Default Amazon Template Surcharges
00030	B00EQ82GKY	Elixir Gardens ® 25 x 4 Strip Inserts for Full Size Seed Trays	9.99	1000	Default Amazon Template Surcharges
00031	B00IRC7W2W	Elixir Gardens ® 250 x 4 Strip Inserts for Full Size Seed Trays	65.99	1000	Default Amazon Template Surcharges
00032	B00IRC7WT0	Elixir Gardens ® 50 x 4 Strip Inserts for Full Size Seed Trays	17.99	1000	Default Amazon Template Surcharges
00033	B00IRC7YNO	Elixir Gardens ® 100 x 4 Strip Inserts for Full Size Seed Trays	29.99	1000	Default Amazon Template Surcharges
00034	B00EQ82LB8	Elixir Gardens ® 5 Strip Seed Tray Inserts for Full size Seed Tray x 10	7.99	987	Default Amazon Template Surcharges
00035	B00IRC80Y6	Elixir Gardens ® 5 Strip Seed Tray Inserts for Full size Seed Tray x 250	65.99	1000	Default Amazon Template Surcharges
00036	B00CDGU36U	Elixir Gardens ® 5 Strip Seed Tray Inserts for Full size Seed Tray x 25	9.99	997	Default Amazon Template Surcharges
00037	B00EQ82IG6	Elixir Gardens ® 5 Strip Seed Tray Inserts for Full size Seed Tray x 50	17.99	994	Default Amazon Template Surcharges
00038	B00IRC85KK	Elixir Gardens ® 5 Strip Seed Tray Insert for Full size Seed Tray x 100	29.99	1000	Default Amazon Template Surcharges
00039	B00IRC86OK	Elixir Gardens ® 100 x 50 Cell Bedding Plant Pack Inserts for Full Size Seed Trays	33.99	1000	Default Amazon Template Surcharges
00041	B00IRC88O8	Elixir Gardens ® 100 x 6 Cell Bedding Plant Pack Inserts for Half Size Tray	23.99	986	Default Amazon Template Surcharges
00042	B00IRC89GK	Elixir Gardens ® 200 x 6 Cell Bedding Plant Pack Insert for Half Size Tray	39.99	997	Default Amazon Template Surcharges
00043	B00IRC8AAA	Elixir Gardens ® 25 x 6 Cell Bedding Plant Pack Insert for Half Size Tray	9.99	971	Default Amazon Template Surcharges
00044	B00IRC8B7C	Elixir Gardens ® 400 x 6 Cell Bedding Plant Pack Inserts for Half Size Tray	69.99	1000	Default Amazon Template Surcharges
00045	B00IRC8C4E	Elixir Gardens ® 50 x 6 Cell Bedding Plant Pack Inserts for Half Size Tray	13.49	928	Default Amazon Template Surcharges
00046	B00IRC8DD4	Elixir Gardens ® 6 cell Trolly Selling Packs Bedding Plant Trays x 100	13.99	994	Default Amazon Template Surcharges
00047	B00IRC8E3S	Elixir Gardens ® 6 cell Trolly Selling Packs Bedding Plant Trays x 200	22.99	999	Default Amazon Template Surcharges
00048	B00IRC8F2I	Elixir Gardens ® 6 cell Trolly Selling Packs Bedding Plant Trays x 375	39.99	1000	Default Amazon Template Surcharges
00049	B00IRC8G2M	Elixir Gardens ® 6 cell Trolly Selling Packs Bedding Plant Trays x 750	64.99	1000	Default Amazon Template Surcharges
00050	B00IRC8GZO	Elixir Gardens ® 8 cell Trolly Selling Packs Bedding Plant Trays x 375	39.99	1000	Default Amazon Template Surcharges
00051	B00IRC8HRQ	Elixir Gardens ® 8 cell Trolly Selling Packs Bedding Plant Trays x 100	13.99	993	Default Amazon Template Surcharges
00052	B00IRC8KRS	Elixir Gardens ® 8 cell Trolly Selling Packs Bedding Plant Trays x 200	22.99	1000	Default Amazon Template Surcharges
00053	B00IRC8LL8	Elixir Gardens ® 8 cell Trolly Selling Packs Bedding Plant Trays x 750	64.99	1000	Default Amazon Template Surcharges
00054	B00IRC8MNU	Elixir Gardens ® 100 x 9 cell Bedding Plant Pack Inserts for Half Size Trays	23.99	996	Default Amazon Template Surcharges
00055	B00IRC8NNE	Elixir Gardens ® 200 x 9 cell Bedding Plant Pack Inserts for Half Size Trays	39.99	1000	Default Amazon Template Surcharges
00056	B00KDIMGIS	Elixir Gardens ® 25 x 9 cell Bedding Plant Pack Inserts for Half Size Trays	9.99	983	Default Amazon Template Surcharges
00057	B00IRC8PHS	Elixir Gardens ® 400 x 9 cell Bedding Plant Pack Inserts for Half Size Trays	69.99	1000	Default Amazon Template Surcharges
00058	B00IRC8QH2	Elixir Gardens ® 50 x 9 cell Bedding Plant Pack Inserts for Half Size Trays	13.49	835	Default Amazon Template Surcharges
00059	B00KDIMIFO	Elixir Gardens ® 9cm Strong Deep Terracotta Plastic Plant Pot/Flower Pots x 100	9.49	246	Default Amazon Template Surcharges
00066	B00IRC8Y2E	Elixir Gardens ® GROWING SUCCESS APPLE MAGGOT TRAPS	14.99	997	Default Amazon Template Surcharges
00070	B00IRC91DU	Elixir Gardens ® Autumn & Winter Lawn Food (Mini Granuals) 10Kg Bag	20.99	1000	Default Amazon Template Surcharges
00071	B00EQ7TQP8	Elixir Gardens ® Autumn & Winter Lawn Food (Mini Granuals) 2.5Kg Bag	10.49	998	Default Amazon Template Surcharges
00072	B00EQ7XLNQ	Elixir Gardens ® Autumn & Winter Lawn Food (Mini Granuals) 25Kg Bag	38.99	1000	Default Amazon Template Surcharges
00074	B00EQ7XKZK	Elixir Gardens ® 15KG BATH BOMB KIT 10KG SODIUM BICARD + 5KG CITRIC ACID	29.99	999	Default Amazon Template Surcharges
00075	B00IRC96HQ	Elixir Gardens ® 1.5kg bath kit = 1kg bicarbonate of soda + 500g citric	9.99	1000	Default Amazon Template Surcharges
00076	B00CBUCP14	Elixir Gardens ® 3KG BATH BOMB KIT = 2KG SODIUM BICARD + 1KG CITRIC ACID	13.99	1000	Default Amazon Template
00077	B00EQ7XP00	Elixir Gardens ® 9KG BATH BOMB KIT 6KG SODIUM BICARD + 3KG CITRIC ACID	18.99	1000	Default Amazon Template Surcharges
00078	B00IRC99UA	Elixir Gardens ® BEIGE T LABELS x 100	10.49	1234	Default Amazon Template Surcharges
00079	B00KDIN2SG	Elixir Gardens ® BEIGE T LABELS x 25	5.24	1000	Default Amazon Template Surcharges
00080	B00KDIN3J4	Elixir Gardens ® BEIGE T LABELS x 50	7.49	1234	Default Amazon Template Surcharges
00081	B00KDIN48Y	Elixir Gardens 10Kg Bicarbonate of Soda High Grade, Bath Bombs, Fizzers	15.99	1000	Default Amazon Template Surcharges
00082	B00KDIN57O	Elixir Gardens 1Kg Bicarbonate of Soda High Grade, Bath Bombs, Fizzers	6.49	1000	Default Amazon Template Surcharges
00083	B00KDIN5XS	Elixir Gardens ® 25Kg Bicarbonate of Soda Food Grade, Bath Bombs, Fizzers	26.49	1000	Default Amazon Template Surcharges
00084	B00KDIN6O6	Elixir Gardens 2Kg Bicarbonate of Soda High Grade, Bath Bombs, Fizzers	7.99	1000	Default Amazon Template Surcharges
00085	B00KDIN7MC	Elixir Gardens 500g Bicarbonate of Soda High Grade, Bath Bombs, Fizzers x 4	7.99	1000	Default Amazon Template Surcharges
00087	B00EQ7XX3O	Elixir Gardens 5Kg Bicarbonate of Soda High Grade, Bath Bombs, Fizzers	11.99	999	Default Amazon Template Surcharges
00088	B00KDIN9N4	Elixir Gardens Big Dripper Watering Kit Greenhouse Plant Irrigation for 6 Plants	15.99	980	Default Amazon Template Surcharges
00089	B00KDINB3M	Elixir Gardens 2 x Big Dripper Watering Kit Greenhouse Plant Irrigation for 12 Plants	27.99	1000	Default Amazon Template Surcharges
00112	B00KDINEU2	Elixir Gardens ® Bird Netting 10mt x 20mts Garden/Vegetable Netting	46.99	1000	Default Amazon Template Surcharges
00113	B00EQ7Y9GO	Elixir Gardens ® Bird Netting 12mt x 10mts Garden/Vegetable Netting	56.99	1000	Default Amazon Template Surcharges
00114	B00EQ7YA7C	Elixir Gardens ® Bird Netting 12mt x 15mts Garden/Vegetable Netting	68.99	1000	Default Amazon Template Surcharges
00115	B00IRC9PJ0	Elixir Gardens ® Bird Netting 12mt x 20mts Garden/Vegetable Netting	79.99	1000	Default Amazon Template Surcharges
00116	B00KDINIOY	Elixir Gardens ® Bird Netting 12mt x 5mts Garden/Vegetable Netting	35.99	1000	Default Amazon Template Surcharges
