Action(SiteID=UK|Country=GB|Currency=GBP|Version=1111|CC=UTF-8),ItemID,Title,SiteID,Currency,StartPrice,BuyItNowPrice,Quantity,Relationship,RelationshipDetails,CustomLabel
Revise,383276710794,"100 x 50 Cell Bedding Plant Pack Tray Inserts for Full Size Seed Trays",UK,GBP,33.89,,1000,,,50_CELL_INSERT-X100
Revise,362820633221,"200 x 50 Cell Bedding Plant Pack Tray Inserts for Full Size Seed Trays",UK,GBP,56.89,,1000,,,50_CELL_INSERT-X200
Revise,361564821365,"Elixir Gardens Epsom Salt - Pharmaceutical Grade Magnesium Sulphate | 5kg Bag",UK,GBP,10.89,,977,,,epsom_pharm_5kg_bag
Revise,380933269897,"Gypsum | Calcium Sulphate Best Quality Agricultural Grade Natural Soil Improver",UK,GBP,,,,,Amount=250g;500g;1kg;2kg;3kg;5kg;10kg;15kg;20kg;25kg,GYPSUM
,,,,,4.99,,904,Variation,Amount=250g,"GYPSUM 00250G"
,,,,,5.99,,910,Variation,Amount=500g,"GYPSUM 00500G"
,,,,,8.49,,928,Variation,Amount=1kg,"GYPSUM 01000G"
,,,,,9.49,,969,Variation,Amount=2kg,"GYPSUM 02000G"
,,,,,10.49,,970,Variation,Amount=3kg,"GYPSUM 03000G"
,,,,,12.49,,952,Variation,Amount=5kg,"GYPSUM 05000G"
,,,,,16.99,,957,Variation,Amount=10kg,"GYPSUM 10000G"
,,,,,21.99,,992,Variation,Amount=15kg,"GYPSUM 15000G"
,,,,,26.99,,997,Variation,Amount=20kg,"GYPSUM 20000G"
,,,,,29.99,,986,Variation,Amount=25kg,"GYPSUM 25000G"
Revise,361301696641,"MMC Pro 5Lt Mould/Algae Killer Patio Hard Surface Cleaner Armillatox Alternative",UK,GBP,27.99,,862,,,MMC-PRO_5LTR
Revise,361027158050,"Plastic Storage Buckets with Lids 0.5, 1, 5, 10, 15, 25/30 Litre Container Tubs",UK,GBP,,,,,"Qty.=1;2;3;4;5;6;7;8;9;10;15;20;25;30;35;40;45;50;60;70;80;90;100 | Size=500ml;1 Litre;5 Litre;10 Litre;15 Litre;25/30 Litre",PTUB
,,,,,399.99,,1000,Variation,"Size=25/30 Litre | Qty.=70","PTUB 30L x 070"
,,,,,469.99,,1000,Variation,"Size=25/30 Litre | Qty.=80","PTUB 30L x 080"
,,,,,524.99,,1000,Variation,"Size=25/30 Litre | Qty.=90","PTUB 30L x 090"
,,,,,579.99,,1000,Variation,"Size=25/30 Litre | Qty.=100","PTUB 30L x 100"
,,,,,94.99,,1000,Variation,"Size=25/30 Litre | Qty.=15","PTUB 30L x 015"
,,,,,119.99,,1000,Variation,"Size=25/30 Litre | Qty.=20","PTUB 30L x 020"
,,,,,149.99,,1000,Variation,"Size=25/30 Litre | Qty.=25","PTUB 30L x 025"
,,,,,179.99,,1000,Variation,"Size=25/30 Litre | Qty.=30","PTUB 30L x 030"
,,,,,209.99,,1000,Variation,"Size=25/30 Litre | Qty.=35","PTUB 30L x 035"
,,,,,239.99,,1000,Variation,"Size=25/30 Litre | Qty.=40","PTUB 30L x 040"
,,,,,269.99,,1000,Variation,"Size=25/30 Litre | Qty.=45","PTUB 30L x 045"
,,,,,299.99,,1000,Variation,"Size=25/30 Litre | Qty.=50","PTUB 30L x 050"
,,,,,344.99,,1000,Variation,"Size=25/30 Litre | Qty.=60","PTUB 30L x 060"
,,,,,17.99,,1000,Variation,"Size=25/30 Litre | Qty.=2","PTUB 30L x 002"
,,,,,22.99,,999,Variation,"Size=25/30 Litre | Qty.=3","PTUB 30L x 003"
,,,,,27.99,,1000,Variation,"Size=25/30 Litre | Qty.=4","PTUB 30L x 004"
,,,,,34.99,,1000,Variation,"Size=25/30 Litre | Qty.=5","PTUB 30L x 005"
,,,,,39.99,,999,Variation,"Size=25/30 Litre | Qty.=6","PTUB 30L x 006"
,,,,,42.99,,1000,Variation,"Size=25/30 Litre | Qty.=7","PTUB 30L x 007"
,,,,,49.99,,999,Variation,"Size=25/30 Litre | Qty.=8","PTUB 30L x 008"
,,,,,57.99,,1000,Variation,"Size=25/30 Litre | Qty.=9","PTUB 30L x 009"
,,,,,64.99,,1000,Variation,"Size=25/30 Litre | Qty.=10","PTUB 30L x 010"
,,,,,139.99,,1000,Variation,"Size=15 Litre | Qty.=40","PTUB 15L x 040"
,,,,,159.99,,1000,Variation,"Size=15 Litre | Qty.=45","PTUB 15L x 045"
,,,,,179.99,,1000,Variation,"Size=15 Litre | Qty.=50","PTUB 15L x 050"
,,,,,209.99,,1000,Variation,"Size=15 Litre | Qty.=60","PTUB 15L x 060"
,,,,,239.99,,1000,Variation,"Size=15 Litre | Qty.=70","PTUB 15L x 070"
,,,,,269.99,,1000,Variation,"Size=15 Litre | Qty.=80","PTUB 15L x 080"
,,,,,304.99,,1000,Variation,"Size=15 Litre | Qty.=90","PTUB 15L x 090"
,,,,,334.99,,1000,Variation,"Size=15 Litre | Qty.=100","PTUB 15L x 100"
,,,,,11.99,,995,Variation,"Size=25/30 Litre | Qty.=1","PTUB 30L x 001"
,,,,,30.99,,1000,Variation,"Size=15 Litre | Qty.=7","PTUB 15L x 007"
,,,,,35.99,,1000,Variation,"Size=15 Litre | Qty.=8","PTUB 15L x 008"
,,,,,39.49,,1000,Variation,"Size=15 Litre | Qty.=9","PTUB 15L x 009"
,,,,,41.99,,999,Variation,"Size=15 Litre | Qty.=10","PTUB 15L x 010"
,,,,,59.99,,999,Variation,"Size=15 Litre | Qty.=15","PTUB 15L x 015"
,,,,,76.99,,1000,Variation,"Size=15 Litre | Qty.=20","PTUB 15L x 020"
,,,,,94.99,,1000,Variation,"Size=15 Litre | Qty.=25","PTUB 15L x 025"
,,,,,99.99,,1000,Variation,"Size=15 Litre | Qty.=30","PTUB 15L x 030"
,,,,,119.99,,1000,Variation,"Size=15 Litre | Qty.=35","PTUB 15L x 035"
,,,,,154.99,,1000,Variation,"Size=10 Litre | Qty.=80","PTUB 10L x 080"
,,,,,169.99,,1000,Variation,"Size=10 Litre | Qty.=90","PTUB 10L x 090"
,,,,,184.99,,1000,Variation,"Size=10 Litre | Qty.=100","PTUB 10L x 100"
,,,,,8.99,,970,Variation,"Size=15 Litre | Qty.=1","PTUB 15L x 001"
,,,,,12.99,,994,Variation,"Size=15 Litre | Qty.=2","PTUB 15L x 002"
,,,,,16.99,,997,Variation,"Size=15 Litre | Qty.=3","PTUB 15L x 003"
,,,,,19.99,,995,Variation,"Size=15 Litre | Qty.=4","PTUB 15L x 004"
,,,,,23.99,,996,Variation,"Size=15 Litre | Qty.=5","PTUB 15L x 005"
,,,,,27.49,,999,Variation,"Size=15 Litre | Qty.=6","PTUB 15L x 006"
,,,,,42.29,,1000,Variation,"Size=10 Litre | Qty.=20","PTUB 10L x 020"
,,,,,52.49,,1000,Variation,"Size=10 Litre | Qty.=25","PTUB 10L x 025"
,,,,,68.99,,1000,Variation,"Size=10 Litre | Qty.=30","PTUB 10L x 030"
,,,,,74.99,,1000,Variation,"Size=10 Litre | Qty.=35","PTUB 10L x 035"
,,,,,79.99,,1000,Variation,"Size=10 Litre | Qty.=40","PTUB 10L x 040"
,,,,,88.99,,1000,Variation,"Size=10 Litre | Qty.=45","PTUB 10L x 045"
,,,,,97.49,,1000,Variation,"Size=10 Litre | Qty.=50","PTUB 10L x 050"
,,,,,111.99,,1000,Variation,"Size=10 Litre | Qty.=60","PTUB 10L x 060"
,,,,,138.99,,1000,Variation,"Size=10 Litre | Qty.=70","PTUB 10L x 070"
,,,,,10.49,,985,Variation,"Size=10 Litre | Qty.=3","PTUB 10L x 003"
,,,,,13.49,,990,Variation,"Size=10 Litre | Qty.=4","PTUB 10L x 004"
,,,,,14.59,,985,Variation,"Size=10 Litre | Qty.=5","PTUB 10L x 005"
,,,,,16.99,,997,Variation,"Size=10 Litre | Qty.=6","PTUB 10L x 006"
,,,,,18.99,,1000,Variation,"Size=10 Litre | Qty.=7","PTUB 10L x 007"
,,,,,20.99,,999,Variation,"Size=10 Litre | Qty.=8","PTUB 10L x 008"
,,,,,22.99,,1000,Variation,"Size=10 Litre | Qty.=9","PTUB 10L x 009"
,,,,,25.79,,993,Variation,"Size=10 Litre | Qty.=10","PTUB 10L x 010"
,,,,,35.49,,1000,Variation,"Size=10 Litre | Qty.=15","PTUB 10L x 015"
,,,,,63.99,,1000,Variation,"Size=5 Litre | Qty.=45","PTUB 05L x 045"
,,,,,69.99,,1000,Variation,"Size=5 Litre | Qty.=50","PTUB 05L x 050"
,,,,,84.99,,1000,Variation,"Size=5 Litre | Qty.=60","PTUB 05L x 060"
,,,,,99.99,,1000,Variation,"Size=5 Litre | Qty.=70","PTUB 05L x 070"
,,,,,113.99,,1000,Variation,"Size=5 Litre | Qty.=80","PTUB 05L x 080"
,,,,,127.99,,1000,Variation,"Size=5 Litre | Qty.=90","PTUB 05L x 090"
,,,,,139.99,,1000,Variation,"Size=5 Litre | Qty.=100","PTUB 05L x 100"
,,,,,6.99,,931,Variation,"Size=10 Litre | Qty.=1","PTUB 10L x 001"
,,,,,9.49,,976,Variation,"Size=10 Litre | Qty.=2","PTUB 10L x 002"
,,,,,13.99,,999,Variation,"Size=5 Litre | Qty.=8","PTUB 05L x 008"
,,,,,14.99,,999,Variation,"Size=5 Litre | Qty.=9","PTUB 05L x 009"
,,,,,16.69,,974,Variation,"Size=5 Litre | Qty.=10","PTUB 05L x 010"
,,,,,22.89,,1000,Variation,"Size=5 Litre | Qty.=15","PTUB 05L x 015"
,,,,,29.99,,1000,Variation,"Size=5 Litre | Qty.=20","PTUB 05L x 020"
,,,,,36.99,,1000,Variation,"Size=5 Litre | Qty.=25","PTUB 05L x 025"
,,,,,42.99,,1000,Variation,"Size=5 Litre | Qty.=30","PTUB 05L x 030"
,,,,,49.99,,1000,Variation,"Size=5 Litre | Qty.=35","PTUB 05L x 035"
,,,,,57.99,,1000,Variation,"Size=5 Litre | Qty.=40","PTUB 05L x 040"
,,,,,35.49,,1000,Variation,"Size=1 Litre | Qty.=90","PTUB 01L x 090"
,,,,,38.99,,996,Variation,"Size=1 Litre | Qty.=100","PTUB 01L x 100"
,,,,,5.99,,928,Variation,"Size=5 Litre | Qty.=1","PTUB 05L x 001"
,,,,,7.49,,970,Variation,"Size=5 Litre | Qty.=2","PTUB 05L x 002"
,,,,,8.99,,992,Variation,"Size=5 Litre | Qty.=3","PTUB 05L x 003"
,,,,,9.99,,991,Variation,"Size=5 Litre | Qty.=4","PTUB 05L x 004"
,,,,,10.99,,975,Variation,"Size=5 Litre | Qty.=5","PTUB 05L x 005"
,,,,,11.99,,993,Variation,"Size=5 Litre | Qty.=6","PTUB 05L x 006"
,,,,,12.99,,999,Variation,"Size=5 Litre | Qty.=7","PTUB 05L x 007"
,,,,,15.99,,995,Variation,"Size=1 Litre | Qty.=25","PTUB 01L x 025"
,,,,,16.99,,995,Variation,"Size=1 Litre | Qty.=30","PTUB 01L x 030"
,,,,,17.99,,998,Variation,"Size=1 Litre | Qty.=35","PTUB 01L x 035"
,,,,,18.99,,994,Variation,"Size=1 Litre | Qty.=40","PTUB 01L x 040"
,,,,,19.99,,1000,Variation,"Size=1 Litre | Qty.=45","PTUB 01L x 045"
,,,,,20.99,,986,Variation,"Size=1 Litre | Qty.=50","PTUB 01L x 050"
,,,,,24.49,,998,Variation,"Size=1 Litre | Qty.=60","PTUB 01L x 060"
,,,,,28.99,,1000,Variation,"Size=1 Litre | Qty.=70","PTUB 01L x 070"
,,,,,31.99,,1000,Variation,"Size=1 Litre | Qty.=80","PTUB 01L x 080"
,,,,,6.19,,982,Variation,"Size=1 Litre | Qty.=4","PTUB 01L x 004"
,,,,,6.49,,967,Variation,"Size=1 Litre | Qty.=5","PTUB 01L x 005"
,,,,,6.99,,989,Variation,"Size=1 Litre | Qty.=6","PTUB 01L x 006"
,,,,,7.39,,999,Variation,"Size=1 Litre | Qty.=7","PTUB 01L x 007"
,,,,,7.59,,991,Variation,"Size=1 Litre | Qty.=8","PTUB 01L x 008"
,,,,,8.79,,1000,Variation,"Size=1 Litre | Qty.=9","PTUB 01L x 009"
,,,,,7.98,,910,Variation,"Size=1 Litre | Qty.=10","PTUB 01L x 010"
,,,,,10.49,,996,Variation,"Size=1 Litre | Qty.=15","PTUB 01L x 015"
,,,,,10.98,,975,Variation,"Size=1 Litre | Qty.=20","PTUB 01L x 020"
