key,Date,Sales
sal6,01/04/2020 00:00,0.625
coi1,01/04/2020 00:00,2
ele1,01/04/2020 00:00,1
fer18,01/04/2020 00:00,1
fer26,01/04/2020 00:00,1
fer40,01/04/2020 00:00,1
fer47,01/04/2020 00:00,2
fer48,01/04/2020 00:00,1
fer57,01/04/2020 00:00,1
pes21,01/04/2020 00:00,1
pes23,01/04/2020 00:00,1
pes23,01/04/2020 00:00,2
pes27,01/04/2020 00:00,1
pes27,01/04/2020 00:00,4
pes28,01/04/2020 00:00,17
pes28,01/04/2020 00:00,9
pes28,01/04/2020 00:00,4
pes28,01/04/2020 00:00,10
pot17,01/04/2020 00:00,1
sal10,01/04/2020 00:00,198
sal10,01/04/2020 00:00,6
sal10,01/04/2020 00:00,6
sal11,01/04/2020 00:00,9
sal6,01/04/2020 00:00,6
sto1,01/04/2020 00:00,1
sto10,01/04/2020 00:00,20
sto10,01/04/2020 00:00,2
sto10,01/04/2020 00:00,4
sto10,01/04/2020 00:00,10
sto12,01/04/2020 00:00,4
sto13,01/04/2020 00:00,7
sto14,01/04/2020 00:00,124
sto14,01/04/2020 00:00,4
sto14,01/04/2020 00:00,3
sto15,01/04/2020 00:00,3
sto16,01/04/2020 00:00,16
sto16,01/04/2020 00:00,2
sto5,01/04/2020 00:00,6
sto6,01/04/2020 00:00,12
sto6,01/04/2020 00:00,2
sto7,01/04/2020 00:00,30
sto8,01/04/2020 00:00,149
sto8,01/04/2020 00:00,12
sto8,01/04/2020 00:00,3
sto9,01/04/2020 00:00,4
sup20,01/04/2020 00:00,1
wee0,01/04/2020 00:00,344
wee0,01/04/2020 00:00,52
wee7,01/04/2020 00:00,18
fer48,01/04/2020 00:00,4
pes27,01/04/2020 00:00,4
pes28,01/04/2020 00:00,68
pes28,01/04/2020 00:00,8
pes28,01/04/2020 00:00,12
pes28,01/04/2020 00:00,16
pes28,01/04/2020 00:00,10
pot83,01/04/2020 00:00,2
sal10,01/04/2020 00:00,66
sal10,01/04/2020 00:00,8
sal10,01/04/2020 00:00,8
sal11,01/04/2020 00:00,58
sal6,01/04/2020 00:00,2
fer0,01/04/2020 00:00,2.5
fer48,01/04/2020 00:00,12.5
fer48,01/04/2020 00:00,5
fer5,01/04/2020 00:00,2.5
fer27,01/04/2020 00:00,3
fer48,01/04/2020 00:00,9
pes27,01/04/2020 00:00,9
pes28,01/04/2020 00:00,30
pes28,01/04/2020 00:00,6
fer21,01/04/2020 00:00,4
fer48,01/04/2020 00:00,8
pes27,01/04/2020 00:00,20
pes28,01/04/2020 00:00,4
see14,01/04/2020 00:00,4
net8,01/04/2020 00:00,4.5
fer0,01/04/2020 00:00,30
fer16,01/04/2020 00:00,5
fer23,01/04/2020 00:00,5
fer24,01/04/2020 00:00,20
fer26,01/04/2020 00:00,5
fer27,01/04/2020 00:00,5
fer34,01/04/2020 00:00,10
fer39,01/04/2020 00:00,5
fer4,01/04/2020 00:00,5
fer44,01/04/2020 00:00,5
fer48,01/04/2020 00:00,10
fer49,01/04/2020 00:00,20
fer54,01/04/2020 00:00,15
fer9,01/04/2020 00:00,5
pes27,01/04/2020 00:00,15
pes27,01/04/2020 00:00,10
pes28,01/04/2020 00:00,180
pes28,01/04/2020 00:00,15
pol7,01/04/2020 00:00,5
pot16,01/04/2020 00:00,5
pot97,01/04/2020 00:00,5
sal0,01/04/2020 00:00,5
sal1,01/04/2020 00:00,5
see17,01/04/2020 00:00,6
see20,01/04/2020 00:00,6
see9,01/04/2020 00:00,6
pot3,01/04/2020 00:00,7
irr1,01/04/2020 00:00,8
pol4,01/04/2020 00:00,9
fer0,01/04/2020 00:00,320
fer0,01/04/2020 00:00,20
fer0,01/04/2020 00:00,30
fer16,01/04/2020 00:00,20
fer17,01/04/2020 00:00,710
fer17,01/04/2020 00:00,80
fer24,01/04/2020 00:00,40
fer34,01/04/2020 00:00,30
fer38,01/04/2020 00:00,10
fer47,01/04/2020 00:00,10
fer48,01/04/2020 00:00,350
fer48,01/04/2020 00:00,40
fer49,01/04/2020 00:00,20
fer54,01/04/2020 00:00,10
fer9,01/04/2020 00:00,10
jif1,01/04/2020 00:00,10
jif5,01/04/2020 00:00,20
jif6,01/04/2020 00:00,10
jif8,01/04/2020 00:00,10
jif9,01/04/2020 00:00,10
pes27,01/04/2020 00:00,110
pes28,01/04/2020 00:00,630
pes28,01/04/2020 00:00,220
pes28,01/04/2020 00:00,30
pot15,01/04/2020 00:00,10
pot9,01/04/2020 00:00,10
see10,01/04/2020 00:00,10
see12,01/04/2020 00:00,10
see14,01/04/2020 00:00,20
fer0,01/04/2020 00:00,15
fer24,01/04/2020 00:00,15
fer39,01/04/2020 00:00,15
fer44,01/04/2020 00:00,30
fer9,01/04/2020 00:00,15
pes0,01/04/2020 00:00,825
pes0,01/04/2020 00:00,30
pes26,01/04/2020 00:00,15
pes26,01/04/2020 00:00,30
pes27,01/04/2020 00:00,30
pes28,01/04/2020 00:00,15
pes28,01/04/2020 00:00,30
bir2,01/04/2020 00:00,20
coi1,01/04/2020 00:00,40
fer17,01/04/2020 00:00,1200
fer17,01/04/2020 00:00,440
fer17,01/04/2020 00:00,120
fer17,01/04/2020 00:00,80
fer17,01/04/2020 00:00,100
fer17,01/04/2020 00:00,160
fer40,01/04/2020 00:00,40
fer40,01/04/2020 00:00,40
fer9,01/04/2020 00:00,20
pes27,01/04/2020 00:00,20
pes28,01/04/2020 00:00,180
pot74,01/04/2020 00:00,20
pot75,01/04/2020 00:00,40
pot77,01/04/2020 00:00,20
sal0,01/04/2020 00:00,20
see27,01/04/2020 00:00,20
net10,01/04/2020 00:00,20.5
pes33,01/04/2020 00:00,21
bub3,01/04/2020 00:00,25
fer0,01/04/2020 00:00,1200
fer0,01/04/2020 00:00,100
fer16,01/04/2020 00:00,75
fer24,01/04/2020 00:00,275
fer24,01/04/2020 00:00,50
fer24,01/04/2020 00:00,100
fer27,01/04/2020 00:00,25
fer34,01/04/2020 00:00,350
fer34,01/04/2020 00:00,100
fer34,01/04/2020 00:00,75
fer34,01/04/2020 00:00,125
fer34,01/04/2020 00:00,250
fer4,01/04/2020 00:00,100
fer48,01/04/2020 00:00,700
fer48,01/04/2020 00:00,150
fer48,01/04/2020 00:00,300
fer48,01/04/2020 00:00,125
fer49,01/04/2020 00:00,175
fer53,01/04/2020 00:00,25
fer54,01/04/2020 00:00,25
fer9,01/04/2020 00:00,150
jif0,01/04/2020 00:00,25
jif1,01/04/2020 00:00,25
jif2,01/04/2020 00:00,50
jif5,01/04/2020 00:00,75
jif9,01/04/2020 00:00,25
sal5,01/04/2020 00:00,25
sal6,01/04/2020 00:00,1500
sal6,01/04/2020 00:00,50
sal7,01/04/2020 00:00,25
sal8,01/04/2020 00:00,25
pes0,01/04/2020 00:00,510
pes26,01/04/2020 00:00,30
pes27,01/04/2020 00:00,30
pes28,01/04/2020 00:00,60
pot55,01/04/2020 00:00,30
bir2,01/04/2020 00:00,40
pot71,01/04/2020 00:00,40
pes0,01/04/2020 00:00,90
jif1,01/04/2020 00:00,100
jif10,01/04/2020 00:00,50
jif2,01/04/2020 00:00,250
jif6,01/04/2020 00:00,100
pot68,01/04/2020 00:00,50
see6,01/04/2020 00:00,50
pes0,01/04/2020 00:00,180
pes26,01/04/2020 00:00,60
pes0,01/04/2020 00:00,225
bam1,01/04/2020 00:00,100
jif1,01/04/2020 00:00,100
jif1,01/04/2020 00:00,200
jif10,01/04/2020 00:00,100
jif14,01/04/2020 00:00,100
jif2,01/04/2020 00:00,300
jif3,01/04/2020 00:00,100
jif4,01/04/2020 00:00,100
jif5,01/04/2020 00:00,100
lab33,01/04/2020 00:00,100
pot48,01/04/2020 00:00,100
sup10,01/04/2020 00:00,100
pes28,01/04/2020 00:00,140
pot91,01/04/2020 00:00,180
jif1,01/04/2020 00:00,200
jif10,01/04/2020 00:00,200
jif17,01/04/2020 00:00,200
jif20,01/04/2020 00:00,200
pot89,01/04/2020 00:00,200
pot47,01/04/2020 00:00,300
jif10,01/04/2020 00:00,500
jif19,01/04/2020 00:00,500
pot89,01/04/2020 00:00,1000
pot91,01/04/2020 00:00,1000
jif12,01/04/2020 00:00,4608
fer29,02/04/2020 00:00,0.03
fer29,02/04/2020 00:00,0.04
fer29,02/04/2020 00:00,0.02
fer29,02/04/2020 00:00,0.05
fer29,02/04/2020 00:00,0.09
fer21,02/04/2020 00:00,0.05
fer29,02/04/2020 00:00,0.05
fer29,02/04/2020 00:00,0.18
fer29,02/04/2020 00:00,0.18
fer11,02/04/2020 00:00,0.1
fer21,02/04/2020 00:00,0.1
fer44,02/04/2020 00:00,0.1
fer44,02/04/2020 00:00,0.2
fer29,02/04/2020 00:00,0.24
fer21,02/04/2020 00:00,0.2
fer49,02/04/2020 00:00,0.2
sal5,02/04/2020 00:00,0.4
fer42,02/04/2020 00:00,0.25
fer5,02/04/2020 00:00,0.25
sal0,02/04/2020 00:00,0.5
fer29,02/04/2020 00:00,0.3
sal0,02/04/2020 00:00,0.939
sal6,02/04/2020 00:00,0.313
bir2,02/04/2020 00:00,28
