key,Date,Sales
sal5,01/08/2020 00:00,0.01
fer21,01/08/2020 00:00,0.05
fer60,01/08/2020 00:00,0.2
fer21,01/08/2020 00:00,0.4
fer21,01/08/2020 00:00,0.4
fer49,01/08/2020 00:00,0.2
sal5,01/08/2020 00:00,0.2
fer18,01/08/2020 00:00,0.25
fer23,01/08/2020 00:00,0.25
fer29,01/08/2020 00:00,0.25
fer60,01/08/2020 00:00,1
sal0,01/08/2020 00:00,0.25
acc14,01/08/2020 00:00,0.9
acc16,01/08/2020 00:00,0.45
fer0,01/08/2020 00:00,0.5
fer16,01/08/2020 00:00,1
fer18,01/08/2020 00:00,0.5
fer23,01/08/2020 00:00,0.5
fer39,01/08/2020 00:00,0.5
fer60,01/08/2020 00:00,1
sal0,01/08/2020 00:00,0.5
sal5,01/08/2020 00:00,0.5
fer29,01/08/2020 00:00,0.7
fer5,01/08/2020 00:00,0.7
fer24,01/08/2020 00:00,1.5
acc13,01/08/2020 00:00,1
acc14,01/08/2020 00:00,2
acc19,01/08/2020 00:00,2
acc21,01/08/2020 00:00,6
acc21,01/08/2020 00:00,10
acc21,01/08/2020 00:00,4
acc22,01/08/2020 00:00,11
agg1,01/08/2020 00:00,7
agg4,01/08/2020 00:00,1
agg6,01/08/2020 00:00,1
agg7,01/08/2020 00:00,3
ele0,01/08/2020 00:00,2
ele0,01/08/2020 00:00,2
ele10,01/08/2020 00:00,1
ele19,01/08/2020 00:00,1
ele3,01/08/2020 00:00,2
fer0,01/08/2020 00:00,1
fer0,01/08/2020 00:00,2
fer11,01/08/2020 00:00,2
fer12,01/08/2020 00:00,1
fer16,01/08/2020 00:00,6
fer21,01/08/2020 00:00,1
fer23,01/08/2020 00:00,1
fer24,01/08/2020 00:00,1
fer29,01/08/2020 00:00,1
fer4,01/08/2020 00:00,1
fer42,01/08/2020 00:00,1
fer47,01/08/2020 00:00,3
fer47,01/08/2020 00:00,3
fer49,01/08/2020 00:00,2
fer5,01/08/2020 00:00,3
fer50,01/08/2020 00:00,2
fer56,01/08/2020 00:00,1
fer57,01/08/2020 00:00,1
fer57,01/08/2020 00:00,3
gro10,01/08/2020 00:00,18
gro10,01/08/2020 00:00,6
gro11,01/08/2020 00:00,11
gro12,01/08/2020 00:00,8
gro12,01/08/2020 00:00,2
gro14,01/08/2020 00:00,31
gro14,01/08/2020 00:00,6
gro14,01/08/2020 00:00,5
gro15,01/08/2020 00:00,6
gro16,01/08/2020 00:00,4
gro18,01/08/2020 00:00,5
gro19,01/08/2020 00:00,1
gro22,01/08/2020 00:00,8
gro22,01/08/2020 00:00,2
gro23,01/08/2020 00:00,1
gro24,01/08/2020 00:00,1
gro26,01/08/2020 00:00,4
gro27,01/08/2020 00:00,1
gro28,01/08/2020 00:00,1
gro30,01/08/2020 00:00,5
han22,01/08/2020 00:00,1
han3,01/08/2020 00:00,1
han7,01/08/2020 00:00,1
han9,01/08/2020 00:00,1
irr1,01/08/2020 00:00,1
pes11,01/08/2020 00:00,5
pes15,01/08/2020 00:00,1
pes20,01/08/2020 00:00,1
pes23,01/08/2020 00:00,1
pes27,01/08/2020 00:00,5
pes28,01/08/2020 00:00,5
pes4,01/08/2020 00:00,2
pol14,01/08/2020 00:00,2
pol20,01/08/2020 00:00,1
pol5,01/08/2020 00:00,1
pot102,01/08/2020 00:00,1
pot16,01/08/2020 00:00,2
pot17,01/08/2020 00:00,3
pot18,01/08/2020 00:00,1
pot20,01/08/2020 00:00,2
pot20,01/08/2020 00:00,2
pot21,01/08/2020 00:00,4
pot55,01/08/2020 00:00,1
pot60,01/08/2020 00:00,1
pot60,01/08/2020 00:00,3
pot75,01/08/2020 00:00,1
sal0,01/08/2020 00:00,3
sal1,01/08/2020 00:00,3
sal10,01/08/2020 00:00,8
sal10,01/08/2020 00:00,2
sal4,01/08/2020 00:00,1
sal5,01/08/2020 00:00,6
sal6,01/08/2020 00:00,1
sto10,01/08/2020 00:00,20
sto10,01/08/2020 00:00,4
sto11,01/08/2020 00:00,1
sto12,01/08/2020 00:00,10
sto12,01/08/2020 00:00,2
sto13,01/08/2020 00:00,32
sto14,01/08/2020 00:00,47
sto15,01/08/2020 00:00,6
sto16,01/08/2020 00:00,22
sto2,01/08/2020 00:00,3
sto3,01/08/2020 00:00,4
sto4,01/08/2020 00:00,10
sto4,01/08/2020 00:00,2
sto45,01/08/2020 00:00,1
sto46,01/08/2020 00:00,3
sto5,01/08/2020 00:00,49
sto5,01/08/2020 00:00,3
sto6,01/08/2020 00:00,36
sto7,01/08/2020 00:00,35
sto7,01/08/2020 00:00,2
sto8,01/08/2020 00:00,37
sto9,01/08/2020 00:00,8
sup28,01/08/2020 00:00,1
sup34,01/08/2020 00:00,1
wee0,01/08/2020 00:00,199
wee0,01/08/2020 00:00,10
wee0,01/08/2020 00:00,4
wee4,01/08/2020 00:00,7
wee5,01/08/2020 00:00,3
wee7,01/08/2020 00:00,60
wee7,01/08/2020 00:00,4
net11,01/08/2020 00:00,3
net12,01/08/2020 00:00,1.5
net7,01/08/2020 00:00,3
net8,01/08/2020 00:00,7.5
net9,01/08/2020 00:00,1.5
acc14,01/08/2020 00:00,2
acc16,01/08/2020 00:00,2
agg1,01/08/2020 00:00,6
fer21,01/08/2020 00:00,4
fer34,01/08/2020 00:00,2
han10,01/08/2020 00:00,2
han12,01/08/2020 00:00,2
han14,01/08/2020 00:00,2
net17,01/08/2020 00:00,2
net5,01/08/2020 00:00,2
pes11,01/08/2020 00:00,4
pes23,01/08/2020 00:00,4
pes25,01/08/2020 00:00,2
pes27,01/08/2020 00:00,2
pes28,01/08/2020 00:00,6
pes3,01/08/2020 00:00,2
pol6,01/08/2020 00:00,4
pot104,01/08/2020 00:00,4
pot105,01/08/2020 00:00,2
pot15,01/08/2020 00:00,4
pot17,01/08/2020 00:00,4
pot18,01/08/2020 00:00,2
pot19,01/08/2020 00:00,2
pot38,01/08/2020 00:00,2
pot40,01/08/2020 00:00,2
pot41,01/08/2020 00:00,4
pot42,01/08/2020 00:00,2
pot43,01/08/2020 00:00,2
pot58,01/08/2020 00:00,2
pot68,01/08/2020 00:00,6
pot69,01/08/2020 00:00,4
pot70,01/08/2020 00:00,6
pot71,01/08/2020 00:00,4
pot72,01/08/2020 00:00,4
pot73,01/08/2020 00:00,16
pot74,01/08/2020 00:00,4
pot74,01/08/2020 00:00,4
pot75,01/08/2020 00:00,2
pot76,01/08/2020 00:00,4
pot77,01/08/2020 00:00,2
pot77,01/08/2020 00:00,4
pot80,01/08/2020 00:00,2
pot83,01/08/2020 00:00,2
pot86,01/08/2020 00:00,2
sal0,01/08/2020 00:00,6
sal10,01/08/2020 00:00,2
sal5,01/08/2020 00:00,10
see10,01/08/2020 00:00,2
see16,01/08/2020 00:00,2
see17,01/08/2020 00:00,2
sto16,01/08/2020 00:00,2
sto47,01/08/2020 00:00,4
sup2,01/08/2020 00:00,4
sup20,01/08/2020 00:00,8
sup20,01/08/2020 00:00,4
sup39,01/08/2020 00:00,2
wor3,01/08/2020 00:00,14
fer0,01/08/2020 00:00,7.5
fer40,01/08/2020 00:00,2.5
fer41,01/08/2020 00:00,7.5
fer42,01/08/2020 00:00,2.5
fer49,01/08/2020 00:00,5
fer5,01/08/2020 00:00,7.5
fer50,01/08/2020 00:00,10
fer53,01/08/2020 00:00,5
fer60,01/08/2020 00:00,2.5
net8,01/08/2020 00:00,2.5
net9,01/08/2020 00:00,5
sal5,01/08/2020 00:00,7.5
acc16,01/08/2020 00:00,3
fer12,01/08/2020 00:00,3
fer15,01/08/2020 00:00,3
fer16,01/08/2020 00:00,3
fer18,01/08/2020 00:00,3
fer25,01/08/2020 00:00,3
fer48,01/08/2020 00:00,3
fer50,01/08/2020 00:00,3
gro13,01/08/2020 00:00,3
gro25,01/08/2020 00:00,3
gro29,01/08/2020 00:00,3
han4,01/08/2020 00:00,3
pes24,01/08/2020 00:00,3
