key,Date,Sales
fer21,01/12/2019 00:00,0.05
fer25,01/12/2019 00:00,0.1
sal5,01/12/2019 00:00,0.1
acc16,01/12/2019 00:00,0.45
fer21,01/12/2019 00:00,0.8
fer21,01/12/2019 00:00,0.25
fer23,01/12/2019 00:00,0.25
sal5,01/12/2019 00:00,0.3
fer40,01/12/2019 00:00,0.5
sal1,01/12/2019 00:00,0.5
sal2,01/12/2019 00:00,0.5
acc14,01/12/2019 00:00,0.6
sal6,01/12/2019 00:00,0.625
fer5,01/12/2019 00:00,0.7
acc18,01/12/2019 00:00,1
acc9,01/12/2019 00:00,1
agg1,01/12/2019 00:00,2
agg3,01/12/2019 00:00,1
agg6,01/12/2019 00:00,4
agg7,01/12/2019 00:00,3
agg8,01/12/2019 00:00,1
agg9,01/12/2019 00:00,1
bir3,01/12/2019 00:00,1
ele0,01/12/2019 00:00,19
ele0,01/12/2019 00:00,6
ele0,01/12/2019 00:00,3
ele1,01/12/2019 00:00,12
ele1,01/12/2019 00:00,2
ele16,01/12/2019 00:00,1
ele17,01/12/2019 00:00,5
ele17,01/12/2019 00:00,3
ele18,01/12/2019 00:00,2
ele19,01/12/2019 00:00,2
ele20,01/12/2019 00:00,3
ele21,01/12/2019 00:00,6
ele21,01/12/2019 00:00,3
ele23,01/12/2019 00:00,6
ele25,01/12/2019 00:00,12
ele25,01/12/2019 00:00,2
ele26,01/12/2019 00:00,4
ele27,01/12/2019 00:00,2
ele27,01/12/2019 00:00,3
fer11,01/12/2019 00:00,1
fer16,01/12/2019 00:00,1
fer21,01/12/2019 00:00,1
fer28,01/12/2019 00:00,1
fer4,01/12/2019 00:00,1
fer5,01/12/2019 00:00,2
fer50,01/12/2019 00:00,1
fer57,01/12/2019 00:00,1
gro10,01/12/2019 00:00,1
gro12,01/12/2019 00:00,3
gro14,01/12/2019 00:00,1
gro15,01/12/2019 00:00,1
gro16,01/12/2019 00:00,2
gro18,01/12/2019 00:00,1
gro20,01/12/2019 00:00,1
gro30,01/12/2019 00:00,10
pes23,01/12/2019 00:00,1
pes27,01/12/2019 00:00,3
pes27,01/12/2019 00:00,2
pes27,01/12/2019 00:00,3
pes28,01/12/2019 00:00,4
pes9,01/12/2019 00:00,2
pol14,01/12/2019 00:00,1
pol15,01/12/2019 00:00,2
pol16,01/12/2019 00:00,1
pol17,01/12/2019 00:00,4
pol18,01/12/2019 00:00,3
pol23,01/12/2019 00:00,1
pot1,01/12/2019 00:00,3
pot15,01/12/2019 00:00,1
pot16,01/12/2019 00:00,1
pot19,01/12/2019 00:00,1
pot21,01/12/2019 00:00,1
pot59,01/12/2019 00:00,1
pot60,01/12/2019 00:00,1
pot97,01/12/2019 00:00,2
sal0,01/12/2019 00:00,1
sal1,01/12/2019 00:00,1
sal10,01/12/2019 00:00,13
sal10,01/12/2019 00:00,6
sal11,01/12/2019 00:00,3
sal5,01/12/2019 00:00,2
sto1,01/12/2019 00:00,1
sto10,01/12/2019 00:00,3
sto12,01/12/2019 00:00,4
sto13,01/12/2019 00:00,19
sto14,01/12/2019 00:00,30
sto14,01/12/2019 00:00,4
sto15,01/12/2019 00:00,3
sto15,01/12/2019 00:00,2
sto16,01/12/2019 00:00,7
sto2,01/12/2019 00:00,1
sto3,01/12/2019 00:00,1
sto3,01/12/2019 00:00,2
sto4,01/12/2019 00:00,10
sto45,01/12/2019 00:00,1
sto5,01/12/2019 00:00,20
sto6,01/12/2019 00:00,12
sto6,01/12/2019 00:00,2
sto7,01/12/2019 00:00,13
sto8,01/12/2019 00:00,12
sto9,01/12/2019 00:00,4
sto9,01/12/2019 00:00,2
wee0,01/12/2019 00:00,33
wee0,01/12/2019 00:00,6
wee0,01/12/2019 00:00,10
