key,Date,Sales
fer29,01/02/2020 00:00,0.005
fer21,01/02/2020 00:00,0.2
fer18,01/02/2020 00:00,0.25
fer42,01/02/2020 00:00,0.25
acc18,01/02/2020 00:00,0.6
sal0,01/02/2020 00:00,0.313
fer11,01/02/2020 00:00,0.5
fer23,01/02/2020 00:00,0.5
fer47,01/02/2020 00:00,0.5
sal1,01/02/2020 00:00,0.5
wee2,01/02/2020 00:00,0.5
acc16,01/02/2020 00:00,1
acc19,01/02/2020 00:00,1
acc21,01/02/2020 00:00,1
agg7,01/02/2020 00:00,1
coi0,01/02/2020 00:00,1
coi1,01/02/2020 00:00,1
ele0,01/02/2020 00:00,7
ele1,01/02/2020 00:00,4
ele10,01/02/2020 00:00,7
ele11,01/02/2020 00:00,3
ele12,01/02/2020 00:00,2
ele16,01/02/2020 00:00,9
ele19,01/02/2020 00:00,1
ele23,01/02/2020 00:00,1
ele24,01/02/2020 00:00,1
ele25,01/02/2020 00:00,2
ele26,01/02/2020 00:00,2
ele27,01/02/2020 00:00,1
ele3,01/02/2020 00:00,1
ele9,01/02/2020 00:00,2
fer0,01/02/2020 00:00,1
fer15,01/02/2020 00:00,1
fer16,01/02/2020 00:00,3
fer21,01/02/2020 00:00,3
fer24,01/02/2020 00:00,1
fer27,01/02/2020 00:00,1
fer39,01/02/2020 00:00,2
fer40,01/02/2020 00:00,1
fer49,01/02/2020 00:00,1
fer5,01/02/2020 00:00,2
fer56,01/02/2020 00:00,1
fer56,01/02/2020 00:00,3
gro11,01/02/2020 00:00,3
gro12,01/02/2020 00:00,3
gro13,01/02/2020 00:00,1
gro14,01/02/2020 00:00,1
gro16,01/02/2020 00:00,2
gro16,01/02/2020 00:00,2
gro22,01/02/2020 00:00,1
gro26,01/02/2020 00:00,1
gro30,01/02/2020 00:00,2
han9,01/02/2020 00:00,1
jif24,01/02/2020 00:00,1
pes24,01/02/2020 00:00,1
pes27,01/02/2020 00:00,2
pes28,01/02/2020 00:00,4
