key,Date,Sales
fer21,01/01/2020 00:00,0.05
fer11,01/01/2020 00:00,0.1
fer25,01/01/2020 00:00,0.1
fer21,01/01/2020 00:00,0.2
sal5,01/01/2020 00:00,0.2
sal0,01/01/2020 00:00,0.313
fer21,01/01/2020 00:00,0.5
sal6,01/01/2020 00:00,0.5
acc18,01/01/2020 00:00,0.6
acc12,01/01/2020 00:00,2
acc9,01/01/2020 00:00,1
agg3,01/01/2020 00:00,1
agg6,01/01/2020 00:00,1
agg7,01/01/2020 00:00,2
agg8,01/01/2020 00:00,1
bam0,01/01/2020 00:00,2
bir0,01/01/2020 00:00,1
ele0,01/01/2020 00:00,11
ele1,01/01/2020 00:00,3
ele1,01/01/2020 00:00,2
ele10,01/01/2020 00:00,4
ele11,01/01/2020 00:00,4
ele12,01/01/2020 00:00,1
ele16,01/01/2020 00:00,8
ele18,01/01/2020 00:00,3
ele19,01/01/2020 00:00,2
ele23,01/01/2020 00:00,4
ele25,01/01/2020 00:00,2
ele26,01/01/2020 00:00,1
ele26,01/01/2020 00:00,2
ele9,01/01/2020 00:00,2
fer11,01/01/2020 00:00,4
fer12,01/01/2020 00:00,1
fer14,01/01/2020 00:00,2
fer25,01/01/2020 00:00,1
fer28,01/01/2020 00:00,1
fer32,01/01/2020 00:00,1
fer39,01/01/2020 00:00,1
fer48,01/01/2020 00:00,1
gro10,01/01/2020 00:00,2
gro12,01/01/2020 00:00,4
gro15,01/01/2020 00:00,1
gro16,01/01/2020 00:00,2
gro18,01/01/2020 00:00,1
gro30,01/01/2020 00:00,3
pes24,01/01/2020 00:00,1
pes27,01/01/2020 00:00,2
pes28,01/01/2020 00:00,5
pes28,01/01/2020 00:00,2
pes28,01/01/2020 00:00,4
pes28,01/01/2020 00:00,5
pol15,01/01/2020 00:00,1
pol16,01/01/2020 00:00,2
pol16,01/01/2020 00:00,3
pol17,01/01/2020 00:00,1
pol19,01/01/2020 00:00,1
pol20,01/01/2020 00:00,1
pol21,01/01/2020 00:00,3
pol21,01/01/2020 00:00,4
pol22,01/01/2020 00:00,2
pol6,01/01/2020 00:00,1
pot15,01/01/2020 00:00,2
pot16,01/01/2020 00:00,3
pot3,01/01/2020 00:00,1
pot59,01/01/2020 00:00,1
pot97,01/01/2020 00:00,2
sal0,01/01/2020 00:00,5
sal1,01/01/2020 00:00,1
sal10,01/01/2020 00:00,7
sal11,01/01/2020 00:00,2
sal4,01/01/2020 00:00,1
sal5,01/01/2020 00:00,1
see18,01/01/2020 00:00,1
see19,01/01/2020 00:00,2
sto0,01/01/2020 00:00,1
sto10,01/01/2020 00:00,7
sto10,01/01/2020 00:00,2
sto12,01/01/2020 00:00,3
sto13,01/01/2020 00:00,19
sto14,01/01/2020 00:00,20
sto14,01/01/2020 00:00,4
sto15,01/01/2020 00:00,2
sto16,01/01/2020 00:00,6
sto2,01/01/2020 00:00,2
sto3,01/01/2020 00:00,1
sto4,01/01/2020 00:00,5
sto45,01/01/2020 00:00,2
sto5,01/01/2020 00:00,19
sto6,01/01/2020 00:00,15
sto7,01/01/2020 00:00,16
sto8,01/01/2020 00:00,11
sto9,01/01/2020 00:00,6
sup14,01/01/2020 00:00,2
sup7,01/01/2020 00:00,2
tra2,01/01/2020 00:00,1
wee0,01/01/2020 00:00,31
wee0,01/01/2020 00:00,6
wee5,01/01/2020 00:00,7
wee5,01/01/2020 00:00,3
net10,01/01/2020 00:00,3
sal0,01/01/2020 00:00,3
ele18,01/01/2020 00:00,2
ele3,01/01/2020 00:00,2
fer50,01/01/2020 00:00,2
fer54,01/01/2020 00:00,2
fer56,01/01/2020 00:00,2
irr2,01/01/2020 00:00,2
pes24,01/01/2020 00:00,2
pes25,01/01/2020 00:00,2
