key,Date,Sales
fer29,01/07/2020 00:00,0.01
fer29,01/07/2020 00:00,0.01
fer21,01/07/2020 00:00,0.05
fer21,01/07/2020 00:00,0.2
fer21,01/07/2020 00:00,1
fer23,01/07/2020 00:00,0.5
fer25,01/07/2020 00:00,0.25
fer29,01/07/2020 00:00,0.25
fer42,01/07/2020 00:00,0.5
fer21,01/07/2020 00:00,0.3
fer21,01/07/2020 00:00,0.6
fer0,01/07/2020 00:00,1
fer16,01/07/2020 00:00,0.5
fer18,01/07/2020 00:00,0.5
fer21,01/07/2020 00:00,0.5
fer23,01/07/2020 00:00,0.5
fer39,01/07/2020 00:00,0.5
fer4,01/07/2020 00:00,0.5
sal0,01/07/2020 00:00,1
sal2,01/07/2020 00:00,0.5
sal4,01/07/2020 00:00,0.5
sal5,01/07/2020 00:00,2.5
sal7,01/07/2020 00:00,0.5
sal5,01/07/2020 00:00,0.625
fer21,01/07/2020 00:00,1.5
acc22,01/07/2020 00:00,1
agg1,01/07/2020 00:00,7
agg1,01/07/2020 00:00,2
agg6,01/07/2020 00:00,1
agg7,01/07/2020 00:00,1
agg8,01/07/2020 00:00,1
bir3,01/07/2020 00:00,5
coi1,01/07/2020 00:00,3
ele1,01/07/2020 00:00,1
ele26,01/07/2020 00:00,1
fer0,01/07/2020 00:00,6
fer11,01/07/2020 00:00,1
fer12,01/07/2020 00:00,1
fer16,01/07/2020 00:00,1
fer21,01/07/2020 00:00,1
fer28,01/07/2020 00:00,2
fer3,01/07/2020 00:00,1
fer31,01/07/2020 00:00,1
fer40,01/07/2020 00:00,1
fer45,01/07/2020 00:00,1
fer5,01/07/2020 00:00,3
fer50,01/07/2020 00:00,2
fer56,01/07/2020 00:00,2
gro10,01/07/2020 00:00,27
gro11,01/07/2020 00:00,14
gro12,01/07/2020 00:00,8
gro14,01/07/2020 00:00,21
gro14,01/07/2020 00:00,4
gro14,01/07/2020 00:00,6
gro15,01/07/2020 00:00,11
gro16,01/07/2020 00:00,2
gro18,01/07/2020 00:00,2
gro19,01/07/2020 00:00,1
gro20,01/07/2020 00:00,2
gro22,01/07/2020 00:00,11
gro22,01/07/2020 00:00,2
gro26,01/07/2020 00:00,8
gro26,01/07/2020 00:00,2
gro30,01/07/2020 00:00,4
han19,01/07/2020 00:00,4
han5,01/07/2020 00:00,1
han6,01/07/2020 00:00,1
han7,01/07/2020 00:00,1
han8,01/07/2020 00:00,1
jif24,01/07/2020 00:00,1
lab25,01/07/2020 00:00,2
net20,01/07/2020 00:00,3
net5,01/07/2020 00:00,2
pes22,01/07/2020 00:00,1
pes24,01/07/2020 00:00,2
pes25,01/07/2020 00:00,2
pes25,01/07/2020 00:00,3
pes27,01/07/2020 00:00,7
pes28,01/07/2020 00:00,6
pes30,01/07/2020 00:00,12
pes30,01/07/2020 00:00,6
pes30,01/07/2020 00:00,3
pes4,01/07/2020 00:00,2
pol14,01/07/2020 00:00,4
pol14,01/07/2020 00:00,2
pol16,01/07/2020 00:00,1
pol18,01/07/2020 00:00,2
pol19,01/07/2020 00:00,1
pol22,01/07/2020 00:00,1
pol23,01/07/2020 00:00,1
pol6,01/07/2020 00:00,14
pol6,01/07/2020 00:00,2
pol6,01/07/2020 00:00,3
pol8,01/07/2020 00:00,1
pot15,01/07/2020 00:00,1
pot16,01/07/2020 00:00,2
pot17,01/07/2020 00:00,2
pot18,01/07/2020 00:00,1
pot19,01/07/2020 00:00,3
pot20,01/07/2020 00:00,1
pot21,01/07/2020 00:00,4
pot21,01/07/2020 00:00,2
pot3,01/07/2020 00:00,2
pot4,01/07/2020 00:00,1
pot54,01/07/2020 00:00,1
pot58,01/07/2020 00:00,2
pot60,01/07/2020 00:00,3
pot81,01/07/2020 00:00,1
pot82,01/07/2020 00:00,1
sal0,01/07/2020 00:00,2
sal10,01/07/2020 00:00,6
sal11,01/07/2020 00:00,5
sal3,01/07/2020 00:00,1
sal4,01/07/2020 00:00,2
sal5,01/07/2020 00:00,8
sal6,01/07/2020 00:00,5
see19,01/07/2020 00:00,1
sto1,01/07/2020 00:00,1
sto10,01/07/2020 00:00,32
sto11,01/07/2020 00:00,5
sto12,01/07/2020 00:00,14
sto13,01/07/2020 00:00,56
sto14,01/07/2020 00:00,80
sto14,01/07/2020 00:00,2
sto15,01/07/2020 00:00,8
sto16,01/07/2020 00:00,13
sto16,01/07/2020 00:00,3
sto2,01/07/2020 00:00,2
sto4,01/07/2020 00:00,13
sto4,01/07/2020 00:00,2
sto45,01/07/2020 00:00,2
sto5,01/07/2020 00:00,39
sto6,01/07/2020 00:00,34
sto7,01/07/2020 00:00,27
sto8,01/07/2020 00:00,44
sto8,01/07/2020 00:00,2
sto8,01/07/2020 00:00,4
sto9,01/07/2020 00:00,9
sup19,01/07/2020 00:00,2
sup20,01/07/2020 00:00,3
sup26,01/07/2020 00:00,1
sup28,01/07/2020 00:00,1
sup3,01/07/2020 00:00,1
wee0,01/07/2020 00:00,245
wee0,01/07/2020 00:00,20
wee0,01/07/2020 00:00,12
wee4,01/07/2020 00:00,4
wee7,01/07/2020 00:00,34
wor0,01/07/2020 00:00,1
wor0,01/07/2020 00:00,2
net10,01/07/2020 00:00,3
net13,01/07/2020 00:00,1.5
net7,01/07/2020 00:00,9
net8,01/07/2020 00:00,7.5
net9,01/07/2020 00:00,4.5
coi1,01/07/2020 00:00,4
fer16,01/07/2020 00:00,2
fer21,01/07/2020 00:00,4
han10,01/07/2020 00:00,2
han12,01/07/2020 00:00,2
han14,01/07/2020 00:00,2
han19,01/07/2020 00:00,2
han22,01/07/2020 00:00,2
han3,01/07/2020 00:00,2
han4,01/07/2020 00:00,2
han6,01/07/2020 00:00,2
han7,01/07/2020 00:00,2
han8,01/07/2020 00:00,2
net20,01/07/2020 00:00,2
pes11,01/07/2020 00:00,4
pes22,01/07/2020 00:00,2
pes25,01/07/2020 00:00,2
pes27,01/07/2020 00:00,8
pes27,01/07/2020 00:00,4
pes28,01/07/2020 00:00,14
pes28,01/07/2020 00:00,4
pes3,01/07/2020 00:00,2
pol14,01/07/2020 00:00,2
pol15,01/07/2020 00:00,2
pol2,01/07/2020 00:00,2
pot103,01/07/2020 00:00,2
pot15,01/07/2020 00:00,4
pot16,01/07/2020 00:00,2
pot17,01/07/2020 00:00,2
pot19,01/07/2020 00:00,2
pot21,01/07/2020 00:00,4
pot40,01/07/2020 00:00,4
