key,Date,Sales
fer29,01/06/2020 00:00,0.03
fer49,01/06/2020 00:00,0.03
fer21,01/06/2020 00:00,0.25
fer49,01/06/2020 00:00,0.15
fer21,01/06/2020 00:00,0.4
fer21,01/06/2020 00:00,1.8
acc14,01/06/2020 00:00,1
coi0,01/06/2020 00:00,7
coi0,01/06/2020 00:00,2
coi1,01/06/2020 00:00,5
coi1,01/06/2020 00:00,2
ele11,01/06/2020 00:00,1
ele12,01/06/2020 00:00,1
ele3,01/06/2020 00:00,1
fer0,01/06/2020 00:00,1
fer18,01/06/2020 00:00,1
fer21,01/06/2020 00:00,3
fer45,01/06/2020 00:00,1
fer56,01/06/2020 00:00,1
fer57,01/06/2020 00:00,46
fer6,01/06/2020 00:00,1
gro10,01/06/2020 00:00,20
gro10,01/06/2020 00:00,2
gro11,01/06/2020 00:00,16
gro12,01/06/2020 00:00,8
gro14,01/06/2020 00:00,18
gro15,01/06/2020 00:00,6
gro16,01/06/2020 00:00,1
gro18,01/06/2020 00:00,12
gro18,01/06/2020 00:00,2
gro19,01/06/2020 00:00,5
gro20,01/06/2020 00:00,1
gro22,01/06/2020 00:00,9
gro22,01/06/2020 00:00,2
gro23,01/06/2020 00:00,1
gro26,01/06/2020 00:00,7
gro27,01/06/2020 00:00,2
gro28,01/06/2020 00:00,1
gro30,01/06/2020 00:00,6
han10,01/06/2020 00:00,1
han11,01/06/2020 00:00,2
han15,01/06/2020 00:00,1
han3,01/06/2020 00:00,1
han8,01/06/2020 00:00,1
jif22,01/06/2020 00:00,1
net18,01/06/2020 00:00,1
net18,01/06/2020 00:00,4
net20,01/06/2020 00:00,1
net5,01/06/2020 00:00,1
pes11,01/06/2020 00:00,6
pes15,01/06/2020 00:00,1
pes20,01/06/2020 00:00,1
pes22,01/06/2020 00:00,1
pes23,01/06/2020 00:00,1
pes24,01/06/2020 00:00,4
pes25,01/06/2020 00:00,1
pes25,01/06/2020 00:00,2
pes27,01/06/2020 00:00,12
pes27,01/06/2020 00:00,2
pes28,01/06/2020 00:00,10
pes28,01/06/2020 00:00,2
pes28,01/06/2020 00:00,3
pes28,01/06/2020 00:00,4
pes30,01/06/2020 00:00,1
pes4,01/06/2020 00:00,2
pol14,01/06/2020 00:00,7
pol15,01/06/2020 00:00,2
pol16,01/06/2020 00:00,5
pol17,01/06/2020 00:00,1
pol18,01/06/2020 00:00,2
pol19,01/06/2020 00:00,3
pol22,01/06/2020 00:00,1
pot15,01/06/2020 00:00,1
pot16,01/06/2020 00:00,2
pot16,01/06/2020 00:00,3
pot17,01/06/2020 00:00,2
pot19,01/06/2020 00:00,1
pot2,01/06/2020 00:00,1
pot20,01/06/2020 00:00,1
pot21,01/06/2020 00:00,5
pot27,01/06/2020 00:00,1
pot3,01/06/2020 00:00,2
pot4,01/06/2020 00:00,1
pot44,01/06/2020 00:00,2
pot57,01/06/2020 00:00,1
pot59,01/06/2020 00:00,1
pot60,01/06/2020 00:00,6
pot75,01/06/2020 00:00,3
pot79,01/06/2020 00:00,1
pot82,01/06/2020 00:00,1
pot87,01/06/2020 00:00,6
pot97,01/06/2020 00:00,2
sal10,01/06/2020 00:00,4
sal11,01/06/2020 00:00,15
see19,01/06/2020 00:00,2
sto10,01/06/2020 00:00,47
sto10,01/06/2020 00:00,6
sto10,01/06/2020 00:00,4
sto12,01/06/2020 00:00,2
sto13,01/06/2020 00:00,66
sto13,01/06/2020 00:00,4
sto14,01/06/2020 00:00,89
sto14,01/06/2020 00:00,2
sto15,01/06/2020 00:00,3
sto16,01/06/2020 00:00,18
sto16,01/06/2020 00:00,4
sto3,01/06/2020 00:00,1
sto4,01/06/2020 00:00,13
sto45,01/06/2020 00:00,1
sto46,01/06/2020 00:00,1
