key,Date,Sales
fer29,01/03/2020 00:00,0.005
fer29,01/03/2020 00:00,0.06
fer21,01/03/2020 00:00,0.1
fer21,01/03/2020 00:00,0.1
fer25,01/03/2020 00:00,0.2
fer29,01/03/2020 00:00,0.15
fer21,01/03/2020 00:00,1
sal5,01/03/2020 00:00,0.2
fer21,01/03/2020 00:00,0.3
sal0,01/03/2020 00:00,0.313
fer16,01/03/2020 00:00,1.5
fer18,01/03/2020 00:00,0.5
fer39,01/03/2020 00:00,1
fer39,01/03/2020 00:00,1
fer47,01/03/2020 00:00,0.5
fer54,01/03/2020 00:00,0.5
sal0,01/03/2020 00:00,1
sal2,01/03/2020 00:00,0.5
wee2,01/03/2020 00:00,1.5
sal0,01/03/2020 00:00,0.625
sal6,01/03/2020 00:00,0.625
acc10,01/03/2020 00:00,1
acc19,01/03/2020 00:00,1
acc21,01/03/2020 00:00,3
acc21,01/03/2020 00:00,6
acc23,01/03/2020 00:00,1
acc24,01/03/2020 00:00,1
agg1,01/03/2020 00:00,2
agg4,01/03/2020 00:00,2
agg7,01/03/2020 00:00,1
coi0,01/03/2020 00:00,3
coi1,01/03/2020 00:00,1
ele0,01/03/2020 00:00,5
ele1,01/03/2020 00:00,5
ele10,01/03/2020 00:00,4
ele11,01/03/2020 00:00,5
ele12,01/03/2020 00:00,2
ele12,01/03/2020 00:00,2
ele16,01/03/2020 00:00,10
ele16,01/03/2020 00:00,2
ele18,01/03/2020 00:00,5
ele20,01/03/2020 00:00,1
ele21,01/03/2020 00:00,4
ele21,01/03/2020 00:00,4
ele23,01/03/2020 00:00,2
ele24,01/03/2020 00:00,4
ele25,01/03/2020 00:00,4
ele26,01/03/2020 00:00,3
ele27,01/03/2020 00:00,4
ele3,01/03/2020 00:00,2
ele9,01/03/2020 00:00,4
fer16,01/03/2020 00:00,2
fer21,01/03/2020 00:00,1
fer24,01/03/2020 00:00,1
fer29,01/03/2020 00:00,1
fer32,01/03/2020 00:00,1
fer4,01/03/2020 00:00,2
fer40,01/03/2020 00:00,1
fer42,01/03/2020 00:00,2
fer44,01/03/2020 00:00,2
fer49,01/03/2020 00:00,1
fer5,01/03/2020 00:00,2
fer56,01/03/2020 00:00,1
fer57,01/03/2020 00:00,1
gro10,01/03/2020 00:00,2
gro11,01/03/2020 00:00,2
gro12,01/03/2020 00:00,7
gro15,01/03/2020 00:00,4
gro16,01/03/2020 00:00,3
gro18,01/03/2020 00:00,1
gro19,01/03/2020 00:00,1
gro20,01/03/2020 00:00,1
gro23,01/03/2020 00:00,1
gro26,01/03/2020 00:00,2
gro30,01/03/2020 00:00,4
jif24,01/03/2020 00:00,1
pes1,01/03/2020 00:00,2
pes11,01/03/2020 00:00,2
pes21,01/03/2020 00:00,1
pes24,01/03/2020 00:00,1
pes27,01/03/2020 00:00,2
pes27,01/03/2020 00:00,2
pes27,01/03/2020 00:00,4
pes28,01/03/2020 00:00,5
pes28,01/03/2020 00:00,2
pes32,01/03/2020 00:00,2
pes7,01/03/2020 00:00,2
pol14,01/03/2020 00:00,4
