key,purchase_date,Sales
acc11,01/03/2021 00:00,1
acc11,01/03/2021 00:00,4
acc14,01/03/2021 00:00,4
acc15,01/03/2021 00:00,1
acc16,01/03/2021 00:00,2
acc16,01/03/2021 00:00,4
acc17,01/03/2021 00:00,3.6
acc21,01/03/2021 00:00,1
acc22,01/03/2021 00:00,3
acc22,01/03/2021 00:00,2
acc40,01/03/2021 00:00,10
agg0,01/03/2021 00:00,5
agg0,01/03/2021 00:00,20
agg0,01/03/2021 00:00,120
agg1,01/03/2021 00:00,3
agg1,01/03/2021 00:00,2
agg1,01/03/2021 00:00,8
agg10,01/03/2021 00:00,20
agg11,01/03/2021 00:00,20
agg11,01/03/2021 00:00,100
agg2,01/03/2021 00:00,20
agg3,01/03/2021 00:00,240
agg3,01/03/2021 00:00,120
agg3,01/03/2021 00:00,60
agg3,01/03/2021 00:00,320
agg3,01/03/2021 00:00,280
agg3,01/03/2021 00:00,60
agg4,01/03/2021 00:00,4
agg4,01/03/2021 00:00,5
agg4,01/03/2021 00:00,10
agg4,01/03/2021 00:00,160
agg4,01/03/2021 00:00,40
agg4,01/03/2021 00:00,60
agg4,01/03/2021 00:00,160
agg4,01/03/2021 00:00,400
agg4,01/03/2021 00:00,80
agg5,01/03/2021 00:00,5
agg5,01/03/2021 00:00,100
agg6,01/03/2021 00:00,1
agg6,01/03/2021 00:00,15
agg6,01/03/2021 00:00,10
agg6,01/03/2021 00:00,140
agg6,01/03/2021 00:00,40
agg6,01/03/2021 00:00,200
agg6,01/03/2021 00:00,160
agg7,01/03/2021 00:00,60
agg7,01/03/2021 00:00,40
agg7,01/03/2021 00:00,60
agg7,01/03/2021 00:00,100
agg7,01/03/2021 00:00,80
agg8,01/03/2021 00:00,1
agg8,01/03/2021 00:00,20
agg8,01/03/2021 00:00,20
bam0,01/03/2021 00:00,1
bam0,01/03/2021 00:00,12
bam0,01/03/2021 00:00,160
bam0,01/03/2021 00:00,40
bam0,01/03/2021 00:00,500
bam1,01/03/2021 00:00,20
bam1,01/03/2021 00:00,60
bam1,01/03/2021 00:00,200
bam1,01/03/2021 00:00,250
bam1,01/03/2021 00:00,20
bam1,01/03/2021 00:00,500
bam1,01/03/2021 00:00,1000
bam1,01/03/2021 00:00,1500
bam2,01/03/2021 00:00,20
bam2,01/03/2021 00:00,20
bam2,01/03/2021 00:00,250
bam2,01/03/2021 00:00,100
bam4,01/03/2021 00:00,10
bam4,01/03/2021 00:00,60
bam4,01/03/2021 00:00,30
bam4,01/03/2021 00:00,100
bam4,01/03/2021 00:00,200
bam4,01/03/2021 00:00,400
bam5,01/03/2021 00:00,40
bam5,01/03/2021 00:00,30
bam5,01/03/2021 00:00,120
bam5,01/03/2021 00:00,250
bam5,01/03/2021 00:00,100
bam6,01/03/2021 00:00,20
bam6,01/03/2021 00:00,40
bam6,01/03/2021 00:00,90
bam6,01/03/2021 00:00,40
bam6,01/03/2021 00:00,450
bam6,01/03/2021 00:00,40
bam7,01/03/2021 00:00,10
bam7,01/03/2021 00:00,40
bam7,01/03/2021 00:00,30
bam7,01/03/2021 00:00,40
bam7,01/03/2021 00:00,50
bam7,01/03/2021 00:00,100
bir2,01/03/2021 00:00,4
bir2,01/03/2021 00:00,20
bub0,01/03/2021 00:00,10
bub0,01/03/2021 00:00,90
bub1,01/03/2021 00:00,22
bub1,01/03/2021 00:00,40
bub1,01/03/2021 00:00,186
bub1,01/03/2021 00:00,100
bub4,01/03/2021 00:00,22
bub4,01/03/2021 00:00,40
bub4,01/03/2021 00:00,186
bub4,01/03/2021 00:00,100
ele0,01/03/2021 00:00,8
ele1,01/03/2021 00:00,7
ele1,01/03/2021 00:00,2
ele10,01/03/2021 00:00,17
ele10,01/03/2021 00:00,2
ele11,01/03/2021 00:00,5
ele12,01/03/2021 00:00,16
ele12,01/03/2021 00:00,2
ele13,01/03/2021 00:00,2
ele16,01/03/2021 00:00,32
ele16,01/03/2021 00:00,4
ele18,01/03/2021 00:00,1
ele18,01/03/2021 00:00,4
ele21,01/03/2021 00:00,2
ele22,01/03/2021 00:00,12
ele23,01/03/2021 00:00,3
ele23,01/03/2021 00:00,2
ele24,01/03/2021 00:00,10
ele25,01/03/2021 00:00,1
ele26,01/03/2021 00:00,8
ele26,01/03/2021 00:00,2
ele27,01/03/2021 00:00,2
ele3,01/03/2021 00:00,1
ele30,01/03/2021 00:00,1
ele43,01/03/2021 00:00,1
ele48,01/03/2021 00:00,1
ele9,01/03/2021 00:00,14
ele9,01/03/2021 00:00,2
fer0,01/03/2021 00:00,1
fer0,01/03/2021 00:00,7
fer0,01/03/2021 00:00,2
fer0,01/03/2021 00:00,22.5
fer0,01/03/2021 00:00,3
fer0,01/03/2021 00:00,4
fer0,01/03/2021 00:00,40
fer0,01/03/2021 00:00,870
fer0,01/03/2021 00:00,30
fer0,01/03/2021 00:00,120
fer0,01/03/2021 00:00,1700
fer0,01/03/2021 00:00,60
fer0,01/03/2021 00:00,40
fer0,01/03/2021 00:00,200
fer0,01/03/2021 00:00,30
fer1,01/03/2021 00:00,5
fer10,01/03/2021 00:00,0.5
fer10,01/03/2021 00:00,0.5
fer10,01/03/2021 00:00,1
fer10,01/03/2021 00:00,2
fer10,01/03/2021 00:00,3
fer10,01/03/2021 00:00,10
fer10,01/03/2021 00:00,10
fer10,01/03/2021 00:00,50
fer11,01/03/2021 00:00,1
fer11,01/03/2021 00:00,10
fer12,01/03/2021 00:00,4
fer12,01/03/2021 00:00,2
fer12,01/03/2021 00:00,2.5
fer12,01/03/2021 00:00,6
fer12,01/03/2021 00:00,5
fer12,01/03/2021 00:00,200
fer12,01/03/2021 00:00,1500
fer12,01/03/2021 00:00,320
fer12,01/03/2021 00:00,60
fer12,01/03/2021 00:00,100
fer13,01/03/2021 00:00,20
fer14,01/03/2021 00:00,1
fer14,01/03/2021 00:00,10
fer14,01/03/2021 00:00,25
fer15,01/03/2021 00:00,5
fer15,01/03/2021 00:00,10
fer16,01/03/2021 00:00,1.5
fer16,01/03/2021 00:00,3
fer16,01/03/2021 00:00,4
fer16,01/03/2021 00:00,6
fer16,01/03/2021 00:00,8
fer16,01/03/2021 00:00,15
fer16,01/03/2021 00:00,70
fer16,01/03/2021 00:00,400
fer16,01/03/2021 00:00,30
fer16,01/03/2021 00:00,50
fer17,01/03/2021 00:00,40
fer17,01/03/2021 00:00,1000
fer17,01/03/2021 00:00,520
fer17,01/03/2021 00:00,180
fer17,01/03/2021 00:00,40
fer17,01/03/2021 00:00,80
fer17,01/03/2021 00:00,100
fer18,01/03/2021 00:00,3
fer18,01/03/2021 00:00,2
fer18,01/03/2021 00:00,2.5
fer18,01/03/2021 00:00,15
fer18,01/03/2021 00:00,10
fer19,01/03/2021 00:00,5
fer21,01/03/2021 00:00,0.15
fer21,01/03/2021 00:00,0.1
fer21,01/03/2021 00:00,1
fer21,01/03/2021 00:00,1
fer21,01/03/2021 00:00,20
fer23,01/03/2021 00:00,0.25
fer23,01/03/2021 00:00,1
fer23,01/03/2021 00:00,2
fer23,01/03/2021 00:00,5
fer24,01/03/2021 00:00,2.25
fer24,01/03/2021 00:00,2
fer24,01/03/2021 00:00,3.5
fer24,01/03/2021 00:00,70
fer24,01/03/2021 00:00,40
fer24,01/03/2021 00:00,475
fer24,01/03/2021 00:00,100
fer24,01/03/2021 00:00,75
fer25,01/03/2021 00:00,0.5
fer25,01/03/2021 00:00,4
fer25,01/03/2021 00:00,25
fer25,01/03/2021 00:00,10
fer27,01/03/2021 00:00,0.5
fer27,01/03/2021 00:00,2
fer27,01/03/2021 00:00,5
fer27,01/03/2021 00:00,15
fer28,01/03/2021 00:00,1
fer29,01/03/2021 00:00,2
fer29,01/03/2021 00:00,3
fer3,01/03/2021 00:00,0.5
fer3,01/03/2021 00:00,2
fer3,01/03/2021 00:00,2
fer3,01/03/2021 00:00,2.5
fer3,01/03/2021 00:00,80
fer3,01/03/2021 00:00,270
fer3,01/03/2021 00:00,15
fer3,01/03/2021 00:00,40
fer3,01/03/2021 00:00,1875
fer3,01/03/2021 00:00,10
fer3,01/03/2021 00:00,20
fer3,01/03/2021 00:00,300
fer30,01/03/2021 00:00,10
fer30,01/03/2021 00:00,15
fer30,01/03/2021 00:00,25
fer34,01/03/2021 00:00,4
fer34,01/03/2021 00:00,2.5
fer34,01/03/2021 00:00,40
fer34,01/03/2021 00:00,20
fer34,01/03/2021 00:00,90
fer34,01/03/2021 00:00,825
fer34,01/03/2021 00:00,20
fer34,01/03/2021 00:00,30
fer34,01/03/2021 00:00,400
fer34,01/03/2021 00:00,150
fer34,01/03/2021 00:00,400
fer34,01/03/2021 00:00,150
fer38,01/03/2021 00:00,2.5
fer38,01/03/2021 00:00,5
fer38,01/03/2021 00:00,2
fer39,01/03/2021 00:00,1.5
fer39,01/03/2021 00:00,2
fer39,01/03/2021 00:00,2
fer39,01/03/2021 00:00,2.5
fer39,01/03/2021 00:00,8
fer39,01/03/2021 00:00,5
fer39,01/03/2021 00:00,20
fer39,01/03/2021 00:00,20
fer39,01/03/2021 00:00,50
fer39,01/03/2021 00:00,3
fer4,01/03/2021 00:00,2
fer4,01/03/2021 00:00,4
fer4,01/03/2021 00:00,6
fer4,01/03/2021 00:00,16
fer4,01/03/2021 00:00,15
fer4,01/03/2021 00:00,30
fer4,01/03/2021 00:00,200
fer4,01/03/2021 00:00,150
fer40,01/03/2021 00:00,50
fer40,01/03/2021 00:00,50
fer42,01/03/2021 00:00,0.25
fer42,01/03/2021 00:00,1
fer42,01/03/2021 00:00,2
fer44,01/03/2021 00:00,0.25
fer44,01/03/2021 00:00,2
fer44,01/03/2021 00:00,2
fer44,01/03/2021 00:00,2.5
fer44,01/03/2021 00:00,20
fer44,01/03/2021 00:00,60
fer44,01/03/2021 00:00,20
fer44,01/03/2021 00:00,100
fer44,01/03/2021 00:00,2
fer44,01/03/2021 00:00,5
fer45,01/03/2021 00:00,0.5
fer45,01/03/2021 00:00,7.5
fer45,01/03/2021 00:00,10
fer45,01/03/2021 00:00,40
fer47,01/03/2021 00:00,1
fer47,01/03/2021 00:00,2
fer47,01/03/2021 00:00,2.5
fer47,01/03/2021 00:00,20
fer47,01/03/2021 00:00,60
fer48,01/03/2021 00:00,5
fer48,01/03/2021 00:00,3
fer48,01/03/2021 00:00,5
