key,Date,Sales
fer29,01/05/2020 00:00,0.015
fer29,01/05/2020 00:00,0.01
fer29,01/05/2020 00:00,0.02
fer29,01/05/2020 00:00,0.02
fer29,01/05/2020 00:00,0.21
fer49,01/05/2020 00:00,0.03
fer21,01/05/2020 00:00,0.05
fer29,01/05/2020 00:00,0.09
fer21,01/05/2020 00:00,0.4
fer21,01/05/2020 00:00,0.2
fer21,01/05/2020 00:00,0.6
fer29,01/05/2020 00:00,0.3
sal5,01/05/2020 00:00,0.6
fer0,01/05/2020 00:00,0.5
fer16,01/05/2020 00:00,0.5
fer21,01/05/2020 00:00,0.5
fer23,01/05/2020 00:00,0.5
fer3,01/05/2020 00:00,0.5
sal0,01/05/2020 00:00,0.5
sal5,01/05/2020 00:00,0.5
sal6,01/05/2020 00:00,0.5
fer6,01/05/2020 00:00,0.7
acc21,01/05/2020 00:00,1
acc21,01/05/2020 00:00,4
coi0,01/05/2020 00:00,14
coi1,01/05/2020 00:00,8
coi1,01/05/2020 00:00,2
ele0,01/05/2020 00:00,2
ele22,01/05/2020 00:00,1
ele3,01/05/2020 00:00,1
fer0,01/05/2020 00:00,10
fer12,01/05/2020 00:00,4
fer15,01/05/2020 00:00,1
fer16,01/05/2020 00:00,1
fer18,01/05/2020 00:00,1
fer24,01/05/2020 00:00,3
fer25,01/05/2020 00:00,2
fer29,01/05/2020 00:00,2
fer3,01/05/2020 00:00,3
fer3,01/05/2020 00:00,2
fer34,01/05/2020 00:00,1
fer4,01/05/2020 00:00,2
fer40,01/05/2020 00:00,1
fer45,01/05/2020 00:00,1
fer47,01/05/2020 00:00,1
fer5,01/05/2020 00:00,3
fer50,01/05/2020 00:00,1
fer56,01/05/2020 00:00,2
fer56,01/05/2020 00:00,4
fer57,01/05/2020 00:00,5
fer6,01/05/2020 00:00,1
fer61,01/05/2020 00:00,1
fer7,01/05/2020 00:00,1
fer9,01/05/2020 00:00,1
gro10,01/05/2020 00:00,39
gro10,01/05/2020 00:00,4
gro11,01/05/2020 00:00,22
gro11,01/05/2020 00:00,4
gro12,01/05/2020 00:00,36
gro14,01/05/2020 00:00,2
gro14,01/05/2020 00:00,2
gro16,01/05/2020 00:00,9
gro16,01/05/2020 00:00,2
gro18,01/05/2020 00:00,31
gro18,01/05/2020 00:00,8
gro19,01/05/2020 00:00,1
gro20,01/05/2020 00:00,9
gro22,01/05/2020 00:00,1
gro23,01/05/2020 00:00,4
gro24,01/05/2020 00:00,1
gro26,01/05/2020 00:00,9
gro26,01/05/2020 00:00,5
gro27,01/05/2020 00:00,1
gro30,01/05/2020 00:00,8
han10,01/05/2020 00:00,1
han12,01/05/2020 00:00,2
han5,01/05/2020 00:00,1
irr0,01/05/2020 00:00,1
irr2,01/05/2020 00:00,1
jif22,01/05/2020 00:00,1
lab25,01/05/2020 00:00,1
net28,01/05/2020 00:00,3
pes11,01/05/2020 00:00,6
pes18,01/05/2020 00:00,1
pes20,01/05/2020 00:00,1
pes25,01/05/2020 00:00,5
pes27,01/05/2020 00:00,13
pes27,01/05/2020 00:00,6
pes28,01/05/2020 00:00,33
pes28,01/05/2020 00:00,16
pes28,01/05/2020 00:00,3
pes28,01/05/2020 00:00,16
pol14,01/05/2020 00:00,7
pol15,01/05/2020 00:00,5
pol16,01/05/2020 00:00,7
pol17,01/05/2020 00:00,1
pol18,01/05/2020 00:00,5
pol19,01/05/2020 00:00,2
pol20,01/05/2020 00:00,3
pol21,01/05/2020 00:00,1
pol6,01/05/2020 00:00,6
pol6,01/05/2020 00:00,2
pol7,01/05/2020 00:00,1
pot15,01/05/2020 00:00,3
pot16,01/05/2020 00:00,1
pot19,01/05/2020 00:00,1
pot20,01/05/2020 00:00,2
pot21,01/05/2020 00:00,6
pot3,01/05/2020 00:00,1
pot44,01/05/2020 00:00,1
pot52,01/05/2020 00:00,1
pot54,01/05/2020 00:00,1
pot60,01/05/2020 00:00,3
pot60,01/05/2020 00:00,2
pot81,01/05/2020 00:00,1
pot82,01/05/2020 00:00,1
pot83,01/05/2020 00:00,2
pot97,01/05/2020 00:00,3
sal0,01/05/2020 00:00,3
sal10,01/05/2020 00:00,19
sal10,01/05/2020 00:00,4
sal11,01/05/2020 00:00,10
sal4,01/05/2020 00:00,1
sal5,01/05/2020 00:00,6
sal6,01/05/2020 00:00,6
see19,01/05/2020 00:00,1
see25,01/05/2020 00:00,1
sto10,01/05/2020 00:00,55
sto10,01/05/2020 00:00,14
sto11,01/05/2020 00:00,2
sto12,01/05/2020 00:00,16
sto12,01/05/2020 00:00,2
sto13,01/05/2020 00:00,74
sto13,01/05/2020 00:00,4
sto14,01/05/2020 00:00,58
sto14,01/05/2020 00:00,2
sto14,01/05/2020 00:00,6
sto15,01/05/2020 00:00,2
sto16,01/05/2020 00:00,38
sto16,01/05/2020 00:00,2
sto3,01/05/2020 00:00,3
sto4,01/05/2020 00:00,10
sto45,01/05/2020 00:00,1
sto46,01/05/2020 00:00,1
sto46,01/05/2020 00:00,2
sto5,01/05/2020 00:00,44
sto6,01/05/2020 00:00,32
sto7,01/05/2020 00:00,57
sto8,01/05/2020 00:00,79
sto8,01/05/2020 00:00,6
sto8,01/05/2020 00:00,3
sto8,01/05/2020 00:00,5
sto8,01/05/2020 00:00,10
sto9,01/05/2020 00:00,12
sto9,01/05/2020 00:00,2
sto9,01/05/2020 00:00,4
sup19,01/05/2020 00:00,1
sup20,01/05/2020 00:00,1
sup22,01/05/2020 00:00,1
sup28,01/05/2020 00:00,1
wee0,01/05/2020 00:00,269
wee0,01/05/2020 00:00,40
wee0,01/05/2020 00:00,3
wee4,01/05/2020 00:00,11
wee7,01/05/2020 00:00,24
wor0,01/05/2020 00:00,4
net10,01/05/2020 00:00,4.5
net10,01/05/2020 00:00,3
net11,01/05/2020 00:00,4.5
net12,01/05/2020 00:00,7.5
net12,01/05/2020 00:00,3
net7,01/05/2020 00:00,3
net8,01/05/2020 00:00,13.5
net8,01/05/2020 00:00,3
net9,01/05/2020 00:00,7.5
coi0,01/05/2020 00:00,4
coi1,01/05/2020 00:00,8
fer0,01/05/2020 00:00,4
fer12,01/05/2020 00:00,2
fer21,01/05/2020 00:00,8
fer4,01/05/2020 00:00,2
fer40,01/05/2020 00:00,2
fer42,01/05/2020 00:00,4
fer50,01/05/2020 00:00,4
fer57,01/05/2020 00:00,2
fer9,01/05/2020 00:00,2
han1,01/05/2020 00:00,2
han10,01/05/2020 00:00,10
han12,01/05/2020 00:00,2
han5,01/05/2020 00:00,2
han6,01/05/2020 00:00,2
han9,01/05/2020 00:00,6
pes11,01/05/2020 00:00,2
pes19,01/05/2020 00:00,2
pes23,01/05/2020 00:00,4
pes24,01/05/2020 00:00,2
pes25,01/05/2020 00:00,4
pes27,01/05/2020 00:00,16
pes27,01/05/2020 00:00,8
pes28,01/05/2020 00:00,24
pes28,01/05/2020 00:00,4
pes3,01/05/2020 00:00,2
pol14,01/05/2020 00:00,2
pol18,01/05/2020 00:00,2
pol20,01/05/2020 00:00,2
pol6,01/05/2020 00:00,4
pot20,01/05/2020 00:00,2
pot36,01/05/2020 00:00,2
pot38,01/05/2020 00:00,2
pot40,01/05/2020 00:00,4
pot41,01/05/2020 00:00,4
pot42,01/05/2020 00:00,2
pot43,01/05/2020 00:00,2
pot45,01/05/2020 00:00,2
pot59,01/05/2020 00:00,2
pot60,01/05/2020 00:00,2
pot65,01/05/2020 00:00,2
pot68,01/05/2020 00:00,4
pot69,01/05/2020 00:00,4
pot70,01/05/2020 00:00,8
pot71,01/05/2020 00:00,2
pot72,01/05/2020 00:00,6
