key,Date,Sales
fer21,01/11/2019 00:00,0.1
fer21,01/11/2019 00:00,0.8
acc16,01/11/2019 00:00,0.45
fer39,01/11/2019 00:00,0.5
sal5,01/11/2019 00:00,1
sal0,01/11/2019 00:00,1.25
fer21,01/11/2019 00:00,0.75
acc14,01/11/2019 00:00,1
agg1,01/11/2019 00:00,2
agg6,01/11/2019 00:00,1
ele0,01/11/2019 00:00,17
ele0,01/11/2019 00:00,2
ele0,01/11/2019 00:00,3
ele0,01/11/2019 00:00,4
ele0,01/11/2019 00:00,10
ele1,01/11/2019 00:00,10
ele1,01/11/2019 00:00,2
ele1,01/11/2019 00:00,5
ele16,01/11/2019 00:00,1
ele16,01/11/2019 00:00,2
ele18,01/11/2019 00:00,2
ele19,01/11/2019 00:00,2
ele21,01/11/2019 00:00,2
ele22,01/11/2019 00:00,11
ele22,01/11/2019 00:00,3
ele23,01/11/2019 00:00,2
ele23,01/11/2019 00:00,2
ele24,01/11/2019 00:00,11
ele25,01/11/2019 00:00,7
ele26,01/11/2019 00:00,5
ele26,01/11/2019 00:00,2
ele9,01/11/2019 00:00,1
fer16,01/11/2019 00:00,1
fer21,01/11/2019 00:00,2
fer24,01/11/2019 00:00,2
fer47,01/11/2019 00:00,1
fer5,01/11/2019 00:00,2
fer8,01/11/2019 00:00,1
gro10,01/11/2019 00:00,1
gro11,01/11/2019 00:00,1
gro12,01/11/2019 00:00,3
gro12,01/11/2019 00:00,2
gro14,01/11/2019 00:00,1
gro15,01/11/2019 00:00,4
gro15,01/11/2019 00:00,2
gro16,01/11/2019 00:00,3
gro18,01/11/2019 00:00,1
gro23,01/11/2019 00:00,1
gro26,01/11/2019 00:00,2
gro30,01/11/2019 00:00,26
gro30,01/11/2019 00:00,10
gro30,01/11/2019 00:00,3
lab25,01/11/2019 00:00,1
pes27,01/11/2019 00:00,3
pes27,01/11/2019 00:00,2
pes27,01/11/2019 00:00,10
pes28,01/11/2019 00:00,2
pes3,01/11/2019 00:00,2
pol16,01/11/2019 00:00,1
pol17,01/11/2019 00:00,6
pol19,01/11/2019 00:00,1
pol19,01/11/2019 00:00,2
pol20,01/11/2019 00:00,2
pol21,01/11/2019 00:00,8
pol6,01/11/2019 00:00,2
pot19,01/11/2019 00:00,1
pot20,01/11/2019 00:00,3
pot21,01/11/2019 00:00,1
pot33,01/11/2019 00:00,1
pot59,01/11/2019 00:00,1
pot60,01/11/2019 00:00,2
sal1,01/11/2019 00:00,4
sal10,01/11/2019 00:00,15
sal10,01/11/2019 00:00,2
sal11,01/11/2019 00:00,1
sal4,01/11/2019 00:00,1
sal5,01/11/2019 00:00,1
sal7,01/11/2019 00:00,1
sto1,01/11/2019 00:00,2
sto10,01/11/2019 00:00,8
sto10,01/11/2019 00:00,2
sto12,01/11/2019 00:00,3
sto13,01/11/2019 00:00,10
sto14,01/11/2019 00:00,24
sto14,01/11/2019 00:00,6
sto15,01/11/2019 00:00,3
sto16,01/11/2019 00:00,4
sto2,01/11/2019 00:00,1
sto3,01/11/2019 00:00,3
sto4,01/11/2019 00:00,6
sto5,01/11/2019 00:00,18
sto6,01/11/2019 00:00,16
sto7,01/11/2019 00:00,12
sto8,01/11/2019 00:00,8
sto9,01/11/2019 00:00,4
wee0,01/11/2019 00:00,46
wee0,01/11/2019 00:00,4
wee0,01/11/2019 00:00,3
wee5,01/11/2019 00:00,2
wee5,01/11/2019 00:00,4
net11,01/11/2019 00:00,1.5
net8,01/11/2019 00:00,1.5
net9,01/11/2019 00:00,1.5
sal0,01/11/2019 00:00,1.5
fer16,01/11/2019 00:00,2
fer21,01/11/2019 00:00,2
fer9,01/11/2019 00:00,2
pes23,01/11/2019 00:00,2
pes28,01/11/2019 00:00,4
pol16,01/11/2019 00:00,2
pol6,01/11/2019 00:00,2
pot60,01/11/2019 00:00,2
pot65,01/11/2019 00:00,2
pot75,01/11/2019 00:00,2
pot79,01/11/2019 00:00,2
sal0,01/11/2019 00:00,12
sal1,01/11/2019 00:00,2
sal10,01/11/2019 00:00,24
sal11,01/11/2019 00:00,4
sal5,01/11/2019 00:00,2
sto14,01/11/2019 00:00,2
sup20,01/11/2019 00:00,2
wor0,01/11/2019 00:00,2
sal6,01/11/2019 00:00,2.5
acc14,01/11/2019 00:00,3
fer55,01/11/2019 00:00,3
han4,01/11/2019 00:00,3
irr1,01/11/2019 00:00,3
pes28,01/11/2019 00:00,3
pot16,01/11/2019 00:00,3
pot19,01/11/2019 00:00,3
see25,01/11/2019 00:00,3
sup20,01/11/2019 00:00,3
fer39,01/11/2019 00:00,4
pes27,01/11/2019 00:00,4
pes28,01/11/2019 00:00,4
pes4,01/11/2019 00:00,4
pot17,01/11/2019 00:00,4
pot55,01/11/2019 00:00,4
pot60,01/11/2019 00:00,4
pot88,01/11/2019 00:00,4
sto16,01/11/2019 00:00,4
wor3,01/11/2019 00:00,12
agg6,01/11/2019 00:00,5
fer14,01/11/2019 00:00,10
fer16,01/11/2019 00:00,5
fer24,01/11/2019 00:00,5
fer40,01/11/2019 00:00,5
gro0,01/11/2019 00:00,30
gro1,01/11/2019 00:00,5
gro2,01/11/2019 00:00,5
gro25,01/11/2019 00:00,5
gro5,01/11/2019 00:00,15
irr0,01/11/2019 00:00,5
net5,01/11/2019 00:00,10
pes25,01/11/2019 00:00,5
pes27,01/11/2019 00:00,10
pes28,01/11/2019 00:00,25
pes28,01/11/2019 00:00,30
sal0,01/11/2019 00:00,10
sal1,01/11/2019 00:00,5
sal5,01/11/2019 00:00,30
sal7,01/11/2019 00:00,25
see25,01/11/2019 00:00,5
sto12,01/11/2019 00:00,5
sto15,01/11/2019 00:00,5
net8,01/11/2019 00:00,5.5
bub3,01/11/2019 00:00,6
han3,01/11/2019 00:00,6
pes12,01/11/2019 00:00,12
pes4,01/11/2019 00:00,6
pes8,01/11/2019 00:00,6
pol6,01/11/2019 00:00,6
sto16,01/11/2019 00:00,6
sal5,01/11/2019 00:00,6.25
sal6,01/11/2019 00:00,12.5
bub2,01/11/2019 00:00,8
pes4,01/11/2019 00:00,8
pol3,01/11/2019 00:00,8
pot77,01/11/2019 00:00,8
acc19,01/11/2019 00:00,18
pol3,01/11/2019 00:00,18
net10,01/11/2019 00:00,9.5
net9,01/11/2019 00:00,9.5
bam0,01/11/2019 00:00,20
bam1,01/11/2019 00:00,10
bam3,01/11/2019 00:00,10
bam5,01/11/2019 00:00,10
bam6,01/11/2019 00:00,10
bub0,01/11/2019 00:00,10
bub3,01/11/2019 00:00,40
fer14,01/11/2019 00:00,10
fer16,01/11/2019 00:00,10
