key,Date,Sales
fer21,01/10/2019 00:00,0.15
acc15,01/10/2019 00:00,0.15
acc19,01/10/2019 00:00,0.15
fer23,01/10/2019 00:00,0.25
fer42,01/10/2019 00:00,0.25
sal5,01/10/2019 00:00,0.3
fer13,01/10/2019 00:00,0.5
fer16,01/10/2019 00:00,0.5
fer21,01/10/2019 00:00,0.5
fer25,01/10/2019 00:00,0.5
fer49,01/10/2019 00:00,0.5
sal0,01/10/2019 00:00,1.5
sal1,01/10/2019 00:00,2
sal2,01/10/2019 00:00,0.5
sal5,01/10/2019 00:00,1.5
acc18,01/10/2019 00:00,0.6
fer5,01/10/2019 00:00,0.7
acc14,01/10/2019 00:00,1
acc14,01/10/2019 00:00,3
acc19,01/10/2019 00:00,1
acc20,01/10/2019 00:00,1
agg1,01/10/2019 00:00,4
agg1,01/10/2019 00:00,4
agg2,01/10/2019 00:00,1
agg4,01/10/2019 00:00,1
agg7,01/10/2019 00:00,1
agg8,01/10/2019 00:00,1
bir0,01/10/2019 00:00,1
coi0,01/10/2019 00:00,2
ele0,01/10/2019 00:00,12
ele0,01/10/2019 00:00,2
ele1,01/10/2019 00:00,9
ele1,01/10/2019 00:00,2
ele10,01/10/2019 00:00,1
ele11,01/10/2019 00:00,2
ele13,01/10/2019 00:00,1
ele16,01/10/2019 00:00,4
ele17,01/10/2019 00:00,2
ele17,01/10/2019 00:00,3
ele19,01/10/2019 00:00,3
ele2,01/10/2019 00:00,2
ele21,01/10/2019 00:00,1
ele22,01/10/2019 00:00,9
ele22,01/10/2019 00:00,2
ele23,01/10/2019 00:00,1
ele24,01/10/2019 00:00,4
ele24,01/10/2019 00:00,2
ele25,01/10/2019 00:00,2
ele26,01/10/2019 00:00,5
ele26,01/10/2019 00:00,2
ele26,01/10/2019 00:00,3
ele26,01/10/2019 00:00,5
ele27,01/10/2019 00:00,2
ele27,01/10/2019 00:00,4
ele28,01/10/2019 00:00,4
ele28,01/10/2019 00:00,2
ele3,01/10/2019 00:00,1
ele9,01/10/2019 00:00,1
fer14,01/10/2019 00:00,1
fer16,01/10/2019 00:00,2
fer28,01/10/2019 00:00,1
fer34,01/10/2019 00:00,1
fer39,01/10/2019 00:00,1
fer4,01/10/2019 00:00,1
fer42,01/10/2019 00:00,1
fer47,01/10/2019 00:00,1
fer5,01/10/2019 00:00,2
fer50,01/10/2019 00:00,1
gro10,01/10/2019 00:00,4
gro11,01/10/2019 00:00,4
gro12,01/10/2019 00:00,2
gro14,01/10/2019 00:00,2
gro15,01/10/2019 00:00,8
gro16,01/10/2019 00:00,5
gro22,01/10/2019 00:00,1
gro23,01/10/2019 00:00,1
gro26,01/10/2019 00:00,1
gro26,01/10/2019 00:00,2
gro30,01/10/2019 00:00,19
gro30,01/10/2019 00:00,4
pes27,01/10/2019 00:00,2
pes27,01/10/2019 00:00,2
pes27,01/10/2019 00:00,3
pes28,01/10/2019 00:00,4
pes28,01/10/2019 00:00,2
pes30,01/10/2019 00:00,2
pes9,01/10/2019 00:00,2
pol14,01/10/2019 00:00,2
pol16,01/10/2019 00:00,1
pol17,01/10/2019 00:00,1
pol18,01/10/2019 00:00,1
pol19,01/10/2019 00:00,1
pol20,01/10/2019 00:00,1
pol21,01/10/2019 00:00,3
pol22,01/10/2019 00:00,1
pol6,01/10/2019 00:00,1
pol6,01/10/2019 00:00,2
pot108,01/10/2019 00:00,1
pot16,01/10/2019 00:00,1
pot20,01/10/2019 00:00,1
pot21,01/10/2019 00:00,2
pot52,01/10/2019 00:00,1
pot53,01/10/2019 00:00,1
pot55,01/10/2019 00:00,1
pot59,01/10/2019 00:00,1
pot80,01/10/2019 00:00,1
pot97,01/10/2019 00:00,1
sal0,01/10/2019 00:00,2
sal10,01/10/2019 00:00,30
sal11,01/10/2019 00:00,1
see25,01/10/2019 00:00,1
sto10,01/10/2019 00:00,11
sto10,01/10/2019 00:00,2
sto11,01/10/2019 00:00,2
sto12,01/10/2019 00:00,4
sto13,01/10/2019 00:00,23
sto14,01/10/2019 00:00,40
sto15,01/10/2019 00:00,2
sto16,01/10/2019 00:00,11
sto2,01/10/2019 00:00,2
sto4,01/10/2019 00:00,6
sto45,01/10/2019 00:00,1
sto5,01/10/2019 00:00,25
sto6,01/10/2019 00:00,16
sto7,01/10/2019 00:00,6
sto8,01/10/2019 00:00,16
sto8,01/10/2019 00:00,4
sto9,01/10/2019 00:00,9
sto9,01/10/2019 00:00,4
wee0,01/10/2019 00:00,106
wee0,01/10/2019 00:00,16
wee0,01/10/2019 00:00,8
wee5,01/10/2019 00:00,3
wee5,01/10/2019 00:00,2
wee7,01/10/2019 00:00,4
wor1,01/10/2019 00:00,1
net13,01/10/2019 00:00,4.5
net7,01/10/2019 00:00,1.5
net8,01/10/2019 00:00,1.5
fer21,01/10/2019 00:00,12
fer42,01/10/2019 00:00,2
fer56,01/10/2019 00:00,2
fer9,01/10/2019 00:00,2
han0,01/10/2019 00:00,2
han4,01/10/2019 00:00,2
irr0,01/10/2019 00:00,4
pes11,01/10/2019 00:00,4
pes27,01/10/2019 00:00,2
pes27,01/10/2019 00:00,4
pes28,01/10/2019 00:00,4
pes3,01/10/2019 00:00,4
pes4,01/10/2019 00:00,4
pes4,01/10/2019 00:00,4
pol6,01/10/2019 00:00,4
pol6,01/10/2019 00:00,4
pot41,01/10/2019 00:00,2
pot54,01/10/2019 00:00,4
pot68,01/10/2019 00:00,2
pot70,01/10/2019 00:00,2
pot72,01/10/2019 00:00,2
pot74,01/10/2019 00:00,2
pot77,01/10/2019 00:00,2
sal0,01/10/2019 00:00,4
sal10,01/10/2019 00:00,22
sal11,01/10/2019 00:00,4
sal5,01/10/2019 00:00,4
sto17,01/10/2019 00:00,2
sto22,01/10/2019 00:00,2
sto5,01/10/2019 00:00,2
fer15,01/10/2019 00:00,2.5
fer49,01/10/2019 00:00,5
fer53,01/10/2019 00:00,2.5
net8,01/10/2019 00:00,2.5
sal6,01/10/2019 00:00,5
fer15,01/10/2019 00:00,3
fer24,01/10/2019 00:00,3
gro17,01/10/2019 00:00,3
pes27,01/10/2019 00:00,3
pes28,01/10/2019 00:00,3
pol6,01/10/2019 00:00,6
sto14,01/10/2019 00:00,3
acc15,01/10/2019 00:00,4
gro25,01/10/2019 00:00,4
pes27,01/10/2019 00:00,4
pes4,01/10/2019 00:00,28
pes7,01/10/2019 00:00,4
pot21,01/10/2019 00:00,4
pot76,01/10/2019 00:00,4
pot88,01/10/2019 00:00,4
wee5,01/10/2019 00:00,4
wor3,01/10/2019 00:00,4
net12,01/10/2019 00:00,4.5
net3,01/10/2019 00:00,9
net8,01/10/2019 00:00,4.5
net9,01/10/2019 00:00,4.5
agg3,01/10/2019 00:00,5
bub3,01/10/2019 00:00,10
fer23,01/10/2019 00:00,5
fer28,01/10/2019 00:00,5
fer39,01/10/2019 00:00,10
fer4,01/10/2019 00:00,5
fer49,01/10/2019 00:00,10
fer50,01/10/2019 00:00,10
gro0,01/10/2019 00:00,10
gro2,01/10/2019 00:00,5
gro4,01/10/2019 00:00,5
gro5,01/10/2019 00:00,20
lab25,01/10/2019 00:00,5
net15,01/10/2019 00:00,10
net17,01/10/2019 00:00,5
pes27,01/10/2019 00:00,5
pes28,01/10/2019 00:00,20
pes28,01/10/2019 00:00,15
pes28,01/10/2019 00:00,20
pol21,01/10/2019 00:00,5
pol22,01/10/2019 00:00,5
pol23,01/10/2019 00:00,5
pol4,01/10/2019 00:00,5
pot46,01/10/2019 00:00,5
sal0,01/10/2019 00:00,10
sal1,01/10/2019 00:00,5
sal5,01/10/2019 00:00,60
sal7,01/10/2019 00:00,5
sto13,01/10/2019 00:00,5
tra0,01/10/2019 00:00,5
net7,01/10/2019 00:00,11
fer14,01/10/2019 00:00,6
fix4,01/10/2019 00:00,6
pes12,01/10/2019 00:00,6
pes4,01/10/2019 00:00,30
pol6,01/10/2019 00:00,78
pol6,01/10/2019 00:00,24
pot7,01/10/2019 00:00,6
pot70,01/10/2019 00:00,6
pot74,01/10/2019 00:00,6
pot77,01/10/2019 00:00,6
net8,01/10/2019 00:00,6.5
pol3,01/10/2019 00:00,21
pol6,01/10/2019 00:00,24
pot26,01/10/2019 00:00,8
pot75,01/10/2019 00:00,8
pot78,01/10/2019 00:00,16
pot84,01/10/2019 00:00,8
net10,01/10/2019 00:00,8.5
net3,01/10/2019 00:00,8.5
bub3,01/10/2019 00:00,9
pol3,01/10/2019 00:00,18
acc18,01/10/2019 00:00,10
agg0,01/10/2019 00:00,10
agg7,01/10/2019 00:00,10
bam0,01/10/2019 00:00,30
bam1,01/10/2019 00:00,40
bam2,01/10/2019 00:00,20
bam3,01/10/2019 00:00,10
bam7,01/10/2019 00:00,10
bub2,01/10/2019 00:00,120
bub3,01/10/2019 00:00,80
bub3,01/10/2019 00:00,20
fer0,01/10/2019 00:00,20
fer12,01/10/2019 00:00,10
fer13,01/10/2019 00:00,10
fer17,01/10/2019 00:00,10
fer17,01/10/2019 00:00,40
fer25,01/10/2019 00:00,10
fer4,01/10/2019 00:00,10
fer40,01/10/2019 00:00,60
fer41,01/10/2019 00:00,10
fer49,01/10/2019 00:00,10
fer55,01/10/2019 00:00,10
gro1,01/10/2019 00:00,10
gro2,01/10/2019 00:00,20
gro3,01/10/2019 00:00,10
irr0,01/10/2019 00:00,10
jif1,01/10/2019 00:00,10
net16,01/10/2019 00:00,10
net16,01/10/2019 00:00,40
net20,01/10/2019 00:00,10
pes27,01/10/2019 00:00,60
pes27,01/10/2019 00:00,20
pes28,01/10/2019 00:00,360
pes28,01/10/2019 00:00,60
pes28,01/10/2019 00:00,40
pes28,01/10/2019 00:00,50
pes28,01/10/2019 00:00,80
pol0,01/10/2019 00:00,10
pol2,01/10/2019 00:00,30
pol5,01/10/2019 00:00,20
pol5,01/10/2019 00:00,40
pol6,01/10/2019 00:00,110
pol6,01/10/2019 00:00,20
pot10,01/10/2019 00:00,20
pot44,01/10/2019 00:00,10
pot49,01/10/2019 00:00,10
pot58,01/10/2019 00:00,10
pot68,01/10/2019 00:00,30
pot69,01/10/2019 00:00,10
pot73,01/10/2019 00:00,10
pot74,01/10/2019 00:00,10
pot75,01/10/2019 00:00,10
pot77,01/10/2019 00:00,20
pot77,01/10/2019 00:00,20
pot78,01/10/2019 00:00,10
pot79,01/10/2019 00:00,10
pot90,01/10/2019 00:00,10
sal0,01/10/2019 00:00,20
sal5,01/10/2019 00:00,130
sal7,01/10/2019 00:00,10
sal8,01/10/2019 00:00,10
see2,01/10/2019 00:00,10
see6,01/10/2019 00:00,10
see7,01/10/2019 00:00,20
sto14,01/10/2019 00:00,10
sup2,01/10/2019 00:00,20
tra0,01/10/2019 00:00,30
net1,01/10/2019 00:00,10.5
net10,01/10/2019 00:00,21
net10,01/10/2019 00:00,42
pes4,01/10/2019 00:00,12
pol3,01/10/2019 00:00,12
net9,01/10/2019 00:00,25
fer3,01/10/2019 00:00,15
gro0,01/10/2019 00:00,30
gro0,01/10/2019 00:00,30
gro29,01/10/2019 00:00,30
gro5,01/10/2019 00:00,60
net16,01/10/2019 00:00,15
pes0,01/10/2019 00:00,120
pes26,01/10/2019 00:00,105
pes27,01/10/2019 00:00,15
pes28,01/10/2019 00:00,15
pot64,01/10/2019 00:00,15
sal5,01/10/2019 00:00,15
sal6,01/10/2019 00:00,15
net2,01/10/2019 00:00,15.5
net8,01/10/2019 00:00,15.5
agg0,01/10/2019 00:00,40
agg4,01/10/2019 00:00,20
agg7,01/10/2019 00:00,20
bam0,01/10/2019 00:00,20
bam2,01/10/2019 00:00,40
bam3,01/10/2019 00:00,60
bam4,01/10/2019 00:00,20
bub3,01/10/2019 00:00,20
fer12,01/10/2019 00:00,60
fer12,01/10/2019 00:00,40
fer17,01/10/2019 00:00,140
fer17,01/10/2019 00:00,80
fer17,01/10/2019 00:00,120
fer40,01/10/2019 00:00,80
fix4,01/10/2019 00:00,80
gro0,01/10/2019 00:00,160
gro1,01/10/2019 00:00,20
gro17,01/10/2019 00:00,20
gro5,01/10/2019 00:00,20
jif19,01/10/2019 00:00,20
pes28,01/10/2019 00:00,180
pol2,01/10/2019 00:00,100
pol6,01/10/2019 00:00,20
pot12,01/10/2019 00:00,40
pot38,01/10/2019 00:00,20
pot69,01/10/2019 00:00,20
pot73,01/10/2019 00:00,20
pot78,01/10/2019 00:00,20
pot8,01/10/2019 00:00,20
pot9,01/10/2019 00:00,20
sal5,01/10/2019 00:00,40
sto15,01/10/2019 00:00,20
sto16,01/10/2019 00:00,20
sto62,01/10/2019 00:00,20
pes33,01/10/2019 00:00,42
bub0,01/10/2019 00:00,50
bub2,01/10/2019 00:00,25
bub3,01/10/2019 00:00,25
fer0,01/10/2019 00:00,75
fer14,01/10/2019 00:00,150
fer16,01/10/2019 00:00,25
fer16,01/10/2019 00:00,75
fer22,01/10/2019 00:00,50
fer24,01/10/2019 00:00,50
fer3,01/10/2019 00:00,100
fer3,01/10/2019 00:00,50
fer34,01/10/2019 00:00,25
fer9,01/10/2019 00:00,50
fix4,01/10/2019 00:00,150
gro0,01/10/2019 00:00,25
jif14,01/10/2019 00:00,25
sal0,01/10/2019 00:00,75
sal0,01/10/2019 00:00,50
sal5,01/10/2019 00:00,275
sal5,01/10/2019 00:00,50
sal6,01/10/2019 00:00,350
sal7,01/10/2019 00:00,100
net11,01/10/2019 00:00,25.5
bam3,01/10/2019 00:00,90
bub0,01/10/2019 00:00,90
fix0,01/10/2019 00:00,30
gro1,01/10/2019 00:00,30
gro5,01/10/2019 00:00,30
pes0,01/10/2019 00:00,30
pes26,01/10/2019 00:00,60
pol0,01/10/2019 00:00,30
pot35,01/10/2019 00:00,30
pot77,01/10/2019 00:00,30
pot91,01/10/2019 00:00,30
fix0,01/10/2019 00:00,64
bub0,01/10/2019 00:00,105
net1,01/10/2019 00:00,35.5
bam0,01/10/2019 00:00,40
bub0,01/10/2019 00:00,80
fix4,01/10/2019 00:00,40
gro21,01/10/2019 00:00,40
pot12,01/10/2019 00:00,80
pot49,01/10/2019 00:00,40
pot70,01/10/2019 00:00,80
pot84,01/10/2019 00:00,40
pot85,01/10/2019 00:00,40
sto12,01/10/2019 00:00,40
wor3,01/10/2019 00:00,80
wor3,01/10/2019 00:00,80
net12,01/10/2019 00:00,40.5
pes0,01/10/2019 00:00,135
pes26,01/10/2019 00:00,45
bam2,01/10/2019 00:00,100
bam3,01/10/2019 00:00,100
bub0,01/10/2019 00:00,100
fix4,01/10/2019 00:00,200
fix4,01/10/2019 00:00,100
pes28,01/10/2019 00:00,200
pot45,01/10/2019 00:00,50
pot84,01/10/2019 00:00,50
sup10,01/10/2019 00:00,100
sup10,01/10/2019 00:00,100
sup11,01/10/2019 00:00,50
bub1,01/10/2019 00:00,104
bub4,01/10/2019 00:00,104
bub0,01/10/2019 00:00,60
bub1,01/10/2019 00:00,60
bub4,01/10/2019 00:00,60
