key,Date,Sales
fer21,01/09/2020 00:00,0.1
fer60,01/09/2020 00:00,0.6
fer60,01/09/2020 00:00,0.2
fer29,01/09/2020 00:00,0.15
fer21,01/09/2020 00:00,1
fer60,01/09/2020 00:00,1.75
acc19,01/09/2020 00:00,0.3
sal5,01/09/2020 00:00,0.3
fer0,01/09/2020 00:00,1.5
fer16,01/09/2020 00:00,0.5
fer23,01/09/2020 00:00,0.5
fer39,01/09/2020 00:00,0.5
sal0,01/09/2020 00:00,1.5
sal7,01/09/2020 00:00,0.5
sal7,01/09/2020 00:00,1
acc17,01/09/2020 00:00,0.6
sal3,01/09/2020 00:00,0.625
fer24,01/09/2020 00:00,0.75
acc13,01/09/2020 00:00,1
acc17,01/09/2020 00:00,1
acc18,01/09/2020 00:00,1
acc21,01/09/2020 00:00,4
acc21,01/09/2020 00:00,2
acc21,01/09/2020 00:00,3
acc22,01/09/2020 00:00,6
acc9,01/09/2020 00:00,1
agg1,01/09/2020 00:00,4
agg1,01/09/2020 00:00,2
agg10,01/09/2020 00:00,1
agg3,01/09/2020 00:00,1
agg6,01/09/2020 00:00,2
ele0,01/09/2020 00:00,9
ele0,01/09/2020 00:00,2
ele0,01/09/2020 00:00,3
ele1,01/09/2020 00:00,2
ele10,01/09/2020 00:00,1
ele12,01/09/2020 00:00,2
ele16,01/09/2020 00:00,1
ele18,01/09/2020 00:00,3
ele20,01/09/2020 00:00,1
ele21,01/09/2020 00:00,3
ele22,01/09/2020 00:00,4
ele23,01/09/2020 00:00,1
ele24,01/09/2020 00:00,6
ele24,01/09/2020 00:00,2
ele25,01/09/2020 00:00,3
ele26,01/09/2020 00:00,4
ele26,01/09/2020 00:00,4
ele28,01/09/2020 00:00,6
ele29,01/09/2020 00:00,1
ele3,01/09/2020 00:00,2
ele9,01/09/2020 00:00,1
fer0,01/09/2020 00:00,2
fer11,01/09/2020 00:00,2
fer12,01/09/2020 00:00,1
fer14,01/09/2020 00:00,2
fer16,01/09/2020 00:00,2
fer21,01/09/2020 00:00,2
fer21,01/09/2020 00:00,2
fer25,01/09/2020 00:00,1
fer28,01/09/2020 00:00,1
fer5,01/09/2020 00:00,1
fer50,01/09/2020 00:00,2
fer56,01/09/2020 00:00,1
fer57,01/09/2020 00:00,2
gro10,01/09/2020 00:00,18
gro11,01/09/2020 00:00,6
gro12,01/09/2020 00:00,11
gro12,01/09/2020 00:00,2
gro13,01/09/2020 00:00,1
gro14,01/09/2020 00:00,12
gro14,01/09/2020 00:00,2
gro15,01/09/2020 00:00,2
gro16,01/09/2020 00:00,1
gro18,01/09/2020 00:00,2
gro22,01/09/2020 00:00,1
gro23,01/09/2020 00:00,1
gro26,01/09/2020 00:00,6
gro27,01/09/2020 00:00,3
gro28,01/09/2020 00:00,1
gro30,01/09/2020 00:00,27
gro30,01/09/2020 00:00,3
jif22,01/09/2020 00:00,1
lab25,01/09/2020 00:00,1
pes11,01/09/2020 00:00,4
pes18,01/09/2020 00:00,1
pes19,01/09/2020 00:00,1
pes20,01/09/2020 00:00,1
pes23,01/09/2020 00:00,1
pes23,01/09/2020 00:00,4
pes24,01/09/2020 00:00,4
pes24,01/09/2020 00:00,2
pes25,01/09/2020 00:00,2
pes27,01/09/2020 00:00,4
pes27,01/09/2020 00:00,2
pes28,01/09/2020 00:00,5
pes28,01/09/2020 00:00,5
pes30,01/09/2020 00:00,2
pes32,01/09/2020 00:00,1
pes9,01/09/2020 00:00,1
pol14,01/09/2020 00:00,3
pol15,01/09/2020 00:00,2
pol16,01/09/2020 00:00,6
pol17,01/09/2020 00:00,1
pol19,01/09/2020 00:00,1
pol20,01/09/2020 00:00,1
pol21,01/09/2020 00:00,1
pol21,01/09/2020 00:00,2
pol21,01/09/2020 00:00,3
pol22,01/09/2020 00:00,1
pol24,01/09/2020 00:00,6
pot103,01/09/2020 00:00,1
pot104,01/09/2020 00:00,1
pot16,01/09/2020 00:00,2
pot20,01/09/2020 00:00,1
pot21,01/09/2020 00:00,3
pot55,01/09/2020 00:00,1
pot58,01/09/2020 00:00,4
pot59,01/09/2020 00:00,1
pot60,01/09/2020 00:00,2
pot60,01/09/2020 00:00,2
pot65,01/09/2020 00:00,1
pot82,01/09/2020 00:00,1
pot83,01/09/2020 00:00,1
pot83,01/09/2020 00:00,2
sal0,01/09/2020 00:00,3
sal1,01/09/2020 00:00,1
sal10,01/09/2020 00:00,5
sal11,01/09/2020 00:00,1
sal2,01/09/2020 00:00,1
sal4,01/09/2020 00:00,1
sal5,01/09/2020 00:00,2
sal6,01/09/2020 00:00,1
sto1,01/09/2020 00:00,1
sto10,01/09/2020 00:00,23
sto10,01/09/2020 00:00,4
sto10,01/09/2020 00:00,5
sto11,01/09/2020 00:00,2
sto12,01/09/2020 00:00,8
sto13,01/09/2020 00:00,37
sto13,01/09/2020 00:00,10
sto14,01/09/2020 00:00,62
sto14,01/09/2020 00:00,2
sto15,01/09/2020 00:00,6
sto15,01/09/2020 00:00,2
sto16,01/09/2020 00:00,13
sto4,01/09/2020 00:00,7
sto46,01/09/2020 00:00,2
sto5,01/09/2020 00:00,42
sto5,01/09/2020 00:00,6
sto6,01/09/2020 00:00,26
sto6,01/09/2020 00:00,4
sto7,01/09/2020 00:00,27
sto7,01/09/2020 00:00,6
sto8,01/09/2020 00:00,40
sto8,01/09/2020 00:00,2
sto9,01/09/2020 00:00,5
sto9,01/09/2020 00:00,2
sup19,01/09/2020 00:00,1
sup20,01/09/2020 00:00,1
sup22,01/09/2020 00:00,3
wee0,01/09/2020 00:00,339
wee0,01/09/2020 00:00,32
wee0,01/09/2020 00:00,6
wee0,01/09/2020 00:00,8
wee0,01/09/2020 00:00,6
wee4,01/09/2020 00:00,13
wee4,01/09/2020 00:00,2
wee5,01/09/2020 00:00,3
wee5,01/09/2020 00:00,2
wee7,01/09/2020 00:00,36
wee7,01/09/2020 00:00,2
wor0,01/09/2020 00:00,1
fer21,01/09/2020 00:00,1.2
net13,01/09/2020 00:00,1.5
net7,01/09/2020 00:00,3
net8,01/09/2020 00:00,6
acc19,01/09/2020 00:00,2
agg1,01/09/2020 00:00,2
bub0,01/09/2020 00:00,2
fer0,01/09/2020 00:00,2
fer16,01/09/2020 00:00,2
fer21,01/09/2020 00:00,6
fer29,01/09/2020 00:00,2
fer4,01/09/2020 00:00,2
fer42,01/09/2020 00:00,2
fer42,01/09/2020 00:00,4
fer49,01/09/2020 00:00,2
fer50,01/09/2020 00:00,2
fer55,01/09/2020 00:00,2
