key	qty 	date 
acc11	1	20191104
acc11	2	20191118
acc11	1	20191121
acc12	1	20191102
acc12	1	20191112
acc12	1	20191122
acc13	1	20191109
acc13	2	20191116
acc13	1	20191117
acc13	1	20191125
acc13	1	20191128
acc14	0.3	20191102
acc14	0.3	20191126
acc14	6.45	20191129
acc14	16.6	20191115
acc14	0.6	20191125
acc14	4	20191101
acc14	27	20191118
acc14	9	20191127
acc14	6	20191103
acc14	17	20191108
acc14	6	20191117
acc14	4	20191114
acc14	4	20191122
acc14	32	20191104
acc14	10	20191106
acc14	10	20191120
acc15	0.3	20191102
acc15	32	20191104
acc15	0	20191116
acc15	0.6	20191125
acc15	16.6	20191115
acc15	0	20191107
acc15	0	20191113
acc15	0.3	20191126
acc15	10	20191106
acc16	32	20191104
acc16	1	20191125
acc16	0	20191129
acc16	0	20191101
acc16	9	20191126
acc16	4	20191113
acc16	0	20191120
acc16	20	20191106
acc16	4	20191107
acc16	0	20191114
acc16	0	20191111
acc16	0	20191124
acc16	20	20191105
acc17	0	20191109
acc17	0	20191110
acc17	0	20191118
acc17	0	20191103
acc18	0	20191121
acc18	0	20191110
acc18	0.3	20191125
acc18	20	20191105
acc18	0	20191119
acc18	4	20191120
acc18	0	20191122
acc18	2	20191107
acc18	0	20191116
acc19	0	20191123
acc19	0	20191115
acc19	6	20191118
acc19	0	20191120
acc19	0	20191124
acc19	0	20191129
acc19	0.45	20191125
acc19	0	20191102
acc19	0	20191106
acc19	0	20191114
acc19	10	20191116
acc19	0	20191117
acc19	0	20191109
acc19	6	20191122
acc19	0	20191128
acc19	0	20191111
acc19	0	20191112
acc19	14	20191127
acc19	5	20191110
acc19	7	20191119
acc19	48	20191101
acc19	15	20191104
acc20	0	20191107
acc21	2	20191109
acc21	5	20191110
acc21	3	20191111
acc21	1	20191117
acc21	4.3	20191118
acc21	2.3	20191124
acc21	0	20191130
acc4	0	20191126
acc9	0.45	20191129
agg0	5	20191110
agg0	7	20191119
agg0	2	20191122
agg0	1	20191117
agg0	0	20191121
agg0	2.3	20191124
agg0	0	20191130
agg0	5.6	20191125
agg0	48	20191101
agg0	0	20191103
agg0	15	20191104
agg0	2.3	20191120
agg0	14	20191127
agg0	2	20191128
agg0	0.45	20191129
agg0	0.3	20191115
agg1	48	20191101
agg1	5	20191102
agg1	0	20191103
agg1	15	20191104
agg1	0	20191105
agg1	0	20191106
agg1	0	20191107
agg1	0	20191108
agg1	1	20191109
agg1	5	20191111
agg1	0	20191112
agg1	0	20191113
agg1	0	20191114
agg1	0	20191115
agg1	5	20191117
agg1	0	20191118
agg1	1	20191119
agg1	60	20191120
agg1	5	20191121
agg1	61	20191122
agg1	0	20191123
agg1	5	20191124
agg1	70	20191125
agg1	0	20191126
agg1	20	20191127
agg1	60	20191128
agg1	20	20191129
agg1	15	20191130
agg2	0	20191102
agg2	20	20191104
agg2	0	20191105
agg2	0	20191106
agg2	21	20191110
agg2	5	20191117
