key	qty	date
acc10	1	20200404
acc10	1	20200407
acc10	1	20200418
acc10	1	20200423
acc11	2	20200404
acc11	4	20200407
acc11	4	20200408
acc11	1	20200417
acc11	1	20200423
acc11	1	20200425
acc11	1	20200430
acc13	1	20200404
acc13	1	20200408
acc13	1	20200414
acc14	2.2	20200419
acc14	24	20200417
acc14	2.2	20200419
acc14	1	20200420
acc14	1	20200424
acc14	24	20200417
acc14	2	20200418
acc14	8	20200422
acc14	24	20200417
acc14	3	20200425
acc14	18	20200427
acc14	9	20200407
acc14	8	20200422
acc14	9	20200407
acc15	0.6	20200408
acc15	4.6	20200422
acc15	2	20200419
acc15	4.6	20200422
acc16	0.9	20200414
acc16	8.9	20200429
acc16	1.6	20200417
acc16	1	20200402
acc16	1.6	20200417
acc16	2	20200428
acc16	2	20200430
acc16	3	20200419
acc16	3	20200427
acc16	8.9	20200429
acc16	25	20200423
acc17	15.3	20200428
acc17	0.6	20200407
acc17	13	20200402
acc17	10	20200424
acc17	10	20200424
acc17	13	20200402
acc17	15.3	20200428
acc18	3	20200408
acc18	10	20200419
acc19	5.3	20200422
acc19	0.3	20200425
acc19	1	20200419
acc19	2	20200424
acc19	5.3	20200422
acc21	2	20200402
acc21	1	20200407
acc21	1	20200410
acc21	5	20200411
acc21	1	20200412
acc21	1	20200413
acc21	1	20200414
acc21	3	20200415
acc21	2	20200416
acc21	2	20200417
acc21	3	20200418
acc21	3	20200419
acc21	1	20200422
acc21	6	20200423
acc21	8	20200424
acc21	2	20200425
acc21	3	20200428
acc23	1	20200404
acc23	1	20200407
acc23	1	20200418
acc23	1	20200423
acc24	1	20200404
acc24	1	20200407
acc24	1	20200418
acc24	1	20200423
acc32	1	20200407
acc32	1	20200422
acc33	1	20200422
acc9	1	20200424
agg0	400	20200416
agg0	560	20200417
agg0	600	20200418
agg1	3	20200404
agg1	3	20200404
agg1	2	20200410
agg1	2	20200418
agg1	3	20200407
agg1	8	20200402
agg2	200	20200416
agg2	40	20200417
agg2	20	20200418
agg2	240	20200419
agg2	100	20200420
agg3	320	20200416
agg4	5	20200406
agg4	40	20200430
agg4	60	20200421
agg5	120	20200416
agg5	320	20200417
agg5	500	20200418
agg5	1360	20200419
agg5	80	20200420
agg5	20	20200424
agg6	160	20200416
agg6	100	20200417
agg6	220	20200418
agg6	720	20200419
agg7	40	20200416
agg7	60	20200417
agg7	100	20200418
agg7	360	20200419
agg7	320	20200420
agg8	220	20200417
agg8	20	20200418
agg9	240	20200416
agg9	120	20200417
agg9	60	20200418
agg9	160	20200419
agg9	40	20200420
bam0	696	20200414
bam0	552	20200402
bam0	426	20200429
bam0	552	20200402
bam0	130	20200404
bam0	970	20200408
bam0	696	20200414
bam0	1180	20200415
bam0	1130	20200416
bam0	460	20200417
bam0	230	20200423
bam0	310	20200424
bam0	380	20200428
bam0	426	20200429
bam0	690	20200430
bam0	552	20200402
bam0	970	20200408
bam0	20	20200409
bam0	696	20200414
bam0	1180	20200415
bam0	1130	20200416
bam0	460	20200417
bam0	110	20200422
bam0	230	20200423
bam0	310	20200424
bam0	380	20200428
bam0	426	20200429
bam0	690	20200430
bam0	552	20200402
bam0	70	20200407
bam0	970	20200408
bam0	696	20200414
bam0	1180	20200415
bam0	1130	20200416
bam0	460	20200417
bam0	110	20200422
bam0	230	20200423
bam0	60	20200425
bam0	380	20200428
bam0	426	20200429
bam0	690	20200430
bam0	552	20200402
bam0	130	20200404
bam0	70	20200407
bam0	1180	20200415
bam0	1130	20200416
bam0	40	20200418
bam0	426	20200429
bam0	690	20200430
bam0	552	20200402
bam0	970	20200408
bam0	696	20200414
bam0	1180	20200415
bam0	1130	20200416
bam0	460	20200417
bam0	230	20200423
bam0	310	20200424
bam0	380	20200428
bam0	426	20200429
bam0	690	20200430
bam0	552	20200402
bam0	970	20200408
bam0	696	20200414
bam0	1130	20200416
bam0	310	20200424
bam0	380	20200428
bam0	690	20200430
bam0	696	20200414
bam0	1180	20200415
bam0	690	20200430
bam0	1130	20200416
bam1	2322	20200408
bam1	1555	20200402
bam1	470	20200404
bam1	1255	20200407
bam1	2322	20200408
bam1	1330	20200414
bam1	3660	20200415
bam1	2220	20200416
bam1	1060	20200417
bam1	10	20200421
bam1	640	20200422
bam1	1410	20200423
bam1	1790	20200424
bam1	875	20200425
bam1	900	20200428
bam1	1470	20200429
bam1	2050	20200430
bam1	1555	20200402
bam1	470	20200404
bam1	1255	20200407
bam1	2322	20200408
bam1	1330	20200414
bam1	3660	20200415
bam1	2220	20200416
bam1	1060	20200417
bam1	220	20200418
bam1	670	20200419
bam1	20	20200420
bam1	640	20200422
bam1	1410	20200423
bam1	1790	20200424
bam1	875	20200425
bam1	900	20200428
bam1	1470	20200429
bam1	2050	20200430
bam1	1555	20200402
bam1	1255	20200407
bam1	2322	20200408
bam1	1330	20200414
bam1	3660	20200415
bam1	2220	20200416
bam1	1060	20200417
bam1	670	20200419
bam1	640	20200422
bam1	1410	20200423
bam1	1790	20200424
bam1	875	20200425
bam1	900	20200428
bam1	1470	20200429
bam1	2050	20200430
bam1	1555	20200402
bam1	470	20200404
bam1	1330	20200414
