key	qty	date
acc11	2	20200804
acc11	1	20200811
acc11	1	20200823
acc13	1	20200801
acc13	1	20200803
acc13	2	20200804
acc13	1	20200805
acc13	1	20200806
acc13	2	20200809
acc13	1	20200811
acc13	1	20200813
acc13	1	20200815
acc13	1	20200818
acc13	1	20200821
acc13	1	20200824
acc13	1	20200825
acc13	1	20200829
acc14	15.6	20200803
acc14	2.3	20200807
acc14	0.75	20200823
acc14	10.3	20200825
acc14	8.9	20200801
acc14	6.45	20200817
acc14	0.75	20200823
acc14	0.45	20200829
acc14	8.9	20200801
acc14	21	20200805
acc14	11	20200811
acc14	8.9	20200801
acc14	4	20200802
acc14	2.3	20200807
acc14	5	20200819
acc14	3	20200818
acc14	5	20200819
acc14	8.9	20200801
acc14	10	20200812
acc14	5	20200816
acc14	5	20200821
acc14	16	20200804
acc14	6.45	20200817
acc14	16	20200804
acc14	10	20200809
acc14	11	20200811
acc14	10	20200824
acc14	10.3	20200825
acc14	10	20200828
acc14	10	20200830
acc14	15.6	20200803
acc14	15	20200822
acc14	21	20200805
acc14	20	20200806
acc14	20	20200808
acc14	20	20200815
acc15	7.6	20200816
acc15	2.3	20200817
acc15	5.2	20200812
acc15	2.4	20200813
acc15	5.8	20200815
acc15	2.6	20200819
acc15	0.6	20200829
acc15	0.6	20200830
acc15	1	20200802
acc15	16	20200808
acc15	36	20200810
acc15	5.2	20200812
acc15	1	20200814
acc15	7.6	20200816
acc15	2.6	20200819
acc15	1	20200822
acc15	1	20200823
acc15	1	20200825
acc15	1	20200827
acc15	9	20200828
acc15	10	20200804
acc15	4	20200811
acc15	5.2	20200812
acc15	5.8	20200815
acc15	2.3	20200817
acc15	3	20200803
acc15	3	20200821
acc15	8	20200807
acc15	16	20200808
acc15	49	20200809
acc15	36	20200810
acc15	26	20200805
acc15	7.6	20200816
acc15	49	20200809
acc15	10	20200804
acc15	16	20200820
acc15	9	20200828
acc15	40	20200818
acc15	16	20200808
acc15	36	20200810
acc15	26	20200805
acc15	49	20200809
acc15	40	20200818
acc16	1.15	20200808
acc16	5.3	20200823
acc16	9.45	20200801
acc16	16.45	20200804
acc16	1.2	20200821
acc16	16.45	20200804
acc16	1.15	20200808
acc16	1	20200816
acc16	9	20200819
acc16	1	20200822
acc16	1	20200825
acc16	9.45	20200801
acc16	2	20200810
acc16	2	20200828
acc16	19	20200831
acc16	9.45	20200801
acc16	16.45	20200804
acc16	3	20200818
acc16	6	20200824
acc16	3	20200826
acc16	9.45	20200801
acc16	5	20200806
acc16	5	20200813
acc16	5	20200815
acc16	5.3	20200823
acc16	8	20200809
acc16	9	20200819
acc16	16.45	20200804
acc16	19	20200831
acc17	4.15	20200822
acc17	17.6	20200823
acc17	8	20200803
acc17	15	20200808
acc17	1	20200809
acc17	1	20200820
acc17	4.15	20200822
acc17	17.6	20200823
acc17	8	20200803
acc17	15	20200808
acc17	2	20200815
acc17	2	20200829
acc17	2	20200830
acc17	4	20200831
acc17	3	20200819
acc17	8	20200803
acc17	5	20200816
acc17	6	20200828
acc17	8	20200804
acc17	25	20200827
acc17	11	20200817
acc17	15	20200808
acc17	15	20200811
acc17	17.6	20200823
acc17	25	20200827
acc18	0.9	20200806
acc18	0.3	20200824
acc18	0.45	20200803
acc18	0.45	20200812
acc18	0.9	20200806
acc18	6.6	20200814
acc18	4.6	20200819
acc18	1	20200811
acc18	6.6	20200814
acc18	2	20200815
acc18	9	20200823
acc18	14	20200831
acc18	4	20200808
acc18	2	20200818
acc18	4.6	20200819
acc18	2	20200825
acc18	2	20200829
acc18	14	20200831
acc18	4	20200822
acc18	6.6	20200814
acc18	5	20200817
acc18	5	20200826
acc18	6	20200804
acc18	9	20200823
acc18	10	20200816
acc18	14	20200831
acc19	10.3	20200803
acc19	5.3	20200805
acc19	5.15	20200816
acc19	2.6	20200819
acc19	5.15	20200823
acc19	3.3	20200826
acc19	11.6	20200829
acc19	1.3	20200813
acc19	13.8	20200812
acc19	2	20200801
acc19	10.3	20200803
acc19	5.3	20200805
acc19	5	20200809
acc19	13.8	20200812
acc19	1.3	20200813
acc19	1	20200815
acc19	1	20200817
acc19	1	20200820
acc19	5.15	20200823
acc19	4	20200824
acc19	11	20200825
acc19	2	20200827
acc19	11.6	20200829
acc19	5	20200830
acc19	6	20200831
acc19	32	20200804
acc19	24	20200810
acc19	15	20200811
acc19	4	20200814
acc19	5.15	20200816
acc19	2	20200818
acc19	2.6	20200819
acc19	4	20200824
acc19	11	20200825
acc19	2	20200828
acc19	24	20200810
acc19	15	20200811
acc19	5.15	20200816
acc19	5.15	20200823
acc19	3.3	20200826
acc19	5	20200830
acc19	14	20200802
acc19	5	20200809
acc19	24	20200810
acc19	11	20200825
acc19	6	20200831
acc19	15	20200811
acc19	10.3	20200803
acc19	14	20200802
acc19	10	20200807
acc19	13.8	20200812
acc19	11.6	20200829
acc19	24	20200810
acc19	32	20200804
acc21	20	20200801
acc21	6	20200802
acc21	9	20200803
acc21	7	20200804
acc21	6	20200805
acc21	11	20200806
acc21	8	20200807
acc21	1	20200808
acc21	7	20200809
acc21	2	20200810
acc21	7	20200811
acc21	2	20200812
acc21	3	20200813
acc21	12	20200814
acc21	7	20200815
acc21	4	20200816
acc21	4	20200817
acc21	8	20200818
acc21	3	20200819
acc21	3	20200820
acc21	7	20200821
acc21	6	20200822
acc21	7	20200823
acc21	5	20200824
acc21	4	20200825
acc21	4	20200826
acc21	5	20200827
acc21	4	20200828
acc21	17	20200829
acc21	12	20200830
acc21	20	20200831
acc22	11	20200801
acc22	18	20200802
acc22	23	20200803
acc22	8	20200804
acc22	12	20200805
acc22	7	20200806
acc22	2	20200807
acc22	3	20200808
acc22	3	20200809
acc22	4	20200810
acc22	8	20200811
acc22	10	20200812
acc22	9	20200813
acc22	11	20200814
acc22	8	20200815
acc22	11	20200816
acc22	3	20200817
acc22	17	20200818
acc22	7	20200819
acc22	3	20200820
acc22	5	20200821
acc22	3	20200822
acc22	8	20200823
acc22	11	20200824
acc22	1	20200825
acc22	5	20200826
acc22	3	20200827
acc22	2	20200829
acc22	1	20200830
acc22	4	20200831
acc33	1	20200831
acc35	1	20200827
acc9	1	20200803
acc9	2	20200807
acc9	1	20200811
acc9	1	20200816
acc9	1	20200828
agg0	406	20200802
agg0	381	20200803
agg0	41	20200804
agg0	121	20200807
agg0	391	20200808
agg0	186	20200810
agg0	121	20200812
agg0	231	20200818
agg0	406	20200802
agg0	195	20200806
agg0	335	20200809
agg0	186	20200810
agg0	305	20200811
agg0	90	20200813
agg0	150	20200825
agg0	45	20200826
agg0	195	20200806
agg0	391	20200808
agg0	130	20200815
agg0	180	20200816
agg0	231	20200818
agg0	90	20200828
agg0	110	20200831
agg0	220	20200801
agg0	406	20200802
agg0	381	20200803
agg0	195	20200806
agg0	121	20200807
agg0	335	20200809
agg0	186	20200810
agg0	305	20200811
agg0	121	20200812
agg0	90	20200813
agg0	130	20200815
agg0	180	20200816
agg0	260	20200817
agg0	231	20200818
agg0	120	20200819
agg0	120	20200823
agg0	20	20200824
agg0	150	20200825
agg0	360	20200827
agg0	90	20200828
agg0	200	20200829
agg0	406	20200802
agg0	381	20200803
agg0	41	20200804
agg0	200	20200805
agg0	391	20200808
agg0	335	20200809
agg0	160	20200821
agg0	120	20200823
agg0	150	20200825
agg0	45	20200826
agg0	200	20200829
agg0	110	20200831
agg0	220	20200801
agg0	381	20200803
agg0	195	20200806
agg0	90	20200813
agg0	130	20200815
agg0	260	20200817
agg0	220	20200820
agg0	240	20200822
agg0	360	20200827
agg0	90	20200828
agg0	220	20200801
agg0	121	20200807
agg0	391	20200808
agg0	335	20200809
agg0	800	20200814
agg0	260	20200817
agg0	220	20200820
agg0	240	20200822
agg0	391	20200808
agg0	121	20200812
agg0	120	20200819
agg0	240	20200822
agg0	406	20200802
agg0	391	20200808
agg0	186	20200810
agg0	800	20200814
agg0	180	20200816
agg0	160	20200821
agg0	381	20200803
agg0	200	20200805
agg0	360	20200827
agg0	800	20200814
agg1	17	20200801
agg1	27	20200802
agg1	29	20200803
agg1	19	20200804
agg1	24	20200805
agg1	13	20200806
agg1	26	20200807
agg1	23	20200808
agg1	23	20200809
agg1	27	20200810
agg1	20	20200811
agg1	9	20200812
agg1	20	20200813
agg1	14	20200814
agg1	7	20200815
agg1	20	20200816
agg1	27	20200817
agg1	11	20200818
agg1	8	20200819
agg1	12	20200820
agg1	13	20200821
agg1	9	20200822
agg1	24	20200823
agg1	18	20200824
agg1	54	20200825
agg1	20	20200826
agg1	11	20200827
agg1	9	20200828
agg1	9	20200829
agg1	3	20200830
agg1	52	20200831
agg1	17	20200801
agg1	27	20200802
agg1	29	20200803
agg1	19	20200804
agg1	24	20200805
agg1	13	20200806
agg1	23	20200808
agg1	23	20200809
agg1	27	20200810
agg1	20	20200811
agg1	20	20200813
agg1	14	20200814
agg1	7	20200815
agg1	27	20200817
agg1	11	20200818
agg1	8	20200819
agg1	12	20200820
agg1	13	20200821
agg1	9	20200822
agg1	24	20200823
agg1	18	20200824
agg1	54	20200825
agg1	20	20200826
agg1	11	20200827
agg1	9	20200828
agg1	9	20200829
agg1	52	20200831
agg1	27	20200802
agg1	19	20200804
agg1	13	20200806
agg1	23	20200808
agg1	20	20200811
agg1	17	20200801
agg1	29	20200803
agg1	24	20200805
agg1	20	20200811
agg1	9	20200812
agg1	20	20200816
agg1	27	20200817
agg1	13	20200821
agg1	24	20200823
agg1	20	20200826
agg1	27	20200810
agg1	26	20200807
agg1	23	20200808
