key	qty	date 
acc0	2	20200703
acc0	2	20200728
acc13	1	20200703
acc13	1	20200712
acc13	1	20200713
acc13	1	20200714
acc13	1	20200716
acc13	1	20200717
acc13	2	20200723
acc13	1	20200724
acc13	1	20200725
acc13	1	20200728
acc13	1	20200730
acc14	6.3	20200720
acc14	0.3	20200707
acc14	1.6	20200725
acc14	0.6	20200729
acc14	1	20200718
acc14	1	20200721
acc14	6	20200723
acc14	1.6	20200725
acc14	1	20200727
acc14	3	20200703
acc14	4	20200728
acc14	5	20200701
acc14	6	20200723
acc14	5	20200730
acc14	6.3	20200720
acc14	7	20200702
acc14	7	20200719
acc14	10	20200726
acc14	20	20200706
acc14	30	20200705
acc15	1.2	20200725
acc15	7.2	20200728
acc15	1	20200703
acc15	2	20200714
acc15	2	20200702
acc15	2	20200711
acc15	2	20200718
acc15	2	20200724
acc15	8	20200726
acc15	7	20200730
acc15	7.2	20200728
acc15	5	20200723
acc15	7	20200730
acc15	20	20200710
acc15	48	20200729
acc15	120	20200701
acc16	1.6	20200729
acc16	0.45	20200725
acc16	1	20200702
acc16	1	20200715
acc16	1	20200718
acc16	28	20200726
acc16	1.6	20200729
acc16	2	20200717
acc16	28	20200726
acc16	43	20200728
acc16	21	20200730
acc16	8	20200705
acc16	28	20200726
acc16	28	20200726
acc16	21	20200730
acc16	20	20200703
acc16	43	20200728
acc17	0.45	20200705
acc17	2.45	20200721
acc17	0.6	20200718
acc17	1	20200706
acc17	1	20200726
acc17	2.45	20200721
acc17	2	20200723
acc17	3	20200731
acc17	10	20200725
acc17	4	20200727
acc17	10	20200725
acc17	7	20200714
acc17	15	20200712
acc18	0.6	20200702
acc18	0.3	20200705
acc18	2.4	20200713
acc18	0.6	20200719
acc18	1	20200723
acc18	5	20200726
acc18	11	20200728
acc18	9	20200730
acc18	2	20200712
acc18	2	20200717
acc18	2	20200724
acc18	5	20200726
acc18	5	20200727
acc18	9	20200730
acc18	11	20200728
acc19	1.3	20200721
acc19	2.15	20200724
acc19	22.6	20200728
acc19	3.45	20200723
acc19	4.6	20200709
acc19	20.6	20200727
acc19	31	20200702
acc19	1	20200704
acc19	1	20200712
acc19	1	20200719
acc19	1.3	20200721
acc19	3	20200730
acc19	10	20200720
acc19	2.15	20200724
acc19	22.6	20200728
acc19	3	20200730
acc19	8	20200705
acc19	3	20200708
acc19	3	20200722
acc19	3.45	20200723
acc19	3	20200726
acc19	4.6	20200709
acc19	4	20200725
acc19	12	20200701
acc19	8	20200705
acc19	12	20200701
acc19	10	20200720
acc19	22.6	20200728
acc19	20.6	20200727
acc19	31	20200702
acc21	1	20200722
