key	qty 	date
acc10	1	20200301
acc10	1	20200307
acc10	1	20200318
acc10	2	20200323
acc10	4	20200322
acc11	1	20200304
acc11	1	20200312
acc11	1	20200315
acc11	4	20200326
acc11	1	20200327
acc13	1	20200304
acc13	1	20200317
acc13	1	20200320
acc13	1	20200321
acc13	1	20200330
acc14	0.3	20200313
acc14	0.6	20200305
acc14	0.6	20200315
acc14	4	20200316
acc14	7	20200302
acc14	2	20200307
acc14	2	20200317
acc14	3	20200301
acc14	7	20200302
acc14	3	20200304
acc14	4	20200316
acc14	20	20200311
acc14	5	20200312
acc14	10	20200306
acc14	10	20200308
acc14	10	20200310
acc14	20	20200311
acc15	6.9	20200302
acc15	6.9	20200302
acc15	10.3	20200303
acc15	31	20200308
acc15	1	20200315
acc15	4	20200321
acc15	6.9	20200302
acc15	2	20200319
acc15	4	20200316
acc15	8	20200311
acc15	10.3	20200303
acc15	20	20200301
acc15	31	20200308
acc16	1.3	20200312
acc16	0.3	20200322
acc16	0.45	20200304
acc16	0.6	20200306
acc16	1	20200305
acc16	5	20200309
acc16	1.3	20200312
acc16	7	20200315
acc16	6	20200311
acc16	5	20200309
acc16	6	20200311
acc16	7	20200315
acc16	25	20200314
acc17	2.6	20200302
acc17	2.6	20200308
acc17	1	20200316
acc17	2.6	20200302
acc17	2	20200304
acc17	2.6	20200308
acc17	18	20200301
acc17	3	20200305
acc17	3	20200320
acc17	5	20200315
acc17	6	20200326
acc17	10	20200317
acc17	20	20200323
acc17	18	20200301
acc18	0.6	20200305
acc18	0.3	20200316
acc18	2.4	20200312
acc18	1	20200310
acc18	5	20200314
acc18	2	20200321
acc18	2	20200307
acc18	4	20200313
acc18	5	20200314
acc18	5	20200315
acc18	20	20200319
acc19	21.45	20200305
acc19	1.6	20200309
acc19	21.45	20200305
acc19	14.3	20200308
acc19	0.45	20200302
acc19	1.6	20200309
acc19	6.45	20200321
acc19	1	20200301
acc19	5	20200304
acc19	1.6	20200309
acc19	21.45	20200305
acc19	6.45	20200321
acc19	3	20200303
acc19	14.3	20200308
acc19	3	20200310
acc19	5	20200304
acc19	21.45	20200305
acc19	14.3	20200308
acc19	6	20200327
acc19	21.45	20200305
acc19	13	20200306
acc21	9	20200301
acc21	2	20200302
acc21	15	20200303
acc21	6	20200304
