key	qty	date 
acc11	1	20200502
acc11	1	20200507
acc11	2	20200508
acc11	5	20200509
acc11	1	20200510
acc11	2	20200511
acc11	1	20200512
acc11	2	20200514
acc11	2	20200515
acc11	8	20200516
acc11	6	20200517
acc11	6	20200518
acc11	8	20200519
acc11	2	20200520
acc11	4	20200521
acc11	4	20200522
acc11	3	20200523
acc11	6	20200524
acc11	4	20200525
acc11	4	20200526
acc11	4	20200528
acc13	1	20200516
acc13	1	20200524
acc13	1	20200526
acc13	2	20200527
acc13	1	20200528
acc14	4.35	20200531
acc14	1	20200527
acc14	1	20200529
acc14	2	20200506
acc14	12	20200510
acc14	8	20200522
acc14	2	20200526
acc14	4	20200518
acc14	8	20200520
acc14	5	20200511
acc15	0.6	20200507
acc15	2	20200509
acc15	2	20200511
acc15	7	20200525
acc15	65	20200528
acc15	6	20200508
acc15	7	20200515
acc15	28	20200527
acc16	0.3	20200528
acc16	0.45	20200507
acc16	0.9	20200510
acc16	2.6	20200522
acc16	1	20200527
acc16	2	20200503
acc16	2	20200513
acc16	2	20200516
acc17	2	20200523
acc17	2	20200506
acc17	3	20200508
acc17	4	20200514
acc17	5	20200507
acc17	5	20200526
acc17	6	20200510
acc17	6	20200517
acc18	4.3	20200529
acc18	0.6	20200523
acc18	2.6	20200528
acc18	5	20200513
acc18	1	20200520
acc18	1	20200524
acc18	2	20200507
acc18	9	20200519
acc19	0.15	20200524
acc19	0.3	20200502
acc19	0.3	20200517
acc19	1.3	20200529
acc19	1	20200510
acc19	1	20200528
acc19	1	20200530
acc19	9	20200518
acc19	6	20200514
acc19	4	20200508
acc19	4	20200521
acc19	21	20200509
acc21	5	20200501
acc21	1	20200503
acc21	1	20200505
acc21	3	20200506
acc21	1	20200507
acc21	9	20200508
acc21	29	20200509
acc21	6	20200510
acc21	2	20200511
acc21	6	20200512
acc21	26	20200513
acc21	13	20200514
acc21	21	20200515
acc21	13	20200516
acc21	34	20200517
acc21	18	20200518
acc21	23	20200519
acc21	7	20200520
acc21	13	20200521
acc21	15	20200522
acc21	25	20200523
acc21	19	20200524
acc21	24	20200525
acc21	27	20200526
acc21	19	20200527
acc21	16	20200528
acc21	4	20200529
acc25	1	20200526
acc32	2	20200519
acc35	1	20200513
acc9	1	20200512
acc9	1	20200529
acc9	1	20200530
agg2	140	20200519
agg2	100	20200520
agg2	20	20200521
agg2	20	20200522
agg2	20	20200523
agg2	20	20200524
agg2	80	20200525
agg2	100	20200526
agg2	80	20200527
agg2	140	20200528
agg2	140	20200529
agg2	20	20200530
agg3	20	20200519
agg3	20	20200520
agg3	60	20200521
agg3	140	20200522
agg3	40	20200523
agg3	80	20200524
agg3	220	20200525
agg3	220	20200526
agg4	60	20200506
agg7	80	20200519
agg7	180	20200520
agg7	20	20200521
agg7	80	20200522
agg7	140	20200523
agg7	160	20200524
agg7	340	20200525
agg9	40	20200522
agg9	20	20200523
agg9	20	20200524
agg9	80	20200525
agg9	100	20200526
agg9	240	20200527
agg9	20	20200528
agg9	340	20200529
bam0	188	20200523
bam0	918	20200528
bam0	270	20200519
bam0	44	20200522
bam0	266	20200520
bam0	700	20200501
bam0	870	20200502
bam0	410	20200503
bam0	290	20200506
bam0	630	20200507
bam0	920	20200508
bam0	1120	20200509
bam0	620	20200510
bam0	700	20200511
bam0	470	20200512
bam0	720	20200513
bam0	530	20200514
bam0	950	20200515
bam0	810	20200516
bam0	1550	20200517
bam0	1965	20200518
bam0	190	20200521
bam0	110	20200524
bam0	350	20200525
bam0	1420	20200526
bam0	1050	20200527
bam0	820	20200529
bam0	220	20200530
bam0	180	20200531
bam1	2860	20200501
bam1	4910	20200502
bam1	620	20200503
bam1	490	20200506
bam1	1240	20200507
bam1	710	20200508
bam1	1240	20200509
bam1	530	20200510
bam1	1060	20200513
bam1	1960	20200514
bam1	2680	20200515
bam1	2290	20200516
bam1	2710	20200517
bam1	2640	20200518
bam1	1290	20200519
bam1	1370	20200520
bam1	930	20200521
bam1	1140	20200522
bam1	1090	20200523
bam1	640	20200524
bam1	2340	20200525
bam1	3850	20200526
bam1	3510	20200527
bam1	3210	20200528
bam1	2815	20200529
bam1	1110	20200530
bam1	1410	20200531
bam1	60	20200504
bam2	1905	20200501
bam2	3415	20200502
bam2	650	20200503
bam2	50	20200504
bam2	1130	20200513
bam2	2450	20200514
bam2	3515	20200515
bam2	3940	20200516
bam2	4720	20200517
bam2	3520	20200518
bam2	1710	20200519
bam2	1450	20200520
bam2	2055	20200521
bam2	1620	20200522
bam2	1530	20200523
bam2	1490	20200524
bam2	4300	20200525
bam2	8375	20200526
bam2	6050	20200527
bam2	7030	20200528
bam2	1310	20200529
bam2	200	20200506
bam2	600	20200507
bam2	520	20200508
bam2	600	20200509
bam2	440	20200510
bam2	100	20200505
bam3	3220	20200501
bam3	3245	20200502
bam3	900	20200503
bam3	160	20200504
