key,Date,Sales
fer29,01/04/2021 00:00,0.025
fer21,01/04/2021 00:00,0.1
fer60,01/04/2021 00:00,0.6
fer21,01/04/2021 00:00,1
fer42,01/04/2021 00:00,0.25
fer60,01/04/2021 00:00,1
sal1,01/04/2021 00:00,0.25
acc18,01/04/2021 00:00,0.3
fer21,01/04/2021 00:00,0.6
bir2,01/04/2021 00:00,0.5
fer13,01/04/2021 00:00,0.5
fer21,01/04/2021 00:00,1
fer23,01/04/2021 00:00,1
fer29,01/04/2021 00:00,0.5
fer3,01/04/2021 00:00,0.5
fer39,01/04/2021 00:00,0.5
fer42,01/04/2021 00:00,0.5
fer60,01/04/2021 00:00,1.5
fer9,01/04/2021 00:00,0.5
sal0,01/04/2021 00:00,0.5
sal5,01/04/2021 00:00,0.5
fer29,01/04/2021 00:00,0.7
fer5,01/04/2021 00:00,2.1
fer8,01/04/2021 00:00,0.7
fer21,01/04/2021 00:00,0.75
fer42,01/04/2021 00:00,0.75
acc22,01/04/2021 00:00,2
agg1,01/04/2021 00:00,2
agg1,01/04/2021 00:00,2
agg2,01/04/2021 00:00,1
agg7,01/04/2021 00:00,1
ele1,01/04/2021 00:00,9
ele1,01/04/2021 00:00,2
ele16,01/04/2021 00:00,2
ele23,01/04/2021 00:00,1
ele24,01/04/2021 00:00,3
ele26,01/04/2021 00:00,4
ele3,01/04/2021 00:00,1
ele30,01/04/2021 00:00,1
ele38,01/04/2021 00:00,1
fer0,01/04/2021 00:00,1
fer11,01/04/2021 00:00,2
fer16,01/04/2021 00:00,4
fer18,01/04/2021 00:00,1
fer21,01/04/2021 00:00,4
fer23,01/04/2021 00:00,1
fer24,01/04/2021 00:00,1
fer28,01/04/2021 00:00,1
fer29,01/04/2021 00:00,3
fer3,01/04/2021 00:00,3
fer37,01/04/2021 00:00,1
fer4,01/04/2021 00:00,1
fer41,01/04/2021 00:00,1
fer42,01/04/2021 00:00,2
fer45,01/04/2021 00:00,1
fer48,01/04/2021 00:00,1
fer49,01/04/2021 00:00,2
fer5,01/04/2021 00:00,10
fer50,01/04/2021 00:00,3
gro10,01/04/2021 00:00,5
gro10,01/04/2021 00:00,2
gro11,01/04/2021 00:00,7
gro14,01/04/2021 00:00,11
gro16,01/04/2021 00:00,1
gro17,01/04/2021 00:00,1
gro18,01/04/2021 00:00,2
gro19,01/04/2021 00:00,1
gro20,01/04/2021 00:00,1
gro21,01/04/2021 00:00,1
gro22,01/04/2021 00:00,5
gro23,01/04/2021 00:00,1
gro24,01/04/2021 00:00,1
gro26,01/04/2021 00:00,1
gro26,01/04/2021 00:00,2
gro27,01/04/2021 00:00,1
gro30,01/04/2021 00:00,46
gro30,01/04/2021 00:00,4
han11,01/04/2021 00:00,1
han15,01/04/2021 00:00,1
irr0,01/04/2021 00:00,3
irr1,01/04/2021 00:00,1
jif22,01/04/2021 00:00,1
jif22,01/04/2021 00:00,4
