key	qty	date
acc10	2	20200121
acc11	1	20200102
acc11	1	20200111
acc11	1	20200112
acc11	1	20200120
acc11	1	20200129
acc12	2	20200101
acc12	1	20200121
acc12	1	20200130
acc13	1	20200103
acc13	1	20200105
acc13	1	20200115
acc13	1	20200117
acc13	1	20200121
acc13	1	20200123
acc13	1	20200126
acc13	1	20200129
acc13	1	20200130
acc14	0.3	20200115
acc14	0.3	20200119
acc14	32.45	20200105
acc14	0.6	20200110
acc14	1	20200112
acc14	2	20200118
acc14	6	20200122
acc14	1	20200131
acc14	32.45	20200105
acc14	2	20200114
acc14	4	20200117
acc14	63	20200108
acc14	5	20200121
acc14	6	20200122
acc14	5	20200127
acc14	5	20200128
acc14	6	20200116
acc14	30	20200113
acc14	32.45	20200105
acc14	63	20200108
acc15	0.45	20200112
acc15	1	20200107
acc15	1	20200120
acc15	10	20200122
acc15	2	20200110
acc15	2	20200111
acc15	2	20200114
acc15	2	20200128
acc15	12	20200129
acc15	3	20200124
acc15	10	20200122
acc15	12	20200129
acc16	0.15	20200117
acc16	0.3	20200130
acc16	0.45	20200123
acc16	0.6	20200102
acc16	0.6	20200129
acc16	2	20200111
acc16	2	20200115
acc16	2	20200120
acc16	3	20200103
acc16	3	20200118
acc16	4	20200128
acc16	4	20200131
acc16	5	20200107
acc16	5	20200114
acc16	8	20200105
acc17	0.15	20200125
acc17	1.45	20200104
acc17	0.45	20200117
acc17	0.6	20200114
acc17	0.6	20200115
acc17	1.45	20200104
acc17	2	20200106
acc17	2	20200110
acc17	8	20200113
acc17	2	20200127
acc17	5	20200130
acc17	6	20200122
acc18	0.75	20200111
acc18	0.6	20200101
acc18	0.75	20200111
acc18	0.6	20200125
acc18	0.6	20200127
acc18	1	20200102
acc18	1	20200103
acc18	2	20200131
acc18	3	20200113
acc18	3	20200128
acc19	0.3	20200112
acc19	9.3	20200126
acc19	25.1	20200113
acc19	25.1	20200113
acc19	2	20200108
acc19	3	20200116
acc19	2	20200104
acc19	2	20200115
acc19	3	20200116
acc19	2	20200117
acc19	2	20200118
acc19	2	20200120
acc19	5	20200122
acc19	2	20200124
acc19	2	20200128
acc19	3	20200119
acc19	5	20200122
acc19	3	20200129
acc19	4	20200101
acc19	17	20200109
acc19	25.1	20200113
acc19	9.3	20200126
acc19	10	20200106
acc19	17	20200109
acc19	25.1	20200113
acc19	20	20200123
acc21	4	20200102
acc21	7	20200104
acc21	3	20200105
acc21	1	20200107
acc21	4	20200108
acc21	10	20200110
acc21	4	20200111
acc21	3	20200112
acc21	2	20200114
acc21	3	20200116
acc21	3	20200117
acc21	2	20200118
acc21	1	20200119
acc21	4	20200120
acc21	2	20200121
acc23	2	20200121
acc24	2	20200121
acc25	1	20200112
acc4	1	20200131
acc9	1	20200101
acc9	2	20200103
acc9	1	20200104
acc9	1	20200106
acc9	1	20200121
acc9	2	20200128
agg0	21	20200109
agg0	21	20200112
agg0	1	20200116
agg0	1	20200122
agg0	5	20200103
agg0	5	20200106
agg0	15	20200108
agg0	21	20200109
agg0	45	20200120
agg0	5	20200130
agg0	15	20200108
agg0	21	20200109
agg0	10	20200113
agg0	70	20200121
agg0	70	20200128
agg0	10	20200131
agg0	21	20200112
agg0	20	20200119
agg0	45	20200120
agg0	70	20200121
agg0	120	20200127
agg0	40	20200125
agg0	120	20200127
agg0	70	20200128
agg0	200	20200111
agg1	8	20200102
agg1	6	20200103
agg1	3	20200104
agg1	1	20200105
agg1	1	20200106
agg1	6	20200107
agg1	3	20200108
agg1	5	20200109
agg1	4	20200110
agg1	7	20200111
agg1	2	20200112
agg1	11	20200113
agg1	5	20200114
agg1	8	20200116
agg1	1	20200117
agg1	3	20200119
agg1	8	20200121
agg1	2	20200122
agg1	6	20200125
agg1	6	20200128
agg1	3	20200129
agg1	7	20200130
agg1	3	20200131
agg1	11	20200113
agg1	3	20200119
