key,Date,Sales
fer21,31/10/2020 00:00,0.1
fer60,31/10/2020 00:00,0.3
acc19,31/10/2020 00:00,0.45
fer21,31/10/2020 00:00,1.2
fer21,31/10/2020 00:00,0.4
fer25,31/10/2020 00:00,0.25
fer60,31/10/2020 00:00,1
acc15,31/10/2020 00:00,1.2
fer21,31/10/2020 00:00,1.2
acc19,31/10/2020 00:00,0.45
fer0,31/10/2020 00:00,0.5
fer21,31/10/2020 00:00,1
fer39,31/10/2020 00:00,0.5
sal0,31/10/2020 00:00,0.5
sal1,31/10/2020 00:00,0.5
acc13,31/10/2020 00:00,1
acc21,31/10/2020 00:00,2
acc21,31/10/2020 00:00,3
agg0,31/10/2020 00:00,1
agg1,31/10/2020 00:00,1
agg10,31/10/2020 00:00,1
ele0,31/10/2020 00:00,12
ele1,31/10/2020 00:00,4
ele10,31/10/2020 00:00,4
ele11,31/10/2020 00:00,3
ele13,31/10/2020 00:00,1
ele16,31/10/2020 00:00,6
ele17,31/10/2020 00:00,3
ele19,31/10/2020 00:00,3
ele20,31/10/2020 00:00,1
ele21,31/10/2020 00:00,2
ele21,31/10/2020 00:00,2
ele22,31/10/2020 00:00,9
ele22,31/10/2020 00:00,2
ele23,31/10/2020 00:00,3
ele24,31/10/2020 00:00,14
ele24,31/10/2020 00:00,4
ele25,31/10/2020 00:00,2
ele26,31/10/2020 00:00,11
ele27,31/10/2020 00:00,1
ele28,31/10/2020 00:00,5
ele28,31/10/2020 00:00,6
ele29,31/10/2020 00:00,1
ele3,31/10/2020 00:00,1
ele34,31/10/2020 00:00,1
ele36,31/10/2020 00:00,1
ele40,31/10/2020 00:00,2
ele44,31/10/2020 00:00,2
ele9,31/10/2020 00:00,4
fer11,31/10/2020 00:00,2
fer13,31/10/2020 00:00,1
fer21,31/10/2020 00:00,2
fer24,31/10/2020 00:00,1
fer29,31/10/2020 00:00,2
fer3,31/10/2020 00:00,2
fer39,31/10/2020 00:00,2
fer42,31/10/2020 00:00,2
fer47,31/10/2020 00:00,1
fer49,31/10/2020 00:00,1
fer5,31/10/2020 00:00,2
fer57,31/10/2020 00:00,1
gro12,31/10/2020 00:00,1
gro14,31/10/2020 00:00,5
gro14,31/10/2020 00:00,3
gro15,31/10/2020 00:00,2
gro16,31/10/2020 00:00,3
gro18,31/10/2020 00:00,4
gro19,31/10/2020 00:00,3
gro20,31/10/2020 00:00,1
gro22,31/10/2020 00:00,2
gro23,31/10/2020 00:00,1
gro26,31/10/2020 00:00,3
gro26,31/10/2020 00:00,4
gro30,31/10/2020 00:00,49
gro30,31/10/2020 00:00,4
gro30,31/10/2020 00:00,3
