key	qty 	date
acc11	1	20191226
acc12	1	20191223
acc13	1	20191208
acc13	1	20191209
acc13	1	20191215
acc13	1	20191227
acc13	1	20191229
acc13	1	20191230
acc14	4.15	20191215
acc14	30.6	20191201
acc14	1	20191229
acc14	2	20191203
acc14	3	20191208
acc14	37	20191227
acc14	10	20191202
acc14	10	20191209
acc14	10	20191214
acc14	30	20191211
acc15	0.6	20191218
acc15	1	20191207
acc15	2	20191216
acc15	1	20191219
acc15	1	20191228
acc15	2	20191210
acc15	2	20191215
acc15	2	20191230
acc15	3	20191213
acc15	9	20191212
acc15	10	20191209
acc15	30	20191217
acc16	10.45	20191201
acc16	7.15	20191209
acc16	0.6	20191206
acc16	9.6	20191207
acc16	0.3	20191210
acc16	0.45	20191224
acc16	7	20191204
acc16	3	20191221
acc16	1	20191223
acc16	1	20191227
acc16	2	20191203
acc16	2	20191218
acc16	40	20191211
acc17	0.6	20191211
acc17	1	20191203
acc17	1	20191218
acc17	2	20191201
acc17	2	20191205
acc17	4	20191221
acc17	5	20191204
acc18	0.6	20191215
acc18	0.6	20191204
acc18	0.6	20191224
acc18	1	20191201
acc18	1	20191218
acc18	7	20191229
acc18	5	20191231
acc18	2	20191205
acc18	2	20191208
acc18	4	20191210
acc19	0.15	20191229
acc19	6.9	20191211
acc19	0.45	20191222
acc19	7.6	20191207
acc19	1	20191204
acc19	3	20191208
acc19	4	20191214
acc19	2	20191201
acc19	2	20191206
acc19	7	20191213
acc19	6	20191226
acc19	30	20191202
acc21	1	20191204
acc21	2	20191209
acc21	1	20191219
acc21	2	20191223
acc21	4	20191227
acc21	4	20191228
acc9	1	20191201
acc9	2	20191211
acc9	1	20191216
acc9	1	20191217
acc9	1	20191231
agg0	206	20191204
agg0	1	20191221
agg0	1	20191224
agg0	25	20191209
agg0	5	20191215
agg0	5	20191227
agg0	5	20191229
agg0	10	20191231
agg0	120	20191203
agg0	20	20191205
agg0	20	20191210
agg0	40	20191220
agg0	440	20191214
agg0	60	20191201
agg0	140	20191211
agg1	2	20191201
agg1	6	20191202
agg1	4	20191203
agg1	1	20191205
agg1	9	20191206
agg1	5	20191207
agg1	3	20191208
agg1	1	20191209
agg1	1	20191210
agg1	3	20191211
agg1	5	20191212
agg1	2	20191213
agg1	2	20191215
agg1	1	20191216
agg1	1	20191218
agg1	1	20191219
agg1	2	20191224
agg1	1	20191225
agg1	1	20191227
agg1	1	20191228
agg1	1	20191229
agg1	1	20191230
agg1	1	20191231
agg1	2	20191204
agg1	4	20191220
agg2	1	20191206
agg2	1	20191207
agg2	1	20191211
agg2	1	20191229
agg2	5	20191212
agg2	20	20191203
agg2	20	20191204
agg2	80	20191209
agg3	26	20191201
agg3	1	20191204
agg3	1	20191209
agg3	5	20191208
agg3	55	20191211
agg3	5	20191227
agg3	10	20191210
agg3	30	20191214
agg3	40	20191202
agg3	40	20191229
agg3	80	20191207
agg4	1	20191212
agg4	91	20191214
agg4	1	20191215
agg4	121	20191218
agg4	217	20191227
agg4	110	20191203
agg4	10	20191228
agg4	20	20191201
agg4	20	20191206
agg4	20	20191208
agg4	100	20191209
agg4	20	20191210
agg4	20	20191217
agg4	20	20191225
agg4	20	20191230
agg4	40	20191220
agg4	100	20191211
agg4	100	20191213
agg5	11	20191208
agg5	5	20191213
agg5	5	20191221
agg5	200	20191203
agg5	40	20191204
agg5	80	20191207
agg5	20	20191210
agg5	20	20191216
agg6	14	20191201
agg6	72	20191202
agg6	26	20191203
agg6	9	20191204
agg6	202	20191205
agg6	22	20191207
agg6	6	20191208
agg6	23	20191209
agg6	7	20191210
agg6	27	20191211
agg6	53	20191213
agg6	1	20191216
agg6	2	20191218
agg6	1	20191220
agg6	1	20191223
agg6	2	20191224
agg6	2	20191227
agg6	11	20191228
agg6	1	20191229
agg6	5	20191215
agg6	85	20191230
agg6	20	20191206
agg6	20	20191219
agg6	40	20191221
agg7	63	20191201
agg7	63	20191203
agg7	1	20191205
agg7	62	20191206
agg7	81	20191209
agg7	66	20191211
agg7	1	20191221
agg7	1	20191222
agg7	1	20191224
agg7	1	20191227
agg7	1	20191230
agg7	1	20191231
agg7	25	20191219
agg7	5	20191229
agg7	10	20191214
agg7	60	20191202
agg7	40	20191207
agg7	220	20191208
agg7	40	20191210
agg8	1	20191201
agg8	121	20191202
agg8	21	20191204
agg8	42	20191206
agg8	1	20191210
agg8	1	20191211
agg8	1	20191218
agg8	1	20191226
agg8	6	20191230
agg8	5	20191208
agg8	5	20191216
agg8	30	20191220
agg8	10	20191221
agg8	60	20191203
agg8	20	20191207
agg8	20	20191213
agg9	1	20191201
bam0	21	20191206
bam0	141	20191208
bam0	21	20191220
bam0	141	20191229
bam0	1269	20191204
bam0	706	20191202
bam0	576	20191205
bam0	26	20191216
bam0	60	20191201
bam0	140	20191203
bam0	50	20191207
bam0	40	20191209
bam0	60	20191210
bam0	60	20191211
bam0	10	20191213
bam0	170	20191214
bam0	60	20191215
bam0	175	20191217
bam0	60	20191218
bam0	165	20191219
bam0	30	20191222
bam0	10	20191225
bam0	220	20191230
bam0	140	20191231
bam0	50	20191227
bam0	100	20191223
bam0	500	20191228
bam1	44	20191217
bam1	220	20191201
bam1	160	20191202
bam1	370	20191203
bam1	440	20191204
bam1	170	20191205
bam1	540	20191206
bam1	120	20191207
bam1	130	20191208
bam1	270	20191209
bam1	90	20191210
bam1	130	20191211
bam1	60	20191212
bam1	90	20191215
bam1	40	20191216
bam1	70	20191219
bam1	80	20191220
bam1	30	20191225
bam1	10	20191227
bam1	250	20191231
bam1	40	20191214
bam1	220	20191221
bam1	20	20191228
bam1	70	20191229
bam1	230	20191218
bam1	240	20191224
bam1	100	20191230
bam1	200	20191222
bam1	250	20191226
bam2	60	20191201
bam2	380	20191202
bam2	230	20191203
bam2	40	20191204
bam2	670	20191205
bam2	440	20191206
bam2	400	20191207
bam2	110	20191208
bam2	310	20191209
bam2	160	20191210
bam2	560	20191211
bam2	90	20191215
bam2	700	20191216
bam2	210	20191218
bam2	50	20191219
bam2	20	20191221
bam2	170	20191222
bam2	270	20191225
bam2	110	20191226
bam2	10	20191228
bam2	70	20191229
bam2	10	20191230
bam2	670	20191217
bam2	30	20191220
bam2	130	20191231
bam2	440	20191213
bam2	150	20191223
bam2	450	20191227
bam2	100	20191212
bam2	150	20191214
bam3	30	20191201
bam3	10	20191202
bam3	100	20191203
bam3	50	20191204
bam3	90	20191205
bam3	630	20191206
bam3	390	20191207
bam3	90	20191209
bam3	110	20191210
bam3	140	20191213
bam3	240	20191216
bam3	430	20191218
bam3	220	20191219
bam3	20	20191222
bam3	230	20191227
bam3	100	20191228
bam3	100	20191230
bam3	80	20191231
bam3	150	20191208
bam3	20	20191212
bam3	40	20191214
bam3	205	20191215
bam3	20	20191221
bam3	420	20191226
bam3	60	20191220
bam3	70	20191225
bam3	190	20191229
bam3	210	20191224
bam3	100	20191217
bam3	100	20191223
bam4	160	20191201
bam4	30	20191205
bam4	10	20191206
bam4	50	20191208
bam4	10	20191209
bam4	10	20191211
bam4	60	20191212
bam4	110	20191213
bam4	40	20191217
bam4	60	20191218
bam4	10	20191219
bam4	10	20191223
bam4	150	20191202
bam4	20	20191203
bam4	40	20191215
bam4	20	20191221
bam4	40	20191226
bam4	210	20191231
bam4	190	20191230
bam4	150	20191225
bam4	100	20191228
bam4	100	20191229
bam4	200	20191214
bam5	10	20191201
bam5	30	20191203
bam5	30	20191204
bam5	30	20191219
bam5	10	20191220
bam5	60	20191227
bam5	50	20191228
bam5	20	20191205
bam5	190	20191216
bam5	20	20191226
bam5	100	20191229
bam5	70	20191231
bam5	40	20191202
bam5	40	20191209
bam5	50	20191212
bam5	250	20191206
bam6	120	20191202
bam6	60	20191203
bam6	50	20191206
bam6	10	20191207
bam6	110	20191228
bam6	10	20191231
bam6	20	20191211
bam6	20	20191213
bam6	20	20191225
bam6	20	20191226
bam6	140	20191229
bam6	60	20191208
bam6	110	20191209
bam6	120	20191227
bam6	180	20191230
bam6	40	20191204
bam6	50	20191215
bam6	50	20191216
bam6	50	20191218
bam6	50	20191220
bam6	100	20191210
bam6	100	20191217
bam7	20	20191213
bam7	20	20191220
bam7	30	20191208
bam7	40	20191229
bam7	50	20191207
bam7	50	20191224
bam7	100	20191201
bam7	100	20191210
bam7	100	20191211
bir0	1	20191203
bir0	2	20191204
bir0	1	20191207
bir0	1	20191215
bir0	2	20191218
bir0	1	20191220
bir0	1	20191222
bir0	1	20191224
bir1	1	20191203
bir2	20.5	20191202
bir2	21	20191220
bir2	6	20191201
bir2	10	20191215
bir2	10	20191224
bir2	12.75	20191206
bir2	25.5	20191208
bir2	32.75	20191218
bir2	62.75	20191227
bir2	38.25	20191230
bir2	15	20191214
bir2	60	20191216
bir2	20	20191203
bir2	20	20191205
bir2	20	20191209
bir2	40	20191210
bir2	20	20191211
bir2	45	20191213
bir2	20	20191217
bir2	20	20191222
bir2	25	20191207
bir2	30	20191228
bir2	40	20191226
bir3	1	20191201
bir3	1	20191228
bub0	82	20191226
bub0	50	20191215
bub0	35	20191210
bub0	7	20191205
bub0	82	20191231
bub0	184	20191202
bub0	140	20191208
bub0	85	20191204
bub0	15	20191207
bub0	15	20191213
bub0	65	20191219
bub0	115	20191203
bub0	60	20191201
bub0	120	20191211
bub0	30	20191214
bub0	130	20191216
bub0	30	20191227
bub0	35	20191209
bub0	100	20191206
bub1	372	20191226
bub1	408	20191215
bub1	374	20191210
bub1	516	20191205
bub1	230	20191231
bub1	624	20191202
bub1	52	20191213
bub1	140	20191217
bub1	120	20191225
bub1	446	20191208
bub1	416	20191204
bub1	72	20191207
bub1	334	20191219
bub1	264	20191201
bub1	478	20191203
bub1	40	20191212
bub1	102	20191214
bub1	140	20191218
bub1	102	20191227
bub1	140	20191229
bub1	260	20191230
bub1	448	20191211
bub1	364	20191216
bub1	372	20191209
bub1	200	20191221
bub1	100	20191224
bub1	200	20191228
bub1	602	20191206
bub2	2	20191228
bub2	4	20191220
bub2	61	20191202
bub2	6	20191226
bub2	20	20191206
bub2	40	20191208
bub2	10	20191214
bub2	15	20191204
bub2	15	20191210
bub2	15	20191211
bub3	81	20191229
bub3	178	20191202
bub3	46	20191204
bub3	43	20191208
bub3	120	20191205
bub3	120	20191203
bub3	25	20191206
bub3	65	20191209
bub3	5	20191220
bub3	5	20191221
bub3	25	20191231
bub3	90	20191201
bub3	10	20191207
bub3	20	20191210
bub3	60	20191211
bub3	10	20191213
bub3	35	20191214
bub3	10	20191215
bub3	70	20191216
bub3	90	20191217
bub3	10	20191218
bub3	10	20191224
bub3	30	20191226
bub3	10	20191230
bub3	50	20191227
bub4	372	20191226
bub4	408	20191215
bub4	374	20191210
bub4	516	20191205
bub4	230	20191231
bub4	624	20191202
bub4	52	20191213
bub4	140	20191217
bub4	120	20191225
bub4	446	20191208
bub4	416	20191204
bub4	72	20191207
bub4	334	20191219
bub4	264	20191201
bub4	478	20191203
bub4	40	20191212
bub4	102	20191214
bub4	140	20191218
bub4	102	20191227
bub4	140	20191229
bub4	260	20191230
bub4	448	20191211
bub4	364	20191216
bub4	372	20191209
bub4	200	20191221
bub4	100	20191224
bub4	200	20191228
bub4	602	20191206
coi0	1	20191202
coi0	1	20191209
coi0	1	20191211
coi0	1	20191214
coi0	1	20191223
coi0	2	20191226
coi0	13	20191227
coi0	9	20191231
coi0	2	20191222
coi0	6	20191230
coi0	3	20191212
coi0	3	20191220
coi0	4	20191201
coi0	4	20191210
coi0	5	20191207
coi0	5	20191221
ele0	28	20191201
ele0	51	20191202
ele0	27	20191203
ele0	26	20191204
ele0	27	20191205
ele0	14	20191206
ele0	9	20191207
ele0	12	20191208
ele0	22	20191209
ele0	19	20191210
ele0	13	20191211
ele0	11	20191212
ele0	11	20191213
ele0	9	20191214
ele0	15	20191215
ele0	10	20191216
ele0	24	20191217
ele0	18	20191218
ele0	20	20191219
ele0	13	20191220
ele0	6	20191221
ele0	5	20191222
ele0	2	20191223
ele0	4	20191227
ele0	8	20191228
ele0	5	20191229
ele0	13	20191230
ele0	10	20191231
ele1	14	20191201
ele1	15	20191202
ele1	18	20191203
ele1	14	20191204
ele1	8	20191205
ele1	6	20191206
ele1	5	20191207
ele1	9	20191208
ele1	7	20191209
ele1	10	20191210
ele1	11	20191211
ele1	5	20191212
ele1	2	20191213
ele1	6	20191214
ele1	6	20191215
ele1	11	20191216
ele1	10	20191217
ele1	7	20191218
ele1	8	20191219
ele1	5	20191220
ele1	5	20191221
ele1	6	20191222
ele1	2	20191223
ele1	1	20191224
ele1	1	20191225
ele1	3	20191226
ele1	5	20191227
ele1	5	20191228
ele1	2	20191229
ele1	4	20191230
ele1	2	20191231
ele10	3	20191219
ele10	3	20191221
ele10	2	20191225
ele10	3	20191226
ele10	3	20191227
ele10	5	20191228
ele10	3	20191229
ele10	1	20191230
ele10	2	20191231
ele11	1	20191220
ele11	1	20191221
ele11	2	20191222
ele11	1	20191223
ele11	1	20191224
ele11	1	20191226
ele11	1	20191228
ele11	2	20191229
ele11	5	20191230
ele11	2	20191231
ele12	1	20191218
ele12	1	20191219
ele12	1	20191220
ele12	1	20191222
ele12	3	20191224
ele12	1	20191227
ele12	1	20191228
ele12	1	20191229
ele12	2	20191230
ele12	3	20191231
ele13	6	20191220
ele13	2	20191223
ele13	1	20191230
ele16	1	20191201
ele16	1	20191202
ele16	2	20191203
ele16	1	20191204
ele16	4	20191206
