key	qty	date	
acc11	1	20200203
acc11	3	20200206
acc11	2	20200209
acc11	1	20200214
acc11	2	20200219
acc11	1	20200226
acc12	1	20200220
acc13	1	20200202
acc13	1	20200203
acc13	1	20200206
acc14	0.3	20200202
acc14	0.3	20200215
acc14	30.3	20200220
acc14	0.9	20200203
acc14	0.45	20200212
acc14	1.35	20200219
acc14	1	20200213
acc14	1	20200216
acc14	3	20200221
acc14	1	20200228
acc14	1	20200229
acc14	7	20200205
acc14	2	20200210
acc14	3	20200221
acc14	13	20200207
acc14	3	20200208
acc14	3	20200209
acc14	7	20200205
acc14	13	20200207
acc14	30.3	20200220
acc15	2.45	20200217
acc15	10.6	20200207
acc15	1	20200208
acc15	8	20200209
acc15	2	20200210
acc15	12	20200219
acc15	1	20200224
acc15	10.6	20200207
acc15	8	20200209
acc15	2.45	20200217
acc15	4	20200221
acc15	2	20200222
acc15	16	20200225
acc15	10	20200226
acc15	10.6	20200207
acc15	3	20200216
acc15	4	20200201
acc15	4	20200229
acc15	10.6	20200207
acc15	8	20200209
acc15	5	20200212
acc15	6	20200213
acc15	16	20200225
acc15	10	20200226
acc15	20	20200218
acc15	12	20200219
acc15	30	20200211
acc16	0.3	20200212
acc16	8.3	20200217
acc16	3.6	20200229
acc16	0.6	20200203
acc16	0.6	20200209
acc16	0.6	20200226
acc16	1	20200201
acc16	1	20200205
acc16	2	20200215
acc16	8.3	20200217
acc16	1	20200223
acc16	1	20200227
acc16	6	20200211
acc16	3.6	20200229
acc16	5	20200204
acc16	8.3	20200217
acc17	0.3	20200228
acc17	1	20200207
acc17	2	20200209
acc17	4	20200213
acc17	1	20200223
acc17	2	20200208
acc17	2	20200211
acc17	4	20200217
acc17	17	20200224
acc17	4	20200213
acc17	4	20200205
acc17	5	20200203
acc17	12	20200227
acc17	17	20200224
acc18	0.15	20200206
acc18	2.6	20200201
acc18	0.3	20200203
acc18	3.3	20200219
acc18	0.45	20200209
acc18	2	20200210
acc18	36	20200211
acc18	4	20200213
acc18	2.6	20200201
acc18	2	20200204
acc18	12	20200217
acc18	2	20200225
acc18	4	20200213
acc18	3.3	20200219
acc18	36	20200211
acc18	5	20200226
acc18	36	20200211
acc18	10	20200214
acc18	12	20200217
acc19	0.9	20200206
acc19	4.5	20200208
acc19	0.15	20200214
acc19	0.15	20200224
acc19	4.5	20200208
acc19	0.3	20200215
acc19	2.9	20200225
acc19	3.45	20200205
acc19	0.9	20200212
acc19	0.45	20200218
acc19	3.05	20200222
acc19	0.9	20200206
acc19	3.05	20200222
acc19	2.9	20200225
acc19	1	20200201
acc19	10	20200202
acc19	21	20200203
acc19	3	20200204
acc19	3.45	20200205
acc19	1	20200217
acc19	4	20200221
acc19	1	20200223
acc19	1	20200229
acc19	3	20200204
acc19	2	20200207
acc19	2	20200210
acc19	2	20200216
acc19	3.05	20200222
acc19	2.9	20200225
acc19	4.5	20200208
acc19	4	20200221
acc19	3	20200227
acc19	10	20200202
acc19	21	20200203
acc21	1	20200201
acc21	2	20200204
acc21	2	20200208
acc21	1	20200213
acc21	5	20200214
acc21	1	20200215
acc21	1	20200216
acc21	1	20200217
acc21	2	20200222
acc21	2	20200224
acc21	2	20200225
acc21	3	20200228
acc21	7	20200229
acc9	0	20200208
acc9	1	20200213
acc9	1	20200215
acc9	1	20200216
acc9	2	20200224
agg0	11	20200212
agg0	2	20200221
agg0	00	20200202
agg0	0	20200203
agg0	005	20200204
agg0	1	20200213
agg0	15	20200215
agg0	2	20200221
agg0	2	20200226
agg0	00	20200206
agg0	10	20200211
agg0	15	20200215
agg0	20	20200222
agg0	20	20200228
agg0	005	20200204
agg0	00	20200206
agg0	00	20200209
agg0	10	20200210
agg0	10	20200211
agg0	11	20200212
agg0	10	20200217
agg0	20	20200220
agg0	280	20200223
agg0	10	20200211
agg0	00	20200208
agg0	10	20200218
agg0	005	20200204
agg0	280	20200223
