key	qty 	date
acc0	1	20200609
acc13	1	20200615
acc13	1	20200617
acc14	0.15	20200630
acc14	0.45	20200618
acc14	7.2	20200614
acc14	1	20200601
acc14	10	20200620
acc14	1	20200621
acc14	1	20200626
acc14	2	20200628
acc14	2	20200610
acc14	2	20200624
acc14	3	20200605
acc14	3	20200627
acc14	4	20200602
acc14	4	20200606
acc14	4	20200615
acc14	4	20200619
acc14	6	20200607
acc14	15	20200617
acc15	27.6	20200617
acc15	8.45	20200616
acc15	1.45	20200619
acc15	0.6	20200613
acc15	22	20200610
acc15	8	20200625
acc15	2	20200629
acc15	3	20200602
acc15	11	20200604
acc15	7	20200605
acc15	40	20200628
acc16	1.15	20200616
acc16	0.6	20200613
acc16	6	20200614
acc16	2	20200601
acc16	3	20200612
acc16	6	20200618
acc16	8	20200606
acc17	2	20200611
acc17	2	20200619
acc17	3	20200614
acc17	4	20200601
acc17	4	20200613
acc17	4	20200624
acc17	4	20200627
acc17	5	20200621
acc17	7	20200615
acc18	0.15	20200607
acc18	0.3	20200617
acc18	7.75	20200618
acc18	0.45	20200605
acc18	0.6	20200609
acc18	3	20200602
acc18	1	20200622
acc18	1	20200629
acc18	3	20200606
acc18	3	20200614
acc18	9	20200611
acc19	1.3	20200607
acc19	0.3	20200608
acc19	5.3	20200610
acc19	0.45	20200627
acc19	4.6	20200618
acc19	1.2	20200620
acc19	14	20200605
acc19	8	20200619
acc19	1	20200626
acc19	4	20200630
acc19	7	20200616
acc19	2	20200623
acc19	3	20200606
acc19	3	20200614
acc19	3	20200615
acc19	5	20200609
acc19	8	20200621
acc19	10	20200601
acc19	10	20200602
acc19	12	20200625
acc22	2	20200610
acc22	1	20200612
acc22	3	20200613
acc22	15	20200614
acc22	7	20200615
acc22	3	20200616
acc22	5	20200617
acc22	2	20200618
acc22	2	20200619
acc22	4	20200620
acc22	3	20200621
acc22	13	20200622
acc22	5	20200623
acc22	1	20200624
acc22	11	20200625
acc22	6	20200626
acc22	2	20200627
acc22	16	20200628
acc22	10	20200629
acc22	2	20200630
acc26	1	20200618
acc31	1	20200619
acc9	2	20200618
agg0	170	20200624
agg0	40	20200603
agg0	120	20200605
agg0	40	20200606
agg0	200	20200625
agg1	7	20200625
agg1	16	20200626
agg1	10	20200627
agg1	7	20200628
agg1	2	20200629
agg1	12	20200630
agg10	60	20200629
agg10	200	20200630
agg2	125	20200626
agg2	655	20200628
agg2	560	20200627
agg2	80	20200604
agg2	240	20200605
agg2	160	20200606
agg2	180	20200607
agg2	180	20200608
agg2	40	20200609
agg2	120	20200610
agg2	220	20200611
agg2	40	20200612
agg2	320	20200624
agg2	80	20200625
agg2	20	20200629
agg2	420	20200630
agg3	636	20200616
agg3	171	20200618
agg3	636	20200622
agg3	1077	20200628
agg3	406	20200630
agg3	325	20200621
agg3	785	20200624
agg3	480	20200627
agg3	1655	20200629
agg3	230	20200615
agg3	400	20200617
agg3	990	20200623
agg3	1020	20200625
agg3	590	20200626
agg3	20	20200603
agg3	20	20200604
agg3	220	20200605
agg3	280	20200606
agg3	400	20200607
agg3	520	20200608
agg3	180	20200609
agg3	20	20200611
agg3	800	20200619
agg3	480	20200620
agg4	217	20200628
agg4	392	20200629
agg4	121	20200630
agg4	105	20200624
agg4	190	20200626
agg4	130	20200625
agg4	160	20200627
agg5	245	20200626
agg5	150	20200627
