key	qty	date
acc0	1	20191023
acc11	1	20191005
acc12	1	20191025
acc13	1	20191021
acc14	7.3	20191011
acc14	0.6	20191019
acc14	11.05	20191010
acc14	2.45	20191016
acc14	5.05	20191017
acc14	0.9	20191027
acc14	3	20191003
acc14	0.6	20191006
acc14	0.6	20191022
acc14	4	20191001
acc14	1	20191018
acc14	7	20191025
acc14	1	20191029
acc14	15	20191030
acc14	17	20191020
acc14	3	20191012
acc14	4	20191009
acc14	5	20191014
acc14	10	20191015
acc14	18	20191005
acc14	10	20191023
acc15	4.15	20191001
acc15	2.3	20191011
acc15	0.6	20191007
acc15	67.6	20191017
acc15	0.6	20191031
acc15	1	20191008
acc15	10	20191029
acc15	34	20191013
acc15	2	20191014
acc15	2	20191015
acc15	2	20191026
acc15	3	20191010
acc15	3	20191012
acc15	5	20191004
acc15	20	20191022
acc15	9	20191023
acc15	9	20191028
acc15	10	20191019
acc15	10	20191021
acc16	0.15	20191017
acc16	6.5	20191010
acc16	0.6	20191024
acc16	0.6	20191028
acc16	9.45	20191014
acc16	0.6	20191008
acc16	1	20191005
acc16	6	20191022
acc16	27	20191023
acc16	2	20191007
acc16	2	20191015
acc16	2	20191019
acc17	0.6	20191015
acc17	1	20191002
acc17	4	20191011
acc17	1	20191016
acc17	5	20191021
acc17	2	20191007
acc17	2	20191025
acc17	2	20191027
acc17	3	20191010
acc17	3	20191031
acc17	4	20191018
acc17	18	20191004
acc17	6	20191028
acc18	10.15	20191019
acc18	6.5	20191010
acc18	0.45	20191002
acc18	0.45	20191007
acc18	10.6	20191001
acc18	0.6	20191017
acc18	0.6	20191023
acc18	1	20191011
acc18	1	20191021
acc18	2	20191013
acc18	4	20191016
acc18	2	20191024
acc18	3	20191003
acc18	4	20191022
acc18	10	20191006
acc19	1.15	20191001
acc19	2.3	20191011
acc19	18.05	20191013
acc19	13.15	20191018
acc19	0.45	20191024
acc19	5.15	20191025
acc19	13.3	20191029
acc19	3.3	20191008
acc19	7.1	20191010
acc19	3.6	20191012
acc19	5.3	20191017
acc19	0.45	20191019
acc19	4.45	20191020
acc19	14.6	20191016
acc19	1	20191004
acc19	8	20191007
