key,Date,Sales
fer21,31/12/2020 00:00,0.05
fer21,31/12/2020 00:00,0.1
acc18,31/12/2020 00:00,0.15
fer21,31/12/2020 00:00,1
fer60,31/12/2020 00:00,0.5
fer21,31/12/2020 00:00,0.3
sal5,31/12/2020 00:00,0.3
fer0,31/12/2020 00:00,0.5
fer21,31/12/2020 00:00,1
fer23,31/12/2020 00:00,0.5
fer42,31/12/2020 00:00,0.5
sal1,31/12/2020 00:00,0.5
sal0,31/12/2020 00:00,0.625
sal5,31/12/2020 00:00,0.625
acc21,31/12/2020 00:00,4
ele0,31/12/2020 00:00,23
ele0,31/12/2020 00:00,2
ele1,31/12/2020 00:00,27
ele1,31/12/2020 00:00,2
ele10,31/12/2020 00:00,8
ele10,31/12/2020 00:00,2
ele11,31/12/2020 00:00,3
ele12,31/12/2020 00:00,1
ele12,31/12/2020 00:00,2
ele16,31/12/2020 00:00,5
ele16,31/12/2020 00:00,4
ele17,31/12/2020 00:00,3
ele18,31/12/2020 00:00,6
ele21,31/12/2020 00:00,34
ele21,31/12/2020 00:00,6
ele23,31/12/2020 00:00,34
ele23,31/12/2020 00:00,4
ele23,31/12/2020 00:00,4
ele25,31/12/2020 00:00,38
ele25,31/12/2020 00:00,2
ele27,31/12/2020 00:00,18
ele27,31/12/2020 00:00,4
ele29,31/12/2020 00:00,4
ele3,31/12/2020 00:00,3
ele30,31/12/2020 00:00,5
ele39,31/12/2020 00:00,3
ele9,31/12/2020 00:00,6
ele9,31/12/2020 00:00,4
fer0,31/12/2020 00:00,3
fer14,31/12/2020 00:00,1
fer16,31/12/2020 00:00,2
fer21,31/12/2020 00:00,3
fer39,31/12/2020 00:00,1
fer49,31/12/2020 00:00,1
fer56,31/12/2020 00:00,2
fer9,31/12/2020 00:00,1
gro12,31/12/2020 00:00,1
gro18,31/12/2020 00:00,1
gro22,31/12/2020 00:00,1
gro26,31/12/2020 00:00,3
gro27,31/12/2020 00:00,1
gro30,31/12/2020 00:00,5
gro30,31/12/2020 00:00,2
han3,31/12/2020 00:00,1
han4,31/12/2020 00:00,3
han7,31/12/2020 00:00,1
irr1,31/12/2020 00:00,1
jif24,31/12/2020 00:00,4
lab25,31/12/2020 00:00,1
pes21,31/12/2020 00:00,1
pes23,31/12/2020 00:00,1
