key,Date,Sales
fer21,28/02/2021 00:00,0.2
fer60,28/02/2021 00:00,0.8
fer60,28/02/2021 00:00,0.2
sal6,28/02/2021 00:00,0.1
fer49,28/02/2021 00:00,0.15
fer21,28/02/2021 00:00,2.2
sal5,28/02/2021 00:00,0.2
fer60,28/02/2021 00:00,2.5
fer60,28/02/2021 00:00,0.5
fer60,28/02/2021 00:00,1.25
sal7,28/02/2021 00:00,0.25
fer21,28/02/2021 00:00,0.6
acc19,28/02/2021 00:00,0.9
fer0,28/02/2021 00:00,1.5
fer10,28/02/2021 00:00,1
fer16,28/02/2021 00:00,0.5
fer18,28/02/2021 00:00,0.5
fer23,28/02/2021 00:00,0.5
fer3,28/02/2021 00:00,1.5
fer39,28/02/2021 00:00,0.5
fer4,28/02/2021 00:00,0.5
fer44,28/02/2021 00:00,0.5
fer60,28/02/2021 00:00,4.5
fer60,28/02/2021 00:00,1
fer9,28/02/2021 00:00,0.5
sal0,28/02/2021 00:00,0.5
sal5,28/02/2021 00:00,0.5
fer29,28/02/2021 00:00,0.7
fer5,28/02/2021 00:00,2.8
fer7,28/02/2021 00:00,0.7
fer24,28/02/2021 00:00,1.5
fer42,28/02/2021 00:00,0.75
acc11,28/02/2021 00:00,2
acc13,28/02/2021 00:00,1
acc17,28/02/2021 00:00,2
acc18,28/02/2021 00:00,1
acc21,28/02/2021 00:00,1
acc21,28/02/2021 00:00,3
acc22,28/02/2021 00:00,6
agg0,28/02/2021 00:00,1
agg1,28/02/2021 00:00,11
agg1,28/02/2021 00:00,4
agg3,28/02/2021 00:00,2
agg6,28/02/2021 00:00,1
agg7,28/02/2021 00:00,1
agg8,28/02/2021 00:00,1
ele0,28/02/2021 00:00,11
ele0,28/02/2021 00:00,2
ele1,28/02/2021 00:00,11
ele10,28/02/2021 00:00,20
ele11,28/02/2021 00:00,4
ele12,28/02/2021 00:00,2
ele12,28/02/2021 00:00,2
ele16,28/02/2021 00:00,16
ele16,28/02/2021 00:00,2
ele18,28/02/2021 00:00,2
ele21,28/02/2021 00:00,3
ele22,28/02/2021 00:00,10
ele23,28/02/2021 00:00,2
ele24,28/02/2021 00:00,5
ele25,28/02/2021 00:00,1
ele25,28/02/2021 00:00,2
ele26,28/02/2021 00:00,5
ele27,28/02/2021 00:00,3
ele30,28/02/2021 00:00,1
ele41,28/02/2021 00:00,2
ele9,28/02/2021 00:00,7
ele9,28/02/2021 00:00,2
fer0,28/02/2021 00:00,5
fer10,28/02/2021 00:00,1
fer11,28/02/2021 00:00,2
fer12,28/02/2021 00:00,1
fer12,28/02/2021 00:00,2
fer16,28/02/2021 00:00,7
fer18,28/02/2021 00:00,2
fer21,28/02/2021 00:00,4
fer23,28/02/2021 00:00,2
fer25,28/02/2021 00:00,2
fer28,28/02/2021 00:00,2
fer29,28/02/2021 00:00,1
fer3,28/02/2021 00:00,2
fer3,28/02/2021 00:00,2
fer31,28/02/2021 00:00,2
fer39,28/02/2021 00:00,2
fer4,28/02/2021 00:00,3
fer40,28/02/2021 00:00,1
fer42,28/02/2021 00:00,3
fer45,28/02/2021 00:00,3
fer47,28/02/2021 00:00,3
fer49,28/02/2021 00:00,3
fer5,28/02/2021 00:00,13
fer50,28/02/2021 00:00,3
fer54,28/02/2021 00:00,1
fer56,28/02/2021 00:00,17
fer56,28/02/2021 00:00,6
fer56,28/02/2021 00:00,4
fer57,28/02/2021 00:00,1
fer6,28/02/2021 00:00,1
fer60,28/02/2021 00:00,3
fer8,28/02/2021 00:00,2
fer9,28/02/2021 00:00,6
gro10,28/02/2021 00:00,2
gro10,28/02/2021 00:00,3
gro11,28/02/2021 00:00,5
gro12,28/02/2021 00:00,2
gro14,28/02/2021 00:00,13
gro14,28/02/2021 00:00,3
gro15,28/02/2021 00:00,3
gro16,28/02/2021 00:00,2
gro18,28/02/2021 00:00,6
gro19,28/02/2021 00:00,1
gro22,28/02/2021 00:00,4
gro22,28/02/2021 00:00,2
gro26,28/02/2021 00:00,6
gro27,28/02/2021 00:00,2
gro28,28/02/2021 00:00,1
gro30,28/02/2021 00:00,28
gro30,28/02/2021 00:00,14
han0,28/02/2021 00:00,2
han15,28/02/2021 00:00,2
han2,28/02/2021 00:00,2
han4,28/02/2021 00:00,2
han6,28/02/2021 00:00,1
han6,28/02/2021 00:00,2
irr2,28/02/2021 00:00,2
irr3,28/02/2021 00:00,1
jif22,28/02/2021 00:00,4
jif23,28/02/2021 00:00,1
jif28,28/02/2021 00:00,1
lab25,28/02/2021 00:00,2
net20,28/02/2021 00:00,1
net20,28/02/2021 00:00,3
net22,28/02/2021 00:00,1
pes11,28/02/2021 00:00,2
pes23,28/02/2021 00:00,1
pes28,28/02/2021 00:00,8
pes28,28/02/2021 00:00,2
pes30,28/02/2021 00:00,4
pes30,28/02/2021 00:00,2
pes32,28/02/2021 00:00,9
pes32,28/02/2021 00:00,2
pes38,28/02/2021 00:00,8
pes7,28/02/2021 00:00,1
pes9,28/02/2021 00:00,4
pol14,28/02/2021 00:00,13
pol15,28/02/2021 00:00,4
pol16,28/02/2021 00:00,8
pol17,28/02/2021 00:00,2
pol18,28/02/2021 00:00,1
pol19,28/02/2021 00:00,3
pol20,28/02/2021 00:00,1
pol21,28/02/2021 00:00,1
pol22,28/02/2021 00:00,8
pol22,28/02/2021 00:00,16
pol22,28/02/2021 00:00,12
pol22,28/02/2021 00:00,4
pol23,28/02/2021 00:00,1
pol5,28/02/2021 00:00,1
pol6,28/02/2021 00:00,8
pot1,28/02/2021 00:00,1
pot101,28/02/2021 00:00,1
pot102,28/02/2021 00:00,1
pot103,28/02/2021 00:00,1
pot104,28/02/2021 00:00,1
pot105,28/02/2021 00:00,1
pot105,28/02/2021 00:00,2
pot113,28/02/2021 00:00,1
pot114,28/02/2021 00:00,2
pot15,28/02/2021 00:00,3
pot15,28/02/2021 00:00,4
pot16,28/02/2021 00:00,4
pot16,28/02/2021 00:00,2
pot16,28/02/2021 00:00,3
pot17,28/02/2021 00:00,7
pot17,28/02/2021 00:00,3
pot18,28/02/2021 00:00,1
pot19,28/02/2021 00:00,3
pot19,28/02/2021 00:00,4
pot2,28/02/2021 00:00,3
pot2,28/02/2021 00:00,2
pot2,28/02/2021 00:00,3
pot2,28/02/2021 00:00,12
pot2,28/02/2021 00:00,10
pot20,28/02/2021 00:00,1
pot21,28/02/2021 00:00,12
pot21,28/02/2021 00:00,4
pot21,28/02/2021 00:00,7
pot3,28/02/2021 00:00,2
pot3,28/02/2021 00:00,2
pot44,28/02/2021 00:00,1
pot45,28/02/2021 00:00,1
pot53,28/02/2021 00:00,1
pot55,28/02/2021 00:00,1
pot56,28/02/2021 00:00,1
pot57,28/02/2021 00:00,1
pot60,28/02/2021 00:00,4
pot60,28/02/2021 00:00,3
pot64,28/02/2021 00:00,1
pot66,28/02/2021 00:00,1
pot71,28/02/2021 00:00,1
pot75,28/02/2021 00:00,1
pot77,28/02/2021 00:00,1
pot83,28/02/2021 00:00,1
