key,Date,Sales
fer21,31/01/2021 00:00,0.3
fer60,31/01/2021 00:00,0.2
sal6,31/01/2021 00:00,0.1
fer21,31/01/2021 00:00,1.6
fer10,31/01/2021 00:00,0.25
fer23,31/01/2021 00:00,0.25
fer42,31/01/2021 00:00,0.5
fer60,31/01/2021 00:00,1.5
sal0,31/01/2021 00:00,0.25
sal1,31/01/2021 00:00,0.5
fer21,31/01/2021 00:00,0.3
bir2,31/01/2021 00:00,0.5
fer21,31/01/2021 00:00,1
fer23,31/01/2021 00:00,0.5
fer3,31/01/2021 00:00,0.5
fer60,31/01/2021 00:00,0.5
sal0,31/01/2021 00:00,1
sal1,31/01/2021 00:00,1
sal2,31/01/2021 00:00,0.5
fer5,31/01/2021 00:00,0.7
acc14,31/01/2021 00:00,2
acc15,31/01/2021 00:00,1
acc21,31/01/2021 00:00,3
acc21,31/01/2021 00:00,4
acc21,31/01/2021 00:00,5
acc22,31/01/2021 00:00,1
agg1,31/01/2021 00:00,1
agg4,31/01/2021 00:00,2
bir2,31/01/2021 00:00,5
ele0,31/01/2021 00:00,21
ele1,31/01/2021 00:00,12
ele10,31/01/2021 00:00,19
ele11,31/01/2021 00:00,7
ele12,31/01/2021 00:00,4
ele13,31/01/2021 00:00,1
ele16,31/01/2021 00:00,18
ele17,31/01/2021 00:00,1
ele18,31/01/2021 00:00,3
ele21,31/01/2021 00:00,7
ele22,31/01/2021 00:00,14
ele23,31/01/2021 00:00,4
ele24,31/01/2021 00:00,25
ele24,31/01/2021 00:00,4
ele25,31/01/2021 00:00,4
ele25,31/01/2021 00:00,2
ele26,31/01/2021 00:00,6
ele27,31/01/2021 00:00,6
ele27,31/01/2021 00:00,5
ele28,31/01/2021 00:00,14
ele28,31/01/2021 00:00,4
ele3,31/01/2021 00:00,2
ele38,31/01/2021 00:00,2
ele38,31/01/2021 00:00,2
ele42,31/01/2021 00:00,2
ele43,31/01/2021 00:00,2
ele44,31/01/2021 00:00,1
ele9,31/01/2021 00:00,12
fer0,31/01/2021 00:00,4
fer11,31/01/2021 00:00,2
fer12,31/01/2021 00:00,2
fer14,31/01/2021 00:00,1
fer14,31/01/2021 00:00,4
fer16,31/01/2021 00:00,2
fer21,31/01/2021 00:00,1
fer25,31/01/2021 00:00,1
fer28,31/01/2021 00:00,1
fer38,31/01/2021 00:00,1
fer39,31/01/2021 00:00,2
fer4,31/01/2021 00:00,2
fer42,31/01/2021 00:00,1
fer45,31/01/2021 00:00,1
fer5,31/01/2021 00:00,4
fer50,31/01/2021 00:00,2
fer57,31/01/2021 00:00,1
fer60,31/01/2021 00:00,2
fer9,31/01/2021 00:00,1
gro10,31/01/2021 00:00,2
gro11,31/01/2021 00:00,4
gro12,31/01/2021 00:00,2
gro13,31/01/2021 00:00,1
gro14,31/01/2021 00:00,19
gro14,31/01/2021 00:00,8
gro14,31/01/2021 00:00,5
gro15,31/01/2021 00:00,1
gro16,31/01/2021 00:00,1
gro18,31/01/2021 00:00,1
gro18,31/01/2021 00:00,2
gro19,31/01/2021 00:00,2
gro23,31/01/2021 00:00,1
gro24,31/01/2021 00:00,1
gro26,31/01/2021 00:00,2
gro27,31/01/2021 00:00,1
gro30,31/01/2021 00:00,12
gro30,31/01/2021 00:00,2
han0,31/01/2021 00:00,1
han2,31/01/2021 00:00,1
han4,31/01/2021 00:00,1
han5,31/01/2021 00:00,1
irr0,31/01/2021 00:00,1
jif22,31/01/2021 00:00,1
jif24,31/01/2021 00:00,4
jif24,31/01/2021 00:00,4
lab25,31/01/2021 00:00,2
lab25,31/01/2021 00:00,2
pes10,31/01/2021 00:00,1
pes11,31/01/2021 00:00,2
pes16,31/01/2021 00:00,1
pes24,31/01/2021 00:00,1
pes27,31/01/2021 00:00,1
pes28,31/01/2021 00:00,2
pes28,31/01/2021 00:00,2
pes30,31/01/2021 00:00,1
pes30,31/01/2021 00:00,2
pes32,31/01/2021 00:00,1
pes38,31/01/2021 00:00,14
pes9,31/01/2021 00:00,3
pol14,31/01/2021 00:00,6
pol15,31/01/2021 00:00,3
pol16,31/01/2021 00:00,5
pol17,31/01/2021 00:00,3
pol18,31/01/2021 00:00,3
pol19,31/01/2021 00:00,3
pol22,31/01/2021 00:00,2
pol22,31/01/2021 00:00,4
pol23,31/01/2021 00:00,1
pol6,31/01/2021 00:00,1
pot1,31/01/2021 00:00,1
pot101,31/01/2021 00:00,1
pot113,31/01/2021 00:00,1
pot16,31/01/2021 00:00,1
pot17,31/01/2021 00:00,2
pot19,31/01/2021 00:00,1
pot2,31/01/2021 00:00,3
pot20,31/01/2021 00:00,1
pot21,31/01/2021 00:00,5
pot44,31/01/2021 00:00,1
pot53,31/01/2021 00:00,1
pot58,31/01/2021 00:00,1
pot59,31/01/2021 00:00,1
pot60,31/01/2021 00:00,2
pot71,31/01/2021 00:00,1
pot80,31/01/2021 00:00,2
pot93,31/01/2021 00:00,1
pot97,31/01/2021 00:00,1
sal0,31/01/2021 00:00,5
sal1,31/01/2021 00:00,2
sal10,31/01/2021 00:00,14
sal11,31/01/2021 00:00,4
sal12,31/01/2021 00:00,2
sal5,31/01/2021 00:00,2
sal7,31/01/2021 00:00,1
sal8,31/01/2021 00:00,1
see13,31/01/2021 00:00,1
see14,31/01/2021 00:00,1
see19,31/01/2021 00:00,30
see19,31/01/2021 00:00,20
see19,31/01/2021 00:00,3
see26,31/01/2021 00:00,2
see28,31/01/2021 00:00,1
sto11,31/01/2021 00:00,4
sto12,31/01/2021 00:00,14
sto12,31/01/2021 00:00,2
sto13,31/01/2021 00:00,34
sto14,31/01/2021 00:00,36
