key,Date,Sales
fer21,30/11/2020 00:00,0.15
fer21,30/11/2020 00:00,0.1
fer60,30/11/2020 00:00,0.2
sal6,30/11/2020 00:00,0.1
fer21,30/11/2020 00:00,1.8
fer23,30/11/2020 00:00,0.5
fer60,30/11/2020 00:00,0.25
sal0,30/11/2020 00:00,0.25
fer21,30/11/2020 00:00,0.6
sal1,30/11/2020 00:00,0.313
fer0,30/11/2020 00:00,0.5
fer21,30/11/2020 00:00,1.5
fer49,30/11/2020 00:00,0.5
sal0,30/11/2020 00:00,2.5
sal3,30/11/2020 00:00,0.5
sal4,30/11/2020 00:00,0.5
sal5,30/11/2020 00:00,0.5
sal2,30/11/2020 00:00,0.625
acc13,30/11/2020 00:00,1
acc21,30/11/2020 00:00,1
acc22,30/11/2020 00:00,1
agg1,30/11/2020 00:00,1
ele0,30/11/2020 00:00,20
ele0,30/11/2020 00:00,6
ele1,30/11/2020 00:00,17
ele1,30/11/2020 00:00,4
ele10,30/11/2020 00:00,6
ele10,30/11/2020 00:00,2
ele11,30/11/2020 00:00,2
ele12,30/11/2020 00:00,3
ele16,30/11/2020 00:00,5
ele17,30/11/2020 00:00,2
ele18,30/11/2020 00:00,5
ele18,30/11/2020 00:00,3
ele19,30/11/2020 00:00,3
ele19,30/11/2020 00:00,2
ele20,30/11/2020 00:00,1
ele21,30/11/2020 00:00,78
ele21,30/11/2020 00:00,8
ele21,30/11/2020 00:00,6
ele23,30/11/2020 00:00,54
ele23,30/11/2020 00:00,4
ele23,30/11/2020 00:00,8
ele25,30/11/2020 00:00,38
ele25,30/11/2020 00:00,6
ele25,30/11/2020 00:00,4
ele26,30/11/2020 00:00,1
ele27,30/11/2020 00:00,9
ele27,30/11/2020 00:00,4
ele28,30/11/2020 00:00,2
ele29,30/11/2020 00:00,1
ele3,30/11/2020 00:00,3
ele30,30/11/2020 00:00,2
ele31,30/11/2020 00:00,3
ele39,30/11/2020 00:00,1
ele43,30/11/2020 00:00,1
ele44,30/11/2020 00:00,1
ele9,30/11/2020 00:00,3
fer0,30/11/2020 00:00,1
fer11,30/11/2020 00:00,1
fer14,30/11/2020 00:00,2
fer16,30/11/2020 00:00,4
fer21,30/11/2020 00:00,2
fer39,30/11/2020 00:00,2
fer4,30/11/2020 00:00,1
fer47,30/11/2020 00:00,3
fer57,30/11/2020 00:00,1
fer6,30/11/2020 00:00,1
fix4,30/11/2020 00:00,20
fix4,30/11/2020 00:00,25
gro10,30/11/2020 00:00,2
gro10,30/11/2020 00:00,2
gro11,30/11/2020 00:00,1
gro12,30/11/2020 00:00,2
gro14,30/11/2020 00:00,5
gro16,30/11/2020 00:00,1
gro16,30/11/2020 00:00,4
gro18,30/11/2020 00:00,1
gro22,30/11/2020 00:00,1
gro26,30/11/2020 00:00,2
gro28,30/11/2020 00:00,2
gro30,30/11/2020 00:00,19
han0,30/11/2020 00:00,2
han1,30/11/2020 00:00,1
han4,30/11/2020 00:00,2
han5,30/11/2020 00:00,1
han5,30/11/2020 00:00,2
jif24,30/11/2020 00:00,1
pes24,30/11/2020 00:00,2
pes27,30/11/2020 00:00,2
pes27,30/11/2020 00:00,4
pes28,30/11/2020 00:00,5
